country,year,gender,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp,generation,continent
Seychelles,1985,female,25-34 years,0,4200,0,"168,887,539",2947,Boomers,Africa
Seychelles,1985,male,25-34 years,0,5200,0,"168,887,539",2947,Boomers,Africa
Seychelles,1986,female,25-34 years,0,4500,0,"207,850,624",3621,Boomers,Africa
Seychelles,1986,male,25-34 years,0,5500,0,"207,850,624",3621,Boomers,Africa
Seychelles,1987,female,25-34 years,0,4800,0,"249,267,040",4276,Boomers,Africa
Seychelles,1987,male,25-34 years,1,5800,17.24,"249,267,040",4276,Boomers,Africa
Seychelles,2002,female,35-54 years,0,10257,0,"697,518,248",9070,Boomers,Africa
Seychelles,2004,female,35-54 years,0,11572,0,"839,319,927",10526,Boomers,Africa
Seychelles,2005,female,35-54 years,0,12160,0,"919,103,255",11361,Boomers,Africa
Seychelles,2006,female,35-54 years,0,12435,0,"1,016,418,229",12442,Boomers,Africa
Seychelles,2007,female,35-54 years,0,12617,0,"1,033,561,654",12554,Boomers,Africa
Seychelles,2008,female,35-54 years,0,12759,0,"967,199,594",11667,Boomers,Africa
Seychelles,2009,female,35-54 years,0,12916,0,"847,397,850",10157,Boomers,Africa
Seychelles,2001,female,35-54 years,1,9621,10.39,"622,262,057",8257,Boomers,Africa
Seychelles,2002,male,35-54 years,1,10446,9.57,"697,518,248",9070,Boomers,Africa
Seychelles,2001,male,35-54 years,2,9888,20.23,"622,262,057",8257,Boomers,Africa
Seychelles,2003,female,35-54 years,2,10925,18.31,"705,704,816",9001,Boomers,Africa
Seychelles,2005,male,35-54 years,2,12304,16.25,"919,103,255",11361,Boomers,Africa
Seychelles,2008,male,35-54 years,2,13402,14.92,"967,199,594",11667,Boomers,Africa
Seychelles,2003,male,35-54 years,3,11050,27.15,"705,704,816",9001,Boomers,Africa
Seychelles,2004,male,35-54 years,3,11676,25.69,"839,319,927",10526,Boomers,Africa
Seychelles,2007,male,35-54 years,3,13027,23.03,"1,033,561,654",12554,Boomers,Africa
Seychelles,2009,male,35-54 years,3,13762,21.8,"847,397,850",10157,Boomers,Africa
Seychelles,2006,male,35-54 years,4,12663,31.59,"1,016,418,229",12442,Boomers,Africa
Seychelles,2011,female,55-74 years,0,5544,0,"1,065,826,670",13204,Boomers,Africa
Seychelles,2011,male,55-74 years,0,5026,0,"1,065,826,670",13204,Boomers,Africa
Seychelles,2012,female,55-74 years,0,5936,0,"1,059,498,884",13044,Boomers,Africa
Seychelles,2013,female,55-74 years,0,6147,0,"1,328,091,524",16090,Boomers,Africa
Seychelles,2014,female,55-74 years,0,6507,0,"1,342,997,306",16018,Boomers,Africa
Seychelles,2014,male,55-74 years,0,6245,0,"1,342,997,306",16018,Boomers,Africa
Seychelles,2015,female,55-74 years,0,7198,0,"1,375,604,279",16005,Boomers,Africa
Seychelles,2012,male,55-74 years,1,5437,18.39,"1,059,498,884",13044,Boomers,Africa
Seychelles,2015,male,55-74 years,1,6903,14.49,"1,375,604,279",16005,Boomers,Africa
Seychelles,2013,male,55-74 years,4,5827,68.65,"1,328,091,524",16090,Boomers,Africa
Saint Kitts and Nevis,1990,female,25-34 years,0,2600,0,"208,740,444",5339,Boomers,Africa
Saint Kitts and Nevis,1990,male,25-34 years,0,2400,0,"208,740,444",5339,Boomers,Africa
Saint Kitts and Nevis,1991,female,25-34 years,0,2600,0,"209,880,963",5368,Boomers,Africa
Saint Kitts and Nevis,1991,male,25-34 years,0,2400,0,"209,880,963",5368,Boomers,Africa
Saint Kitts and Nevis,1992,female,25-34 years,0,2600,0,"229,434,519",5868,Boomers,Africa
Saint Kitts and Nevis,1992,male,25-34 years,0,2400,0,"229,434,519",5868,Boomers,Africa
Saint Kitts and Nevis,1991,female,35-54 years,0,2900,0,"209,880,963",5368,Boomers,Africa
Saint Kitts and Nevis,1991,male,35-54 years,0,2400,0,"209,880,963",5368,Boomers,Africa
Saint Kitts and Nevis,1992,female,35-54 years,0,2900,0,"229,434,519",5868,Boomers,Africa
Saint Kitts and Nevis,1992,male,35-54 years,0,2400,0,"229,434,519",5868,Boomers,Africa
Mauritius,1986,female,25-34 years,2,88500,2.26,"1,469,046,115",1636,Boomers,Africa
Mauritius,1985,female,25-34 years,6,87200,6.88,"1,080,642,033",1223,Boomers,Africa
Mauritius,1986,male,25-34 years,7,88800,7.88,"1,469,046,115",1636,Boomers,Africa
Mauritius,1994,female,25-34 years,8,97100,8.24,"3,558,137,040",3658,Boomers,Africa
Mauritius,1989,female,25-34 years,9,96500,9.33,"2,191,096,860",2349,Boomers,Africa
Mauritius,1987,female,25-34 years,10,92900,10.76,"1,888,754,655",2073,Boomers,Africa
Mauritius,1991,female,25-34 years,11,97100,11.33,"2,856,890,681",3045,Boomers,Africa
Mauritius,1992,female,25-34 years,11,96800,11.36,"3,224,267,548",3400,Boomers,Africa
Mauritius,1993,female,25-34 years,16,97000,16.49,"3,263,368,410",3405,Boomers,Africa
Mauritius,1990,female,25-34 years,18,97100,18.54,"2,653,480,001",2820,Boomers,Africa
Mauritius,1985,male,25-34 years,19,88500,21.47,"1,080,642,033",1223,Boomers,Africa
Mauritius,1988,female,25-34 years,19,95000,20,"2,143,484,488",2317,Boomers,Africa
Mauritius,1987,male,25-34 years,21,91300,23,"1,888,754,655",2073,Boomers,Africa
Mauritius,1992,male,25-34 years,24,101400,23.67,"3,224,267,548",3400,Boomers,Africa
Mauritius,1990,male,25-34 years,26,98100,26.5,"2,653,480,001",2820,Boomers,Africa
Mauritius,1988,male,25-34 years,28,95100,29.44,"2,143,484,488",2317,Boomers,Africa
Mauritius,1993,male,25-34 years,30,102500,29.27,"3,263,368,410",3405,Boomers,Africa
Mauritius,1991,male,25-34 years,37,100400,36.85,"2,856,890,681",3045,Boomers,Africa
Mauritius,1989,male,25-34 years,41,96900,42.31,"2,191,096,860",2349,Boomers,Africa
Mauritius,1994,male,25-34 years,41,102600,39.96,"3,558,137,040",3658,Boomers,Africa
Mauritius,1994,female,35-54 years,3,127900,2.35,"3,558,137,040",3658,Boomers,Africa
Mauritius,2008,female,35-54 years,3,180104,1.67,"9,990,370,016",8716,Boomers,Africa
Mauritius,2009,female,35-54 years,3,178594,1.68,"9,128,843,109",7873,Boomers,Africa
Mauritius,1997,female,35-54 years,6,143100,4.19,"4,187,367,602",4139,Boomers,Africa
Mauritius,1996,female,35-54 years,7,137300,5.1,"4,421,943,910",4444,Boomers,Africa
Mauritius,2005,female,35-54 years,7,177511,3.94,"6,283,803,256",5641,Boomers,Africa
Mauritius,1993,female,35-54 years,8,122700,6.52,"3,263,368,410",3405,Boomers,Africa
Mauritius,1995,female,35-54 years,8,132400,6.04,"4,040,345,933",4115,Boomers,Africa
Mauritius,1998,female,35-54 years,8,148800,5.38,"4,169,664,285",4063,Boomers,Africa
Mauritius,2003,female,35-54 years,8,172697,4.63,"5,609,831,328",5136,Boomers,Africa
Mauritius,2004,female,35-54 years,8,175289,4.56,"6,385,695,187",5789,Boomers,Africa
Mauritius,2006,female,35-54 years,8,178302,4.49,"7,028,803,366",6246,Boomers,Africa
Mauritius,1991,female,35-54 years,9,114000,7.89,"2,856,890,681",3045,Boomers,Africa
Mauritius,2000,female,35-54 years,9,159364,5.65,"4,582,555,125",4339,Boomers,Africa
Mauritius,2002,female,35-54 years,9,168822,5.33,"4,767,303,154",4415,Boomers,Africa
Mauritius,2007,female,35-54 years,9,179726,5.01,"8,150,138,757",7179,Boomers,Africa
Mauritius,2001,female,35-54 years,13,165008,7.88,"4,536,538,211",4244,Boomers,Africa
Mauritius,1992,female,35-54 years,14,118500,11.81,"3,224,267,548",3400,Boomers,Africa
Mauritius,1999,female,35-54 years,17,154100,11.03,"4,291,172,816",4117,Boomers,Africa
Mauritius,2008,male,35-54 years,23,178971,12.85,"9,990,370,016",8716,Boomers,Africa
Mauritius,2003,male,35-54 years,24,173619,13.82,"5,609,831,328",5136,Boomers,Africa
Mauritius,1991,male,35-54 years,27,113400,23.81,"2,856,890,681",3045,Boomers,Africa
Mauritius,1994,male,35-54 years,28,128600,21.77,"3,558,137,040",3658,Boomers,Africa
Mauritius,1993,male,35-54 years,33,123400,26.74,"3,263,368,410",3405,Boomers,Africa
Mauritius,2001,male,35-54 years,33,166424,19.83,"4,536,538,211",4244,Boomers,Africa
Mauritius,2004,male,35-54 years,34,175824,19.34,"6,385,695,187",5789,Boomers,Africa
Mauritius,2006,male,35-54 years,37,178169,20.77,"7,028,803,366",6246,Boomers,Africa
Mauritius,2007,male,35-54 years,38,178997,21.23,"8,150,138,757",7179,Boomers,Africa
Mauritius,2005,male,35-54 years,39,177945,21.92,"6,283,803,256",5641,Boomers,Africa
Mauritius,1997,male,35-54 years,40,144500,27.68,"4,187,367,602",4139,Boomers,Africa
Mauritius,2000,male,35-54 years,40,160762,24.88,"4,582,555,125",4339,Boomers,Africa
Mauritius,1996,male,35-54 years,41,138600,29.58,"4,421,943,910",4444,Boomers,Africa
Mauritius,2002,male,35-54 years,43,170023,25.29,"4,767,303,154",4415,Boomers,Africa
Mauritius,1998,male,35-54 years,46,150700,30.52,"4,169,664,285",4063,Boomers,Africa
Mauritius,2009,male,35-54 years,46,179965,25.56,"9,128,843,109",7873,Boomers,Africa
Mauritius,1992,male,35-54 years,47,118800,39.56,"3,224,267,548",3400,Boomers,Africa
Mauritius,1995,male,35-54 years,49,133300,36.76,"4,040,345,933",4115,Boomers,Africa
Mauritius,1999,male,35-54 years,57,156300,36.47,"4,291,172,816",4117,Boomers,Africa
Mauritius,2013,female,55-74 years,1,107634,0.93,"12,129,642,296",10572,Boomers,Africa
Mauritius,2012,female,55-74 years,2,102269,1.96,"11,668,685,524",9884,Boomers,Africa
Mauritius,2014,female,55-74 years,2,112152,1.78,"12,803,445,934",11120,Boomers,Africa
Mauritius,2016,female,55-74 years,2,120603,1.66,"12,232,463,656",10570,Boomers,Africa
Mauritius,2011,female,55-74 years,3,98036,3.06,"11,518,393,367",9817,Boomers,Africa
Mauritius,2015,female,55-74 years,4,116373,3.44,"11,692,287,066",10125,Boomers,Africa
Mauritius,2014,male,55-74 years,6,99760,6.01,"12,803,445,934",11120,Boomers,Africa
Mauritius,2015,male,55-74 years,9,103727,8.68,"11,692,287,066",10125,Boomers,Africa
Mauritius,2011,male,55-74 years,11,85760,12.83,"11,518,393,367",9817,Boomers,Africa
Mauritius,2013,male,55-74 years,12,95695,12.54,"12,129,642,296",10572,Boomers,Africa
Mauritius,2016,male,55-74 years,12,107902,11.12,"12,232,463,656",10570,Boomers,Africa
Mauritius,2012,male,55-74 years,14,90063,15.54,"11,668,685,524",9884,Boomers,Africa
Macau,1994,female,25-34 years,2,43286,4.62,"6,265,844,252",18081,Boomers,Africa
Macau,1994,male,25-34 years,3,34319,8.74,"6,265,844,252",18081,Boomers,Africa
Macau,1994,female,35-54 years,4,48296,8.28,"6,265,844,252",18081,Boomers,Africa
Macau,1994,male,35-54 years,6,55677,10.78,"6,265,844,252",18081,Boomers,Africa
Kiribati,1992,female,25-34 years,0,6273,0,"47,737,955",759,Boomers,Africa
Kiribati,1992,male,25-34 years,0,5802,0,"47,737,955",759,Boomers,Africa
Kiribati,1993,female,25-34 years,0,6436,0,"46,919,625",735,Boomers,Africa
Kiribati,1994,female,25-34 years,0,6565,0,"54,832,578",845,Boomers,Africa
Kiribati,1991,male,25-34 years,1,5615,17.81,"47,515,189",768,Boomers,Africa
Kiribati,1991,female,25-34 years,1,6105,16.38,"47,515,189",768,Boomers,Africa
Kiribati,1993,male,25-34 years,2,5958,33.57,"46,919,625",735,Boomers,Africa
Kiribati,1994,male,25-34 years,2,6053,33.04,"54,832,578",845,Boomers,Africa
Kiribati,1991,female,35-54 years,0,6440,0,"47,515,189",768,Boomers,Africa
Kiribati,1992,female,35-54 years,0,6581,0,"47,737,955",759,Boomers,Africa
Kiribati,1993,female,35-54 years,0,6730,0,"46,919,625",735,Boomers,Africa
Kiribati,1994,female,35-54 years,0,6893,0,"54,832,578",845,Boomers,Africa
Kiribati,1995,female,35-54 years,0,7072,0,"56,338,028",855,Boomers,Africa
Kiribati,1995,male,35-54 years,0,6710,0,"56,338,028",855,Boomers,Africa
Kiribati,1996,male,35-54 years,0,6914,0,"66,515,377",991,Boomers,Africa
Kiribati,1997,female,35-54 years,0,7543,0,"67,537,480",988,Boomers,Africa
Kiribati,1998,female,35-54 years,0,7809,0,"65,334,841",939,Boomers,Africa
Kiribati,1999,female,35-54 years,0,8111,0,"69,032,258",973,Boomers,Africa
Kiribati,1999,male,35-54 years,0,7604,0,"69,032,258",973,Boomers,Africa
Kiribati,2000,female,35-54 years,0,8455,0,"67,254,174",928,Boomers,Africa
Kiribati,2000,male,35-54 years,0,7888,0,"67,254,174",928,Boomers,Africa
Kiribati,2001,female,35-54 years,0,8720,0,"63,101,272",854,Boomers,Africa
Kiribati,2001,male,35-54 years,0,8117,0,"63,101,272",854,Boomers,Africa
Kiribati,1991,male,35-54 years,1,6101,16.39,"47,515,189",768,Boomers,Africa
Kiribati,1992,male,35-54 years,1,6226,16.06,"47,737,955",759,Boomers,Africa
Kiribati,1996,female,35-54 years,1,7304,13.69,"66,515,377",991,Boomers,Africa
Kiribati,1997,male,35-54 years,1,7127,14.03,"67,537,480",988,Boomers,Africa
Kiribati,1998,male,35-54 years,1,7353,13.6,"65,334,841",939,Boomers,Africa
Kiribati,1993,male,35-54 years,3,6370,47.1,"46,919,625",735,Boomers,Africa
Kiribati,1994,male,35-54 years,3,6529,45.95,"54,832,578",845,Boomers,Africa
Cabo Verde,2011,male,55-74 years,1,14827,6.74,"1,864,824,081",4124,Boomers,Africa
Cabo Verde,2011,female,55-74 years,2,19887,10.06,"1,864,824,081",4124,Boomers,Africa
Uzbekistan,1991,female,25-34 years,72,1684500,4.27,"13,677,622,222",788,Boomers,Asia
Uzbekistan,1994,female,25-34 years,77,1759900,4.38,"12,899,156,991",674,Boomers,Asia
Uzbekistan,1992,female,25-34 years,81,1769700,4.58,"12,941,297,376",709,Boomers,Asia
Uzbekistan,1993,female,25-34 years,83,1763900,4.71,"13,099,013,836",708,Boomers,Asia
Uzbekistan,1990,female,25-34 years,87,1664200,5.23,"13,360,607,918",778,Boomers,Asia
Uzbekistan,1992,male,25-34 years,258,1741600,14.81,"12,941,297,376",709,Boomers,Asia
Uzbekistan,1994,male,25-34 years,264,1703700,15.5,"12,899,156,991",674,Boomers,Asia
Uzbekistan,1993,male,25-34 years,278,1714500,16.21,"13,099,013,836",708,Boomers,Asia
Uzbekistan,1990,male,25-34 years,283,1638100,17.28,"13,360,607,918",778,Boomers,Asia
Uzbekistan,1991,male,25-34 years,289,1648400,17.53,"13,677,622,222",788,Boomers,Asia
Uzbekistan,1993,female,35-54 years,60,1656100,3.62,"13,099,013,836",708,Boomers,Asia
Uzbekistan,1998,female,35-54 years,61,2129600,2.86,"14,988,971,211",719,Boomers,Asia
Uzbekistan,1992,female,35-54 years,65,1603900,4.05,"12,941,297,376",709,Boomers,Asia
Uzbekistan,2009,female,35-54 years,65,3263931,1.99,"33,689,223,673",1332,Boomers,Asia
Uzbekistan,2004,female,35-54 years,70,2761019,2.54,"12,030,023,548",516,Boomers,Asia
Uzbekistan,1991,female,35-54 years,71,1531100,4.64,"13,677,622,222",788,Boomers,Asia
Uzbekistan,1994,female,35-54 years,74,1774300,4.17,"12,899,156,991",674,Boomers,Asia
Uzbekistan,1996,female,35-54 years,74,1906900,3.88,"13,948,892,216",703,Boomers,Asia
Uzbekistan,1997,female,35-54 years,74,2011500,3.68,"14,744,603,774",724,Boomers,Asia
Uzbekistan,1995,female,35-54 years,77,1856300,4.15,"13,350,468,917",681,Boomers,Asia
Uzbekistan,2003,female,35-54 years,77,2675118,2.88,"10,128,112,401",441,Boomers,Asia
Uzbekistan,2005,female,35-54 years,79,2836489,2.79,"14,307,509,839",606,Boomers,Asia
Uzbekistan,1999,female,35-54 years,89,2257145,3.94,"17,078,465,982",801,Boomers,Asia
Uzbekistan,2002,female,35-54 years,91,2586025,3.52,"9,687,951,055",428,Boomers,Asia
Uzbekistan,2001,female,35-54 years,93,2492917,3.73,"11,401,351,420",513,Boomers,Asia
Uzbekistan,2000,female,35-54 years,98,2381166,4.12,"13,760,374,488",632,Boomers,Asia
Uzbekistan,1992,male,35-54 years,308,1586100,19.42,"12,941,297,376",709,Boomers,Asia
Uzbekistan,1993,male,35-54 years,332,1635000,20.31,"13,099,013,836",708,Boomers,Asia
Uzbekistan,2004,male,35-54 years,350,2639741,13.26,"12,030,023,548",516,Boomers,Asia
Uzbekistan,1991,male,35-54 years,353,1510300,23.37,"13,677,622,222",788,Boomers,Asia
Uzbekistan,2005,male,35-54 years,362,2712283,13.35,"14,307,509,839",606,Boomers,Asia
Uzbekistan,1994,male,35-54 years,374,1737700,21.52,"12,899,156,991",674,Boomers,Asia
Uzbekistan,2003,male,35-54 years,385,2557625,15.05,"10,128,112,401",441,Boomers,Asia
Uzbekistan,2002,male,35-54 years,398,2474921,16.08,"9,687,951,055",428,Boomers,Asia
Uzbekistan,2009,male,35-54 years,404,3072025,13.15,"33,689,223,673",1332,Boomers,Asia
Uzbekistan,1997,male,35-54 years,415,1958400,21.19,"14,744,603,774",724,Boomers,Asia
Uzbekistan,1995,male,35-54 years,423,1817200,23.28,"13,350,468,917",681,Boomers,Asia
Uzbekistan,1998,male,35-54 years,460,2062500,22.3,"14,988,971,211",719,Boomers,Asia
Uzbekistan,1999,male,35-54 years,491,2177216,22.55,"17,078,465,982",801,Boomers,Asia
Uzbekistan,1996,male,35-54 years,496,1864100,26.61,"13,948,892,216",703,Boomers,Asia
Uzbekistan,2001,male,35-54 years,513,2389813,21.47,"11,401,351,420",513,Boomers,Asia
Uzbekistan,2000,male,35-54 years,528,2289656,23.06,"13,760,374,488",632,Boomers,Asia
Uzbekistan,2011,female,55-74 years,19,1218296,1.56,"45,915,191,189",1767,Boomers,Asia
Uzbekistan,2013,female,55-74 years,21,1356298,1.55,"57,690,453,461",2150,Boomers,Asia
Uzbekistan,2014,female,55-74 years,21,1438935,1.46,"63,067,077,179",2309,Boomers,Asia
Uzbekistan,2012,female,55-74 years,25,1283060,1.95,"51,821,573,338",1964,Boomers,Asia
Uzbekistan,2011,male,55-74 years,76,1086405,7,"45,915,191,189",1767,Boomers,Asia
Uzbekistan,2013,male,55-74 years,119,1202790,9.89,"57,690,453,461",2150,Boomers,Asia
Uzbekistan,2012,male,55-74 years,133,1141487,11.65,"51,821,573,338",1964,Boomers,Asia
Uzbekistan,2014,male,55-74 years,144,1271111,11.33,"63,067,077,179",2309,Boomers,Asia
United Arab Emirates,2009,female,35-54 years,2,475003,0.42,"253,547,358,747",34960,Boomers,Asia
United Arab Emirates,2005,female,35-54 years,3,286724,1.05,"180,617,018,380",42196,Boomers,Asia
United Arab Emirates,2007,female,35-54 years,3,365164,0.82,"257,916,133,424",45285,Boomers,Asia
United Arab Emirates,2008,female,35-54 years,4,417902,0.96,"315,474,615,739",48457,Boomers,Asia
United Arab Emirates,2006,female,35-54 years,6,320618,1.87,"222,116,541,865",45110,Boomers,Asia
United Arab Emirates,2006,male,35-54 years,30,1244561,2.41,"222,116,541,865",45110,Boomers,Asia
United Arab Emirates,2007,male,35-54 years,35,1481890,2.36,"257,916,133,424",45285,Boomers,Asia
United Arab Emirates,2008,male,35-54 years,36,1776139,2.03,"315,474,615,739",48457,Boomers,Asia
United Arab Emirates,2009,male,35-54 years,39,2094463,1.86,"253,547,358,747",34960,Boomers,Asia
United Arab Emirates,2005,male,35-54 years,42,1083147,3.88,"180,617,018,380",42196,Boomers,Asia
Turkmenistan,1992,female,25-34 years,10,320400,3.12,"3,200,539,816",984,Boomers,Asia
Turkmenistan,1994,female,25-34 years,10,328900,3.04,"2,561,118,608",748,Boomers,Asia
Turkmenistan,1987,female,25-34 years,12,274700,4.37,"2,331,358,820",815,Boomers,Asia
Turkmenistan,1993,female,25-34 years,12,325200,3.69,"3,179,225,949",954,Boomers,Asia
Turkmenistan,1988,female,25-34 years,14,286600,4.88,"3,010,982,414",1029,Boomers,Asia
Turkmenistan,1990,female,25-34 years,16,306400,5.22,"3,189,539,641",1036,Boomers,Asia
Turkmenistan,1989,female,25-34 years,18,297400,6.05,"3,006,988,217",1003,Boomers,Asia
Turkmenistan,1991,female,25-34 years,20,314100,6.37,"3,208,098,919",1014,Boomers,Asia
Turkmenistan,1993,male,25-34 years,40,319000,12.54,"3,179,225,949",954,Boomers,Asia
Turkmenistan,1994,male,25-34 years,41,325300,12.6,"2,561,118,608",748,Boomers,Asia
Turkmenistan,1988,male,25-34 years,48,276400,17.37,"3,010,982,414",1029,Boomers,Asia
Turkmenistan,1992,male,25-34 years,49,305500,16.04,"3,200,539,816",984,Boomers,Asia
Turkmenistan,1987,male,25-34 years,50,265600,18.83,"2,331,358,820",815,Boomers,Asia
Turkmenistan,1989,male,25-34 years,52,285700,18.2,"3,006,988,217",1003,Boomers,Asia
Turkmenistan,1991,male,25-34 years,53,298500,17.76,"3,208,098,919",1014,Boomers,Asia
Turkmenistan,1990,male,25-34 years,61,292800,20.83,"3,189,539,641",1036,Boomers,Asia
Turkmenistan,2009,female,35-54 years,3,590092,0.51,"20,214,385,965",4508,Boomers,Asia
Turkmenistan,1993,female,35-54 years,7,312300,2.24,"3,179,225,949",954,Boomers,Asia
Turkmenistan,1995,female,35-54 years,8,366200,2.18,"2,482,228,440",650,Boomers,Asia
Turkmenistan,2002,female,35-54 years,8,504060,1.59,"4,461,978,499",1077,Boomers,Asia
Turkmenistan,1996,female,35-54 years,9,384900,2.34,"2,379,281,768",608,Boomers,Asia
Turkmenistan,2008,female,35-54 years,10,578059,1.73,"19,271,523,179",4368,Boomers,Asia
Turkmenistan,2000,female,35-54 years,12,470349,2.55,"2,904,662,605",721,Boomers,Asia
Turkmenistan,1994,female,35-54 years,14,328100,4.27,"2,561,118,608",748,Boomers,Asia
Turkmenistan,2001,female,35-54 years,14,488694,2.86,"3,534,803,922",863,Boomers,Asia
Turkmenistan,1991,female,35-54 years,15,288300,5.2,"3,208,098,919",1014,Boomers,Asia
Turkmenistan,1997,female,35-54 years,15,404600,3.71,"2,450,084,970",612,Boomers,Asia
Turkmenistan,2003,female,35-54 years,15,517334,2.9,"5,977,560,877",1431,Boomers,Asia
Turkmenistan,1992,female,35-54 years,16,302000,5.3,"3,200,539,816",984,Boomers,Asia
Turkmenistan,1998,female,35-54 years,17,425700,3.99,"2,605,688,065",636,Boomers,Asia
Turkmenistan,2004,female,35-54 years,17,529987,3.21,"6,838,351,088",1624,Boomers,Asia
Turkmenistan,2005,female,35-54 years,17,542813,3.13,"8,104,355,717",1906,Boomers,Asia
Turkmenistan,2007,female,35-54 years,17,565599,3.01,"12,664,165,103",2916,Boomers,Asia
Turkmenistan,1999,female,35-54 years,19,450423,4.22,"2,450,686,660",619,Boomers,Asia
Turkmenistan,2006,female,35-54 years,23,553688,4.15,"10,277,598,152",2397,Boomers,Asia
Turkmenistan,2009,male,35-54 years,33,546900,6.03,"20,214,385,965",4508,Boomers,Asia
Turkmenistan,1994,male,35-54 years,47,326800,14.38,"2,561,118,608",748,Boomers,Asia
Turkmenistan,1991,male,35-54 years,55,278100,19.78,"3,208,098,919",1014,Boomers,Asia
Turkmenistan,1993,male,35-54 years,55,310000,17.74,"3,179,225,949",954,Boomers,Asia
Turkmenistan,1992,male,35-54 years,61,277400,21.99,"3,200,539,816",984,Boomers,Asia
Turkmenistan,1996,male,35-54 years,61,368800,16.54,"2,379,281,768",608,Boomers,Asia
Turkmenistan,1995,male,35-54 years,65,351500,18.49,"2,482,228,440",650,Boomers,Asia
Turkmenistan,1997,male,35-54 years,66,386700,17.07,"2,450,084,970",612,Boomers,Asia
Turkmenistan,2007,male,35-54 years,92,520854,17.66,"12,664,165,103",2916,Boomers,Asia
Turkmenistan,2000,male,35-54 years,95,423483,22.43,"2,904,662,605",721,Boomers,Asia
Turkmenistan,2003,male,35-54 years,97,469877,20.64,"5,977,560,877",1431,Boomers,Asia
Turkmenistan,2004,male,35-54 years,102,483408,21.1,"6,838,351,088",1624,Boomers,Asia
