Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname,Propertycount,Area
Albert Park,140 Danks St,2,h,1562333,SP,Marshall,2016-08-13,3.3,3206,2,1,2,366,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,70 Barrett St,3,h,2575000,S,Greg,2016-10-15,3.3,3206,3,2,1,228,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,65 Graham St,2,h,1322500,S,Greg,2016-10-15,3.3,3206,2,1,0,149,1890,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,1 Herbert Pl,2,h,1562333,S,hockingstuart,2016-10-15,3.3,3206,2,1,1,152,1907,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,364 Montague St,2,h,1562500,S,Greg,2016-10-15,3.3,3206,2,1,0,141,1890,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,86 Mills St,3,h,2000000,VB,RT,2016-04-16,3.3,3206,3,2,1,211,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,28 Dinsdale St,4,h,2969375,S,Marshall,2016-09-17,3.3,3206,3,1,0,236,1880,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,90 Danks St,3,h,2090778,S,Marshall,2017-03-18,3.3,3206,3,1,2,300,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,129 Kerferd Rd,3,h,1900000,S,Greg,2017-03-18,3.3,3206,3,1,0,209,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,97 Page St,3,h,3010000,S,Greg,2017-03-18,3.3,3206,3,2,0,147,1890,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,36 Ashworth St,3,h,2090778,SP,Marshall,2016-06-18,3.3,3206,3,1,0,173,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,55 Withers St,4,h,2800000,VB,Cayzer,2016-06-18,3.3,3206,4,3,1,327,1910,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,18 Herbert St,3,h,2090778,SN,Cayzer,2016-11-19,3.3,3206,3,1,0,169,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,10/140 Kerferd Rd,2,u,647000,S,Greg,2016-05-22,3.3,3206,2,1,1,0,1907,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,9 Merton Pl,3,h,2090778,SP,Marshall,2016-05-22,3.3,3206,3,2,1,122,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,55 Merton St,3,h,2100000,SP,Marshall,2016-04-23,3.3,3206,2,1,1,120,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,16 Dinsdale St,3,h,2090778,S,Greg,2016-09-24,3.3,3206,3,2,1,241,1990,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,51 Graham St,2,h,1562333,PI,Marshall,2016-09-24,3.3,3206,2,2,1,225,1907,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,49 Page St,3,h,2000000,PI,Marshall,2016-09-24,3.3,3206,3,1,1,238,1890,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,13/52 Moubray St,1,u,442500,S,Marshall,2017-02-25,3.3,3206,1,1,0,0,1970,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,115 Page St,4,h,4735000,S,Marshall,2017-02-25,3.3,3206,4,2,1,330,1910,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,32 Page St,2,h,1340000,S,Greg,2017-02-25,3.3,3206,2,1,0,136,1907,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,34 Richardson St,3,h,1801000,S,hockingstuart,2017-02-25,3.3,3206,3,1,1,202,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,2b Dundas Pl,3,h,1532000,S,Chisholm,2016-07-26,3.3,3206,3,3,1,0,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,22 Greig St,3,h,3755000,S,Greg,2016-07-26,3.3,3206,3,2,2,325,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,27 Barrett St,4,h,2140000,S,Greg,2016-06-27,3.3,3206,3,2,1,183,1880,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,3 Faussett St,2,u,1810000,PI,Marshall,2016-06-27,3.3,3206,2,1,1,179,1907,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,44 Greig St,2,h,1750000,S,Marshall,2016-11-27,3.3,3206,2,1,1,162,1907,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,6 Brooke St,2,h,980000,S,Greg,2016-05-28,3.3,3206,2,1,0,79,1890,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,7 Herbert Pl,2,h,1562333,SP,Marshall,2016-05-28,3.3,3206,2,1,0,99,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,8 Kerferd Pl,4,h,2969375,SP,Marshall,2016-05-28,3.3,3206,4,2,0,230,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,5 Reed St,3,h,2090778,SN,Greg,2016-05-28,3.3,3206,3,2,1,141,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,227a Danks St,3,h,2030000,S,hockingstuart,2016-08-28,3.3,3206,3,2,0,152,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,17 Reed St,3,h,1740000,PI,Marshall,2016-08-28,3.3,3206,3,2,2,147,1890,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,74 Bridport St,3,h,2800000,VB,Buxton,2016-07-30,3.3,3206,3,3,1,0,1911,Port Phillip,Southern Metropolitan,3280,Suburb
Albert Park,9 Durham St,1,h,985000,S,Marshall,2016-07-30,3.3,3206,1,1,0,81,1900,Port Phillip,Southern Metropolitan,3280,Suburb
Brighton,802 Hampton St,3,h,1550000,VB,Buxton,2016-09-03,11.2,3186,3,2,2,663,1940,Bayside,Southern Metropolitan,10579,Suburb
Brighton,476 New St,4,h,2785722,S,Marshall,2016-09-03,11.2,3186,3,3,2,683,1915,Bayside,Southern Metropolitan,10579,Suburb
Brighton,18 Rooding St,3,h,1635000,S,Buxton,2016-09-03,11.2,3186,3,1,2,366,1920,Bayside,Southern Metropolitan,10579,Suburb
Brighton,8 Ballara Ct,3,h,1791843,S,Buxton,2016-12-03,11.2,3186,3,2,4,688,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,148 Cochrane St,3,h,1791843,SP,Marshall,2016-12-03,11.2,3186,3,1,1,318,1910,Bayside,Southern Metropolitan,10579,Suburb
Brighton,152A Cochrane St,4,h,1830000,S,Hodges,2016-12-03,11.2,3186,4,2,2,436,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,2A Grant St,3,t,1300000,PI,Nick,2016-12-03,11.2,3186,3,2,2,340,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,17 McCallum St,4,h,3695000,S,Marshall,2016-12-03,11.2,3186,4,3,2,836,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,10 Murphy St,5,h,3547300,S,Marshall,2016-12-03,11.2,3186,5,3,2,845,2007,Bayside,Southern Metropolitan,10579,Suburb
Brighton,59 Murphy St,4,h,2785722,SP,Nick,2016-12-03,11.2,3186,4,2,2,0,2010,Bayside,Southern Metropolitan,10579,Suburb
Brighton,2/26 Pearson St,2,u,536000,SP,Hodges,2016-12-03,11.2,3186,2,1,2,0,1970,Bayside,Southern Metropolitan,10579,Suburb
Brighton,8 Sargon Gr,4,h,2785722,PN,Biggin,2016-12-03,11.2,3186,4,2,2,525,1915,Bayside,Southern Metropolitan,10579,Suburb
Brighton,18 Victoria St,4,h,3700000,S,Marshall,2016-12-03,11.2,3186,4,3,2,742,1900,Bayside,Southern Metropolitan,10579,Suburb
Brighton,20 Victoria St,4,h,3775000,S,Buxton,2016-12-03,11.2,3186,4,3,2,745,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,50 Well St,3,h,1975000,S,Buxton,2016-12-03,11.2,3186,3,1,2,432,1930,Bayside,Southern Metropolitan,10579,Suburb
Brighton,178A Were St,5,h,3547300,SP,Nick,2016-12-03,11.2,3186,5,3,3,777,1958,Bayside,Southern Metropolitan,10579,Suburb
Brighton,14 Carpenter St,5,h,3547300,SP,Buxton,2017-03-04,11.2,3186,5,2,2,654,1958,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/137 Cole St,2,u,1300000,S,hockingstuart,2017-03-04,11.2,3186,2,2,1,244,2000,Bayside,Southern Metropolitan,10579,Suburb
Brighton,4/78 Dendy St,3,h,1390000,S,Tiernan's,2017-03-04,11.2,3186,3,1,2,340,1975,Bayside,Southern Metropolitan,10579,Suburb
Brighton,11 Foote St,4,h,4250000,S,Biggin,2017-03-04,11.2,3186,4,3,2,750,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/632 Hampton St,2,t,988770,SP,J,2017-03-04,11.2,3186,2,1,1,221,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,133 Head St,4,h,2905000,S,Marshall,2017-03-04,11.2,3186,4,3,1,487,1905,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/112 Roslyn St,2,u,1300000,S,Nick,2017-03-04,11.2,3186,2,2,2,329,1940,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/119 Roslyn St,3,t,1725000,PI,Buxton,2017-03-04,11.2,3186,3,2,2,411,1997,Bayside,Southern Metropolitan,10579,Suburb
Brighton,6 Webb St,3,h,1791843,S,Marshall,2017-03-04,11.2,3186,3,2,2,925,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,15 Whyte St,3,h,2266000,S,Marshall,2017-03-04,11.2,3186,3,2,2,450,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,23 Albert St,4,h,2910000,S,Marshall,2016-06-04,11.2,3186,4,1,2,732,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,4/14 Asling St,2,t,988770,S,Hodges,2016-06-04,11.2,3186,2,1,2,180,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,30 Barkly St,3,h,2100000,S,Buxton,2016-06-04,11.2,3186,3,2,2,463,1970,Bayside,Southern Metropolitan,10579,Suburb
Brighton,6/4 Seaview Av,3,h,1791843,SP,Nick,2016-06-04,11.2,3186,3,2,2,340,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,3/18 Waterloo St,3,t,1791843,SP,Buxton,2016-06-04,11.2,3186,3,2,2,340,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,6/21 Were St,2,u,760000,S,RT,2016-06-04,11.2,3186,2,1,1,221,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,3/78 William St,2,u,800000,S,Hodges,2016-06-04,11.2,3186,2,1,1,90,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/97 Wilson St,3,t,1750000,S,Buxton,2016-06-04,11.2,3186,3,2,2,352,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,124 Cole St,4,h,1761000,S,Kay,2016-08-06,11.2,3186,4,2,3,615,1920,Bayside,Southern Metropolitan,10579,Suburb
Brighton,60 Halifax St,4,h,2785722,SN,Buxton,2016-08-06,11.2,3186,4,2,2,993,1880,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1 Laburnum Ct,4,h,2785722,SN,Buxton,2016-08-06,11.2,3186,4,3,2,591,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1a Mair St,3,h,2600000,S,Buxton,2016-08-06,11.2,3186,3,2,3,588,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,24b Munro St,3,h,1302500,S,Nick,2016-08-06,11.2,3186,3,2,2,0,1993,Bayside,Southern Metropolitan,10579,Suburb
Brighton,17 New St,3,h,1900000,S,Marshall,2016-08-06,11.2,3186,3,0,0,0,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,90 New St,5,h,3547300,S,RT,2016-08-06,11.2,3186,4,3,3,670,1920,Bayside,Southern Metropolitan,10579,Suburb
Brighton,3/20 Burrows St,2,u,988770,S,hockingstuart,2016-05-07,11.2,3186,2,1,2,176,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,74 Carpenter St,5,h,2750000,VB,Buxton,2016-05-07,11.2,3186,4,3,1,509,2005,Bayside,Southern Metropolitan,10579,Suburb
Brighton,4/149 Church St,2,u,892500,S,Nick,2016-05-07,11.2,3186,2,1,2,232,1970,Bayside,Southern Metropolitan,10579,Suburb
Brighton,120 Cole St,4,h,2145000,S,Buxton,2016-05-07,11.2,3186,3,2,1,550,1910,Bayside,Southern Metropolitan,10579,Suburb
Brighton,15 Hanby St,5,h,3171000,S,Biggin,2016-05-07,11.2,3186,4,2,2,710,2000,Bayside,Southern Metropolitan,10579,Suburb
Brighton,25 Lindsay St,4,t,2800000,VB,Buxton,2016-05-07,11.2,3186,4,3,2,591,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,6/363 New St,2,u,988770,PN,Castran,2016-05-07,11.2,3186,2,1,2,0,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,123 South Rd,4,h,2785722,PN,Kay,2016-05-07,11.2,3186,4,2,2,702,1923,Bayside,Southern Metropolitan,10579,Suburb
Brighton,2 View Ct,2,h,1910000,S,Hodges,2016-05-07,11.2,3186,2,2,4,696,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,36a Warleigh Gr,3,t,1850000,SP,Buxton,2016-05-07,11.2,3186,3,2,2,0,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/5 Webb St,3,t,1067000,S,Kay,2016-05-07,11.2,3186,3,0,1,0,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,72 William St,3,h,1865000,VB,hockingstuart,2016-05-07,11.2,3186,3,2,2,295,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,105/103 Bay St,2,u,620000,S,Gary,2016-11-07,11.2,3186,2,2,1,0,2013,Bayside,Southern Metropolitan,10579,Suburb
Brighton,30a Rooding St,2,u,985000,PI,Marshall,2016-11-07,11.2,3186,2,1,1,611,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,3 Snooks Ct,4,h,2785722,SP,Nick,2016-11-07,11.2,3186,4,3,2,600,2015,Bayside,Southern Metropolitan,10579,Suburb
Brighton,2/422 St Kilda St,3,t,1475000,PI,Buxton,2016-11-07,11.2,3186,3,2,2,345,2000,Bayside,Southern Metropolitan,10579,Suburb
Brighton,5 Davie La,2,h,502000,S,Hodges,2016-10-08,11.2,3186,2,2,0,116,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,26 Dawson Av,3,h,1791843,S,Buxton,2016-10-08,11.2,3186,3,2,2,340,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,70 Dendy St,4,h,2785722,SP,Nick,2016-10-08,11.2,3186,4,1,2,612,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,21 Grandview Rd,2,h,988770,SP,Marshall,2016-10-08,11.2,3186,2,1,1,742,1918,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/17 Tennyson St,2,u,700000,PI,RT,2016-10-08,11.2,3186,2,1,1,0,1952,Bayside,Southern Metropolitan,10579,Suburb
Brighton,17a Bridge St,3,t,1791843,SP,Buxton,2016-09-10,11.2,3186,3,2,2,326,2006,Bayside,Southern Metropolitan,10579,Suburb
Brighton,4/117 Cochrane St,2,u,988770,S,Marshall,2016-09-10,11.2,3186,2,1,1,81,1970,Bayside,Southern Metropolitan,10579,Suburb
Brighton,15 Gould St,3,h,2400000,S,Marshall,2016-09-10,11.2,3186,3,2,2,835,1910,Bayside,Southern Metropolitan,10579,Suburb
Brighton,2/42 Grosvenor St,2,u,590000,S,J,2016-09-10,11.2,3186,2,1,1,0,1950,Bayside,Southern Metropolitan,10579,Suburb
Brighton,25 Male St,4,h,2785722,SN,Nick,2016-09-10,11.2,3186,4,2,2,570,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/10 Manor St,3,h,1650000,S,Nick,2016-09-10,11.2,3186,3,2,2,0,1980,Bayside,Southern Metropolitan,10579,Suburb
Brighton,16 Well St,3,h,1791843,SP,Marshall,2016-09-10,11.2,3186,3,2,2,332,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,176 Were St,5,h,1562500,PI,Buxton,2016-09-10,11.2,3186,5,2,2,655,1925,Bayside,Southern Metropolitan,10579,Suburb
Brighton,2 Campbell St,3,h,2050000,PI,hockingstuart,2016-12-10,11.2,3186,3,3,2,398,2012,Bayside,Southern Metropolitan,10579,Suburb
Brighton,115 Dendy St,4,h,3180000,S,hockingstuart,2016-12-10,11.2,3186,4,3,6,454,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,640B Hampton St,2,t,960000,S,Hodges,2016-12-10,11.2,3186,2,1,2,363,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,5/778 Hampton St,2,h,752000,S,hockingstuart,2016-12-10,11.2,3186,2,1,1,221,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/858 Hampton St,2,u,833000,S,Buxton,2016-12-10,11.2,3186,2,1,1,221,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,68 Head St,3,h,1791843,SN,Kay,2016-12-10,11.2,3186,3,1,2,714,1920,Bayside,Southern Metropolitan,10579,Suburb
Brighton,73 Martin St,4,h,3320000,S,Buxton,2016-12-10,11.2,3186,4,3,2,644,2000,Bayside,Southern Metropolitan,10579,Suburb
Brighton,297 New St,4,h,2800000,PI,RT,2016-12-10,11.2,3186,4,3,3,596,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,2a Roslyn St,1,h,1775000,S,Nick,2016-12-10,11.2,3186,1,1,1,413,1975,Bayside,Southern Metropolitan,10579,Suburb
Brighton,3/24 South Rd,3,u,1602000,S,RT,2016-12-10,11.2,3186,3,2,2,328,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,25 Were St,3,h,1791843,PI,Marshall,2016-12-10,11.2,3186,3,2,2,620,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,6/4 Dudley St,2,u,1300000,PI,Greg,2017-02-11,11.2,3186,2,2,2,0,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,5 Avonbury Ct,4,h,2785722,SP,Buxton,2016-11-12,11.2,3186,4,2,2,664,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,16 Berwick St,5,h,3547300,SP,Marshall,2016-11-12,11.2,3186,5,3,2,996,2016,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/16 Black St,2,u,1100000,S,Buxton,2016-11-12,11.2,3186,2,1,2,0,1935,Bayside,Southern Metropolitan,10579,Suburb
Brighton,5 Bridge St,3,h,1650000,S,Hodges,2016-11-12,11.2,3186,3,2,1,354,1910,Bayside,Southern Metropolitan,10579,Suburb
Brighton,11a Elm Gr,2,h,1102000,S,hockingstuart,2016-11-12,11.2,3186,2,1,2,318,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,8/42 Grosvenor St,2,u,575000,S,Buxton,2016-11-12,11.2,3186,2,1,1,0,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,833 Hampton St,4,h,2785722,S,Buxton,2016-11-12,11.2,3186,4,3,2,591,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,28 Loller St,2,h,1570000,S,Buxton,2016-11-12,11.2,3186,2,1,0,352,1920,Bayside,Southern Metropolitan,10579,Suburb
Brighton,2/5 Loller St,3,t,1411000,S,Buxton,2016-11-12,11.2,3186,3,2,2,0,2011,Bayside,Southern Metropolitan,10579,Suburb
Brighton,46 Meek St,3,t,1791843,SN,Kay,2016-11-12,11.2,3186,3,3,2,0,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/17 Oakwood Av,3,u,1500000,S,hockingstuart,2016-11-12,11.2,3186,3,2,2,340,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,11 Selwyn St,5,h,3547300,PN,Branon,2016-11-12,11.2,3186,5,4,4,777,2002,Bayside,Southern Metropolitan,10579,Suburb
Brighton,9 Sussex St,5,h,4700000,VB,Hodges,2016-11-12,11.2,3186,5,3,2,1073,1958,Bayside,Southern Metropolitan,10579,Suburb
Brighton,40 Whyte St,3,h,1785000,SP,Buxton,2016-11-12,11.2,3186,3,2,1,404,1953,Bayside,Southern Metropolitan,10579,Suburb
Brighton,44 William St,2,h,1550000,VB,Buxton,2016-11-12,11.2,3186,2,2,2,404,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,3/22 Burrows St,3,t,1791843,SP,Buxton,2016-08-13,11.2,3186,3,1,2,462,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,7 Chavasse St,3,h,1875000,S,Hodges,2016-08-13,11.2,3186,3,2,2,275,1991,Bayside,Southern Metropolitan,10579,Suburb
Brighton,737 Hampton St,3,h,1791843,SP,J,2016-08-13,11.2,3186,3,3,4,509,2012,Bayside,Southern Metropolitan,10579,Suburb
Brighton,46 Head St,4,h,2400000,S,Hodges,2016-08-13,11.2,3186,4,2,2,640,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,4/23 South Rd,3,u,1266000,S,Hodges,2016-08-13,11.2,3186,3,1,2,277,1950,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/105 Cochrane St,3,u,826000,S,Biggin,2016-05-14,11.2,3186,3,1,2,119,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,97 Dendy St,5,h,2730000,S,Gary,2016-05-14,11.2,3186,5,3,2,895,1938,Bayside,Southern Metropolitan,10579,Suburb
Brighton,1/191 New St,2,u,900000,S,Nick,2016-05-14,11.2,3186,2,2,1,118,1970,Bayside,Southern Metropolitan,10579,Suburb
Brighton,9 Railway Av,1,u,664333,S,hockingstuart,2016-05-14,11.2,3186,1,1,1,413,1975,Bayside,Southern Metropolitan,10579,Suburb
Brighton,55 Whyte St,3,t,1962000,S,Marshall,2016-05-14,11.2,3186,3,2,2,323,1995,Bayside,Southern Metropolitan,10579,Suburb
Brighton,95 Cochrane St,4,h,3295888,S,Hodges,2016-10-15,11.2,3186,4,3,2,565,1990,Bayside,Southern Metropolitan,10579,Suburb
Brighton,65 Male St,3,h,1205000,SP,Buxton,2016-10-15,11.2,3186,3,2,2,340,1960,Bayside,Southern Metropolitan,10579,Suburb
Brighton,6/138 New St,1,u,375000,S,hockingstuart,2016-10-15,11.2,3186,1,1,1,0,1965,Bayside,Southern Metropolitan,10579,Suburb
Brighton,157 New St,4,h,2785722,SP,Buxton,2016-10-15,11.2,3186,4,2,2,667,1925,Bayside,Southern Metropolitan,10579,Suburb
Brighton,8/35 Normanby St,2,u,756000,S,Buxton,2016-10-15,11.2,3186,2,1,1,0,1920,Bayside,Southern Metropolitan,10579,Suburb
Brighton,2/66 Well St,4,h,2785722,SP,Marshall,2016-10-15,11.2,3186,4,3,2,0,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,2/61 Black St,2,u,800000,VB,hockingstuart,2016-04-16,11.2,3186,2,1,1,131,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,4/2 Brandon Cl,2,u,988770,SP,Buxton,2016-04-16,11.2,3186,2,1,1,221,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,34 Middle Cr,4,h,4375000,S,hockingstuart,2016-04-16,11.2,3186,4,3,2,591,1959,Bayside,Southern Metropolitan,10579,Suburb
Brighton,48 Montclair Av,2,h,1036000,S,Buxton,2016-04-16,11.2,3186,2,1,1,221,1963,Bayside,Southern Metropolitan,10579,Suburb
Brighton,31 Orchard St,5,h,2100000,PI,Hodges,2016-04-16,11.2,3186,5,5,2,552,1920,Bayside,Southern Metropolitan,10579,Suburb
Brighton,45 Black St,3,h,1500000,S,Nick,2016-07-16,11.2,3186,3,2,1,442,1960,Bayside,Southern Metropolitan,10579,Suburb
