Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname,Propertycount
Ashburton,60 Munro Av,5,House,1850000,S,Fletchers,2016-05-07,11,3147,5,4,3,693,1982,Boroondara,Southern Metropolitan,3052
Ashburton,1/4 Taylor St,2,House,1380800,VB,Jellis,2016-11-07,11,3147,2,1,2,557,1965,Boroondara,Southern Metropolitan,3052
Ashburton,1/6 Crete Av,3,House,780000,S,Tim,2016-10-08,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,69a Munro Av,4,House,1942000,S,Marshall,2016-10-08,11,3147,4,2,2,579,1979,Boroondara,Southern Metropolitan,3052
Ashburton,16a Nicholas St,3,House,1100000,PI,Marshall,2016-10-08,11,3147,3,3,2,276,2004,Boroondara,Southern Metropolitan,3052
Ashburton,5 Nicholas St,3,House,1337000,S,Buxton,2016-10-08,11,3147,3,1,2,583,1950,Boroondara,Southern Metropolitan,3052
Ashburton,33 Eleanor St,4,House,2215000,SP,Marshall,2016-09-10,11,3147,4,2,1,681,1940,Boroondara,Southern Metropolitan,3052
Ashburton,3a Mernda Av,4,House,1880000,S,Fletchers,2016-09-10,11,3147,4,2,2,579,1979,Boroondara,Southern Metropolitan,3052
Ashburton,1/1 Nairn St,3,House,1518000,S,Jellis,2016-09-10,11,3147,3,2,2,516,1920,Boroondara,Southern Metropolitan,3052
Ashburton,9 Gona Ct,3,House,1710000,S,hockingstuart,2016-12-10,11,3147,3,1,2,806,1950,Boroondara,Southern Metropolitan,3052
Ashburton,60 Nicholas St,3,House,1506365,SP,Marshall,2016-12-10,11,3147,3,1,2,699,1960,Boroondara,Southern Metropolitan,3052
Ashburton,76 Nicholas St,3,House,1506365,S,Marshall,2016-12-10,11,3147,3,1,2,697,1962,Boroondara,Southern Metropolitan,3052
Ashburton,45 Yuile St,3,House,1655000,S,Jellis,2016-12-10,11,3147,3,1,3,780,1940,Boroondara,Southern Metropolitan,3052
Ashburton,1/24 Crete Av,3,Townhouse,1340000,S,Jellis,2016-06-12,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,18 Alamein Av,3,House,1445000,S,Jellis,2016-11-12,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,3 Lae Ct,3,House,1500000,S,Jellis,2016-11-12,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,8 Ryland St,4,House,1849442,SN,Tim,2016-11-12,11,3147,4,2,2,513,1950,Boroondara,Southern Metropolitan,3052
Ashburton,47 Yuile St,4,House,1550000,VB,Marshall,2016-11-12,11,3147,4,2,2,780,1938,Boroondara,Southern Metropolitan,3052
Ashburton,36 Alamein Av,2,House,1356000,S,Jellis,2016-05-14,11,3147,2,1,2,557,1965,Boroondara,Southern Metropolitan,3052
Ashburton,6a Glen Rd,3,House,1662000,S,Jellis,2016-05-14,11,3147,3,2,2,351,2006,Boroondara,Southern Metropolitan,3052
Ashburton,18 Glen Rd,3,House,1665000,S,Jellis,2016-10-15,11,3147,3,2,3,702,1945,Boroondara,Southern Metropolitan,3052
Ashburton,11a Ambon St,3,House,1506365,S,Jellis,2016-04-16,11,3147,3,2,1,404,2010,Boroondara,Southern Metropolitan,3052
Ashburton,24 Fakenham Rd,3,House,1506365,S,Marshall,2016-04-16,11,3147,3,2,2,650,1960,Boroondara,Southern Metropolitan,3052
Ashburton,95 Nicholas St,2,House,1445000,S,Jellis,2016-04-16,11,3147,2,1,2,704,1965,Boroondara,Southern Metropolitan,3052
Ashburton,34 Munro Av,3,House,1600000,S,Noel,2016-07-16,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,2a Lancaster St,3,House,980000,VB,Fletchers,2016-09-17,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,1/1 Ramu Gr,3,Townhouse,1300000,VB,Jellis,2016-09-17,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,8 Glen Rd,3,House,1506365,S,Fletchers,2017-03-18,11,3147,3,2,2,696,1960,Boroondara,Southern Metropolitan,3052
Ashburton,11 Munro Av,4,House,1849442,S,Fletchers,2017-03-18,11,3147,4,2,2,579,1979,Boroondara,Southern Metropolitan,3052
Ashburton,46 Nicholas St,2,House,1380800,S,Marshall,2017-03-18,11,3147,2,1,2,697,1965,Boroondara,Southern Metropolitan,3052
Ashburton,29A Yuile St,5,House,3510000,S,Jellis,2017-03-18,11,3147,5,5,2,755,2015,Boroondara,Southern Metropolitan,3052
Ashburton,50a Baker Pde,4,House,1730000,SP,hockingstuart,2016-06-18,11,3147,4,2,2,579,1979,Boroondara,Southern Metropolitan,3052
Ashburton,20 Gloucester Rd,3,House,1506365,S,Marshall,2016-06-18,11,3147,3,2,2,591,1960,Boroondara,Southern Metropolitan,3052
Ashburton,3/75 Victory Bvd,3,Townhouse,968000,S,Jellis,2016-06-18,11,3147,3,1,1,227,1960,Boroondara,Southern Metropolitan,3052
Ashburton,2/17 Ashburn Gr,3,Townhouse,900000,S,Jellis,2016-11-19,11,3147,3,2,2,153,1990,Boroondara,Southern Metropolitan,3052
Ashburton,34 Morotai Av,3,House,1570000,S,Buxton,2016-11-19,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,4 Baker Pde,3,House,1500000,S,hockingstuart,2016-05-22,11,3147,3,1,2,545,1960,Boroondara,Southern Metropolitan,3052
Ashburton,26 Tarakan Av,3,House,1360000,S,Tim,2016-05-22,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,14 Gloucester Rd,4,House,1849442,PI,Buxton/Marshall,2016-08-22,11,3147,4,3,1,310,2016,Boroondara,Southern Metropolitan,3052
Ashburton,56 Gloucester Rd,4,House,1600000,VB,Jellis,2016-08-22,11,3147,4,2,2,579,1979,Boroondara,Southern Metropolitan,3052
Ashburton,19 Lancaster St,3,House,1506365,S,Marshall,2016-08-22,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,3 Mustang Ct,3,House,1500000,VB,Jellis,2016-08-22,11,3147,3,2,2,710,1945,Boroondara,Southern Metropolitan,3052
Ashburton,460 Warrigal Rd,2,House,1380800,SP,Buxton,2016-08-22,11,3147,2,1,2,672,1965,Boroondara,Southern Metropolitan,3052
Ashburton,3/4 Annetta Av,3,House,1430000,S,Jellis,2016-04-23,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,20 Alamein Av,3,House,1601000,S,Tim,2017-02-25,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,55 Alamein Av,4,House,1650000,PI,Noel,2017-02-25,11,3147,4,2,2,579,1979,Boroondara,Southern Metropolitan,3052
Ashburton,63 Dent St,4,House,1800000,S,Jellis,2017-02-25,11,3147,4,2,4,749,1950,Boroondara,Southern Metropolitan,3052
Ashburton,16 Dunscombe Av,3,House,1610000,S,Jellis,2017-02-25,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,30 Glen Rd,4,House,1849442,S,Fletchers,2017-02-25,11,3147,4,2,2,579,1979,Boroondara,Southern Metropolitan,3052
Ashburton,23 Johnston St,4,House,1849442,SN,RT,2017-02-25,11,3147,4,2,2,703,1927,Boroondara,Southern Metropolitan,3052
Ashburton,4 Vears Rd,3,House,1830000,S,Jellis,2017-02-25,11,3147,3,2,3,724,1940,Boroondara,Southern Metropolitan,3052
Ashburton,2/43 Warner Av,3,Townhouse,1506365,SP,Marshall,2017-02-25,11,3147,3,2,2,615,1960,Boroondara,Southern Metropolitan,3052
Ashburton,14 Lucerne St,3,House,1415000,S,Buxton,2016-06-27,11,3147,3,1,1,605,1950,Boroondara,Southern Metropolitan,3052
Ashburton,5 Pitt St,2,House,1440000,PI,Jellis,2016-06-27,11,3147,2,1,1,687,1940,Boroondara,Southern Metropolitan,3052
Ashburton,1/65 Ashburn Gr,4,Townhouse,1250000,VB,Noel,2016-11-27,11,3147,4,2,2,321,2007,Boroondara,Southern Metropolitan,3052
Ashburton,12 Meaden St,3,House,1422000,S,Buxton,2016-11-27,11,3147,3,1,2,583,1960,Boroondara,Southern Metropolitan,3052
Ashburton,48 Nicholas St,5,House,1600000,S,Marshall,2016-11-27,11,3147,5,3,4,700,1950,Boroondara,Southern Metropolitan,3052
Ashburton,5 Taylor St,4,House,1860000,S,Jellis,2016-11-27,11,3147,4,2,3,696,2000,Boroondara,Southern Metropolitan,3052
Ashburton,1/7 Y St,3,Townhouse,1710000,S,Marshall,2016-11-27,11,3147,3,2,2,295,1990,Boroondara,Southern Metropolitan,3052
Ashburton,54 Baker Pde,3,House,1506365,S,Marshall,2016-05-28,11,3147,3,1,2,752,1948,Boroondara,Southern Metropolitan,3052
Ashburton,33 Highgate Gr,4,House,1790000,PI,hockingstuart,2016-05-28,11,3147,4,2,2,514,1935,Boroondara,Southern Metropolitan,3052
Ashburton,9 Pitt St,4,House,1950000,S,Tim,2016-05-28,11,3147,4,2,2,844,1940,Boroondara,Southern Metropolitan,3052
Ashburton,9 Ward St,3,House,1600000,S,Fletchers,2016-05-28,11,3147,3,1,2,637,1960,Boroondara,Southern Metropolitan,3052
Ashburton,19 Poulter St,3,House,1650000,S,Marshall,2016-08-28,11,3147,3,1,1,697,1947,Boroondara,Southern Metropolitan,3052
Ashburton,15 Lancaster St,4,House,1280000,S,Fletchers,2016-07-30,11,3147,4,2,2,579,1979,Boroondara,Southern Metropolitan,3052
Balwyn,1/4 Glenluss St,3,Townhouse,1578289,S,Jellis,2016-09-03,9.7,3103,3,2,2,348,1969,Boroondara,Southern Metropolitan,5682
Balwyn,166 Gordon St,2,House,2100000,S,Marshall,2016-09-03,9.7,3103,2,1,1,659,1920,Boroondara,Southern Metropolitan,5682
Balwyn,36 Narrak Rd,4,House,1800000,VB,Marshall,2016-09-03,9.7,3103,4,2,2,715,1985,Boroondara,Southern Metropolitan,5682
Balwyn,2/16 Westminster St,2,Townhouse,1255000,S,Noel,2016-09-03,9.7,3103,2,1,1,208,2000,Boroondara,Southern Metropolitan,5682
Balwyn,2/74 Balwyn Rd,3,Unit,1070000,SA,Philip,2016-12-03,9.7,3103,3,2,2,206,1998,Boroondara,Southern Metropolitan,5682
Balwyn,19 Belgrove Av,4,House,2200000,S,Marshall,2016-12-03,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,26 Belgrove Av,4,House,2290000,PI,Fletchers,2016-12-03,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,112 Belmore Rd,5,House,2570000,PI,RT,2016-12-03,9.7,3103,5,3,2,715,2009,Boroondara,Southern Metropolitan,5682
Balwyn,27 Bevan St,4,House,2400000,VB,RW,2016-12-03,9.7,3103,4,2,2,744,1985,Boroondara,Southern Metropolitan,5682
Balwyn,129 Gordon St,3,House,2200000,S,North,2016-12-03,9.7,3103,3,3,2,651,1969,Boroondara,Southern Metropolitan,5682
Balwyn,4 Melba Ct,5,House,3250000,PI,hockingstuart,2016-12-03,9.7,3103,5,5,2,651,1990,Boroondara,Southern Metropolitan,5682
Balwyn,5/14 Parring Rd,2,Unit,806000,S,Noel,2016-12-03,9.7,3103,2,1,1,122,1977,Boroondara,Southern Metropolitan,5682
Balwyn,22 Yongala St,5,House,2250000,PI,Noel,2016-12-03,9.7,3103,5,3,2,600,2006,Boroondara,Southern Metropolitan,5682
Balwyn,120/188 Whitehorse Rd,1,Unit,450000,VB,MICM,2016-02-04,9.7,3103,1,1,1,709,2016,Boroondara,Southern Metropolitan,5682
Balwyn,12/37 Banool Rd,3,Townhouse,1400000,PI,Ascend,2017-03-04,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,32 Bevan St,4,House,2249415,S,Jellis,2017-03-04,9.7,3103,4,3,4,647,1919,Boroondara,Southern Metropolitan,5682
Balwyn,3/30 Cremorne St,2,Unit,812000,S,Jellis,2017-03-04,9.7,3103,2,1,1,206,1967,Boroondara,Southern Metropolitan,5682
Balwyn,27 Parkdale Av,3,House,1578289,VB,Fletchers,2017-03-04,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,9/5 Boston Rd,3,House,1140000,S,Nelson,2016-06-04,9.7,3103,3,2,2,175,1976,Boroondara,Southern Metropolitan,5682
Balwyn,17 Gordon St,3,House,2330000,S,Marshall,2016-06-04,9.7,3103,3,2,1,853,1969,Boroondara,Southern Metropolitan,5682
Balwyn,40 Metung St,5,House,2800000,VB,Marshall,2016-06-04,9.7,3103,5,3,2,678,2001,Boroondara,Southern Metropolitan,5682
Balwyn,2a Pryton Ct,4,House,2249415,S,Marshall,2016-06-04,9.7,3103,4,2,2,342,2000,Boroondara,Southern Metropolitan,5682
Balwyn,4/42 Talbot Av,2,Unit,859351,S,Fletchers,2016-06-04,9.7,3103,2,1,1,219,1967,Boroondara,Southern Metropolitan,5682
Balwyn,1/37 Yongala St,3,House,1255000,PI,Noel,2016-06-04,9.7,3103,3,2,2,308,1969,Boroondara,Southern Metropolitan,5682
Balwyn,59 Narrak Rd,2,House,859351,S,Fletchers,2016-08-06,9.7,3103,2,1,1,954,1915,Boroondara,Southern Metropolitan,5682
Balwyn,23 Norbert St,4,House,2249415,S,Marshall,2016-08-06,9.7,3103,4,2,2,635,1996,Boroondara,Southern Metropolitan,5682
Balwyn,9/11 Parring Rd,2,Unit,805000,S,Noel,2016-08-06,9.7,3103,3,1,1,209,1975,Boroondara,Southern Metropolitan,5682
Balwyn,24 Bennett St,4,House,2000000,PI,RT,2016-05-07,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,7 Creswick St,3,House,1578289,PI,RT,2016-05-07,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,12 Kaleno Vw,4,House,2249415,S,Noel,2016-05-07,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,4/3 King St,3,House,700000,VB,Marshall,2016-05-07,9.7,3103,3,1,1,188,1970,Boroondara,Southern Metropolitan,5682
Balwyn,27 Nungerner St,4,House,2130000,PI,Jellis,2016-05-07,9.7,3103,4,2,2,664,1969,Boroondara,Southern Metropolitan,5682
Balwyn,3 Westminster St,3,House,2125000,SP,Jellis,2016-05-07,9.7,3103,3,2,2,699,1985,Boroondara,Southern Metropolitan,5682
Balwyn,2 Henry St,2,House,859351,SP,RW,2016-11-07,9.7,3103,2,1,2,589,1950,Boroondara,Southern Metropolitan,5682
Balwyn,2/42 Talbot Av,2,Unit,648000,S,hockingstuart,2016-11-07,9.7,3103,2,1,1,219,1967,Boroondara,Southern Metropolitan,5682
Balwyn,13 Naroo St,4,House,1800000,PI,Jellis,2016-10-08,9.7,3103,3,2,2,577,1948,Boroondara,Southern Metropolitan,5682
Balwyn,4/339 Union Rd,3,House,1020000,VB,Marshall,2016-10-08,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,14 Conway Cr,3,House,1578289,S,Marshall,2016-09-10,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,68 Elliott Av,5,House,2350000,S,Marshall,2016-09-10,9.7,3103,5,4,2,753,1990,Boroondara,Southern Metropolitan,5682
Balwyn,2/23 Northcote Av,3,Townhouse,1500000,PI,Noel,2016-09-10,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,6 Tonkin Av,2,House,1900000,VB,Marshall,2016-09-10,9.7,3103,2,1,1,219,1967,Boroondara,Southern Metropolitan,5682
Balwyn,9/204 Whitehorse Rd,1,House,390000,VB,Jellis,2016-09-10,9.7,3103,1,1,1,740,2016,Boroondara,Southern Metropolitan,5682
Balwyn,8 Yongala St,3,House,1578289,SP,Noel,2016-09-10,9.7,3103,3,2,2,599,1926,Boroondara,Southern Metropolitan,5682
Balwyn,11 Belgrove Av,5,House,2950000,VB,Jellis,2016-12-10,9.7,3103,5,4,2,753,1990,Boroondara,Southern Metropolitan,5682
Balwyn,1/18 Belmore Rd,3,House,905000,S,Kay,2016-12-10,9.7,3103,3,1,2,281,1995,Boroondara,Southern Metropolitan,5682
Balwyn,316 Belmore Rd,4,House,1750000,PI,Ascend,2016-12-10,9.7,3103,4,3,2,453,2016,Boroondara,Southern Metropolitan,5682
Balwyn,11/22 Brenbeal St,2,Townhouse,760000,S,Christopher,2016-12-10,9.7,3103,2,1,1,121,1960,Boroondara,Southern Metropolitan,5682
Balwyn,7/1 Conway Cr,2,Unit,550000,SP,Noel,2016-12-10,9.7,3103,2,1,1,219,1967,Boroondara,Southern Metropolitan,5682
Balwyn,3/3 Iramoo St,3,Townhouse,1367000,S,Jellis,2016-12-10,9.7,3103,3,2,2,219,2003,Boroondara,Southern Metropolitan,5682
Balwyn,9/7 Kireep Rd,3,Townhouse,788000,S,Fletchers,2016-12-10,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,18 Metung St,5,House,3600000,SP,Marshall,2016-12-10,9.7,3103,5,3,2,678,1990,Boroondara,Southern Metropolitan,5682
Balwyn,25 Percy St,5,House,2550000,S,Marshall,2016-12-10,9.7,3103,5,3,2,642,1930,Boroondara,Southern Metropolitan,5682
Balwyn,2/111 Strabane Av,3,House,1050000,SP,Marshall,2016-12-10,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,11 Monash Av,5,House,3350000,PI,hockingstuart,2017-03-11,9.7,3103,5,4,2,753,1990,Boroondara,Southern Metropolitan,5682
Balwyn,2/8 Evelina St,4,Townhouse,1400000,PI,Noel,2016-11-12,9.7,3103,4,3,2,241,2009,Boroondara,Southern Metropolitan,5682
Balwyn,23 Hertford Cr,5,House,2946481,SP,Jellis,2016-11-12,9.7,3103,5,4,2,753,1990,Boroondara,Southern Metropolitan,5682
Balwyn,7/7 Kireep Rd,3,Unit,662500,S,Jellis,2016-11-12,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,5 Millah Rd,4,House,3270000,S,Fletchers,2016-11-12,9.7,3103,4,2,4,935,1927,Boroondara,Southern Metropolitan,5682
Balwyn,53 Monash Av,5,House,2946481,SP,RW,2016-11-12,9.7,3103,5,4,2,753,1990,Boroondara,Southern Metropolitan,5682
Balwyn,3/4 Pretoria St,3,Unit,1280000,S,Noel,2016-11-12,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,6/10 Brenbeal St,2,Unit,625000,PI,Jellis,2016-08-13,9.7,3103,2,1,1,115,1960,Boroondara,Southern Metropolitan,5682
Balwyn,4/4 Raynes St,2,Townhouse,700000,VB,Noel,2016-08-13,9.7,3103,2,1,1,104,1967,Boroondara,Southern Metropolitan,5682
Balwyn,31 Yongala St,4,House,2249415,PI,Noel,2016-08-13,9.7,3103,4,2,2,746,1990,Boroondara,Southern Metropolitan,5682
Balwyn,3/5 Dunure Ct,4,Townhouse,1920000,PI,Ray,2016-05-14,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,18 Kaleno Vw,4,House,2249415,SP,hockingstuart,2016-05-14,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,3 Reid St,3,House,1578289,SP,Jellis,2016-05-14,9.7,3103,3,2,2,649,1988,Boroondara,Southern Metropolitan,5682
Balwyn,1b Threadneedle St,2,House,859351,PN,Fletchers,2016-05-14,9.7,3103,2,3,2,344,1967,Boroondara,Southern Metropolitan,5682
Balwyn,1 Weston St,3,House,1860000,S,Marshall,2016-05-14,9.7,3103,3,1,4,671,1969,Boroondara,Southern Metropolitan,5682
Balwyn,38 Frederick St,4,House,2730000,S,RT,2016-10-15,9.7,3103,4,3,2,674,1997,Boroondara,Southern Metropolitan,5682
Balwyn,18 Linckens Cr,4,House,2410000,S,Jellis,2016-10-15,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,7 May St,4,House,2530000,S,Marshall,2016-10-15,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,49 Yongala St,3,House,1578289,SP,RW,2016-10-15,9.7,3103,3,1,0,777,1950,Boroondara,Southern Metropolitan,5682
Balwyn,7 Power St,5,House,2020000,S,Marshall,2016-04-16,9.7,3103,5,2,2,611,1990,Boroondara,Southern Metropolitan,5682
Balwyn,150 Balwyn Rd,4,House,2250000,SA,Jellis,2016-07-16,9.7,3103,3,1,2,832,1938,Boroondara,Southern Metropolitan,5682
Balwyn,3/94 Balwyn Rd,2,Unit,1053000,S,Fletchers,2016-07-16,9.7,3103,2,1,2,231,1985,Boroondara,Southern Metropolitan,5682
Balwyn,1/7 Boston Rd,3,House,1800000,VB,Marshall,2016-07-16,9.7,3103,3,2,2,380,1980,Boroondara,Southern Metropolitan,5682
Balwyn,19 Norbert St,4,House,2249415,S,Jellis,2016-07-16,9.7,3103,3,2,1,797,1938,Boroondara,Southern Metropolitan,5682
Balwyn,1/32 Yerrin St,3,Townhouse,1472000,S,Noel,2016-07-16,9.7,3103,3,2,2,306,1995,Boroondara,Southern Metropolitan,5682
Balwyn,53 Metung St,3,House,2120000,S,Jellis,2016-09-17,9.7,3103,3,1,2,651,1969,Boroondara,Southern Metropolitan,5682
Balwyn,28 Salisbury St,3,House,1578289,S,Jellis,2016-09-17,9.7,3103,3,2,2,610,1960,Boroondara,Southern Metropolitan,5682
Balwyn,35a Stroud St,4,House,1800000,VB,Fletchers,2016-09-17,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,87 Yerrin St,3,House,1910000,S,Jellis,2016-09-17,9.7,3103,3,1,2,697,1969,Boroondara,Southern Metropolitan,5682
Balwyn,5/95 Balwyn Rd,2,Unit,754000,PI,Marshall,2017-03-18,9.7,3103,2,1,1,87,1990,Boroondara,Southern Metropolitan,5682
Balwyn,16 Grey St,4,House,2249415,SP,Jellis,2017-03-18,9.7,3103,4,2,2,743,1969,Boroondara,Southern Metropolitan,5682
Balwyn,20 Henley St,3,House,1605000,SP,Marshall,2017-03-18,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,35 Kireep Rd,5,House,2946481,SN,Marshall,2017-03-18,9.7,3103,5,2,3,674,1950,Boroondara,Southern Metropolitan,5682
Balwyn,2 Birtles Ct,5,House,3000000,VB,Jellis,2016-06-18,9.7,3103,5,5,2,671,1990,Boroondara,Southern Metropolitan,5682
Balwyn,20 Elliott Av,5,House,2946481,SP,Jellis,2016-06-18,9.7,3103,5,4,2,753,1990,Boroondara,Southern Metropolitan,5682
Balwyn,49 Metung St,5,House,3400000,VB,Jellis,2016-06-18,9.7,3103,5,6,4,739,1990,Boroondara,Southern Metropolitan,5682
Balwyn,2a Monash Av,3,House,1578289,S,Jellis,2016-06-18,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,8 Nungerner St,5,House,2946481,SN,Noel,2016-06-18,9.7,3103,5,2,3,683,1940,Boroondara,Southern Metropolitan,5682
Balwyn,8 Pryton Ct,4,House,2249415,S,Fletchers,2016-06-18,9.7,3103,4,1,3,675,1969,Boroondara,Southern Metropolitan,5682
Balwyn,110 Strabane Av,3,House,1490000,S,Fletchers,2016-06-18,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,1/48 Talbot Av,3,Unit,905000,S,Jellis,2016-06-18,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,156 Whitehorse Rd,4,House,2249415,S,Jellis,2016-06-18,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,29 Bevan St,4,House,2188000,S,Marshall,2016-11-19,9.7,3103,4,2,2,752,1981,Boroondara,Southern Metropolitan,5682
Balwyn,2/30 Kalimna St,2,Unit,755000,PI,Noel,2016-11-19,9.7,3103,2,1,1,213,1980,Boroondara,Southern Metropolitan,5682
Balwyn,1 Knutsford St,4,House,2900000,VB,Marshall,2016-05-22,9.7,3103,4,3,2,596,1969,Boroondara,Southern Metropolitan,5682
Balwyn,34 Monash Av,4,House,1947000,SP,Morrison,2016-05-22,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,70 Monash Av,4,House,2249415,S,Jellis,2016-05-22,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,19 Reid St,4,House,2249415,S,hockingstuart,2016-05-22,9.7,3103,3,2,2,929,1938,Boroondara,Southern Metropolitan,5682
Balwyn,25 Kalimna St,5,House,2665000,S,Jellis,2016-08-22,9.7,3103,4,3,2,674,1973,Boroondara,Southern Metropolitan,5682
Balwyn,7 Naroo St,4,House,1801000,S,Noel,2016-08-22,9.7,3103,4,2,2,583,1969,Boroondara,Southern Metropolitan,5682
Balwyn,6/11 Yarrbat Av,3,Townhouse,1100000,VB,Jellis,2016-08-22,9.7,3103,3,2,2,541,1969,Boroondara,Southern Metropolitan,5682
Balwyn,60a Talbot Av,4,Townhouse,2249415,SP,hockingstuart,2016-04-23,9.7,3103,4,2,2,668,1969,Boroondara,Southern Metropolitan,5682
Balwyn,27 Metung St,4,House,2410000,S,Fletchers,2016-09-24,9.7,3103,4,2,1,685,1940,Boroondara,Southern Metropolitan,5682
Balwyn,9 Bruce St,5,House,2946481,SP,Bekdon,2017-02-25,9.7,3103,5,4,2,584,2012,Boroondara,Southern Metropolitan,5682
