Suburb,Address,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname
Abbotsford,411/8 Grosvenor St,2,u,700000,VB,Nov-16,2.5,3067,2,2,1,0,1953,Yarra,Northern Metropolitan
Abbotsford,40 Nicholson St,3,h,1350000,VB,Nov-16,2.5,3067,3,2,2,214,2005,Yarra,Northern Metropolitan
Abbotsford,123/56 Nicholson St,2,u,750000,S,Nov-16,2.5,3067,2,2,1,0,2009,Yarra,Northern Metropolitan
Abbotsford,22 Park St,4,h,1985000,S,Nov-16,2.5,3067,4,2,2,300,1895,Yarra,Northern Metropolitan
Abbotsford,13/84 Trenerry Cr,1,u,500000,S,Nov-16,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan
Abbotsford,45 William St,2,h,1172500,S,Aug-16,2.5,3067,2,1,1,195,1953,Yarra,Northern Metropolitan
Abbotsford,7/20 Abbotsford St,1,u,441000,SP,May-16,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan
Abbotsford,16 William St,2,h,1310000,S,Oct-16,2.5,3067,2,1,2,238,1890,Yarra,Northern Metropolitan
Abbotsford,16/11 Nicholson St,3,u,1237083,PI,Apr-16,2.5,3067,3,2,2,0,2010,Yarra,Northern Metropolitan
Abbotsford,42 Henry St,3,h,1200000,S,Jul-16,2.5,3067,3,2,1,113,1880,Yarra,Northern Metropolitan
Abbotsford,250 Langridge St,2,t,847000,S,Jul-16,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan
Abbotsford,16b Mollison St,2,h,937432,PI,Jul-16,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan
Abbotsford,78 Yarra St,3,h,1176500,S,Jul-16,2.5,3067,2,1,1,138,1890,Yarra,Northern Metropolitan
Abbotsford,196 Nicholson St,3,h,955000,S,Sep-16,2.5,3067,3,1,0,183,1952,Yarra,Northern Metropolitan
Abbotsford,42 Valiant St,2,h,890000,S,Sep-16,2.5,3067,2,1,1,150,1985,Yarra,Northern Metropolitan
Abbotsford,3/72 Charles St,4,h,1330000,PI,Mar-17,2.5,3067,4,2,2,780,1900,Yarra,Northern Metropolitan
Abbotsford,1/1 Mayfield St,3,h,1237083,SP,Mar-17,2.5,3067,3,2,1,119,2005,Yarra,Northern Metropolitan
Abbotsford,13/11 Nicholson St,3,t,900000,S,Mar-17,2.5,3067,3,2,2,0,2010,Yarra,Northern Metropolitan
Abbotsford,138/56 Nicholson St,3,u,1090000,S,Mar-17,2.5,3067,3,2,2,4290,1952,Yarra,Northern Metropolitan
Abbotsford,6/219 Nicholson St,2,u,500000,S,Jun-16,2.5,3067,2,1,1,0,1970,Yarra,Northern Metropolitan
Abbotsford,52a William St,2,h,1100000,PI,Jun-16,2.5,3067,2,2,1,124,2013,Yarra,Northern Metropolitan
Abbotsford,49 Park St,2,h,1315000,S,Nov-16,2.5,3067,2,1,0,147,1900,Yarra,Northern Metropolitan
Abbotsford,65/80 Trenerry Cr,1,u,480000,S,Nov-16,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan
Abbotsford,119/52 Nicholson St,1,u,423500,S,May-16,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan
Abbotsford,8b Park St,4,h,1596400,PI,May-16,2.5,3067,4,2,2,300,1895,Yarra,Northern Metropolitan
Abbotsford,5/20 Abbotsford St,1,u,426000,SP,Aug-16,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan
Abbotsford,48 Abbotsford St,3,h,1447500,PI,Aug-16,2.5,3067,3,3,1,166,2012,Yarra,Northern Metropolitan
Abbotsford,116/56 Nicholson St,1,u,457000,S,Aug-16,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan
Abbotsford,159 Park St,2,h,1135000,S,Aug-16,2.5,3067,2,2,2,98,1920,Yarra,Northern Metropolitan
Abbotsford,49/84 Trenerry Cr,2,h,700000,S,Apr-16,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan
Abbotsford,31 Turner St,4,h,1542000,S,Sep-16,2.5,3067,4,3,1,0,1895,Yarra,Northern Metropolitan
Abbotsford,17/1 Abbot St,3,t,962000,SP,Feb-17,2.5,3067,3,2,1,331,1952,Yarra,Northern Metropolitan
Abbotsford,166 Gipps St,3,h,1290000,S,Feb-17,2.5,3067,3,2,2,147,1952,Yarra,Northern Metropolitan
Abbotsford,60 Stafford St,3,h,1290000,S,Feb-17,2.5,3067,3,1,1,168,1950,Yarra,Northern Metropolitan
Abbotsford,11/205 Gipps St,1,u,470000,S,Jul-16,2.5,3067,1,1,1,0,2013,Yarra,Northern Metropolitan
Abbotsford,47 Studley St,2,h,1180000,S,Nov-16,2.5,3067,2,1,0,162,1900,Yarra,Northern Metropolitan
Abbotsford,45 Yarra St,3,h,1195000,SP,Nov-16,2.5,3067,3,2,1,120,1998,Yarra,Northern Metropolitan
Abbotsford,4/328 Johnston St,2,u,937432,PI,May-16,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan
Abbotsford,200 Nicholson St,2,h,1012500,S,May-16,2.5,3067,2,1,0,182,1900,Yarra,Northern Metropolitan
Abbotsford,82/84 Trenerry Cr,2,u,970000,SP,May-16,2.5,3067,2,1,1,420,1953,Yarra,Northern Metropolitan
Abbotsford,27 Charles St,2,h,1030000,S,Jul-16,2.5,3067,2,1,1,172,1930,Yarra,Northern Metropolitan
Abbotsford,22 Park St,4,h,1596400,W,Jul-16,2.5,3067,4,2,2,300,1895,Yarra,Northern Metropolitan
Abbotsford,40/80 Trenerry Cr,3,h,927000,S,Jul-16,2.5,3067,3,2,1,331,1952,Yarra,Northern Metropolitan
Airport West,154 Halsey Rd,3,t,840000,PI,Sep-16,13.5,3042,3,2,1,303,2016,Moonee Valley,Western Metropolitan
Airport West,50 Bedford St,3,h,730000,VB,Dec-16,13.5,3042,3,2,1,0,1965,Moonee Valley,Western Metropolitan
Airport West,50 Bedford St,3,h,770000,SP,Mar-17,13.5,3042,3,2,1,0,1965,Moonee Valley,Western Metropolitan
Airport West,5 Harrington Rd,3,h,766086,S,Mar-17,13.5,3042,3,1,1,580,1960,Moonee Valley,Western Metropolitan
Airport West,23 Hart St,2,h,603000,S,Mar-17,13.5,3042,2,1,1,272,1950,Moonee Valley,Western Metropolitan
Airport West,1/80 Hawker St,3,t,700000,S,Mar-17,13.5,3042,3,2,2,239,2009,Moonee Valley,Western Metropolitan
Airport West,1/37 Hillside Gr,3,h,600000,S,Mar-17,13.5,3042,2,1,1,290,1980,Moonee Valley,Western Metropolitan
Airport West,2/49 McIntosh St,2,u,500000,VB,Mar-17,13.5,3042,2,1,1,168,2011,Moonee Valley,Western Metropolitan
Airport West,4/9 West Ct,2,t,420000,VB,Jun-16,13.5,3042,2,1,1,207,1994,Moonee Valley,Western Metropolitan
Airport West,1/36 York St,3,t,500000,VB,Jun-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,54 Marshall Rd,3,h,720000,S,Aug-16,13.5,3042,2,1,1,620,1995,Moonee Valley,Western Metropolitan
Airport West,11 Harrington Rd,6,h,725000,SP,May-16,13.5,3042,6,3,2,976,1980,Moonee Valley,Western Metropolitan
Airport West,2/252 Parer Rd,2,t,450000,S,May-16,13.5,3042,2,1,1,110,2015,Moonee Valley,Western Metropolitan
Airport West,3/19 Hart St,2,u,515000,S,Nov-16,13.5,3042,2,1,1,141,2013,Moonee Valley,Western Metropolitan
Airport West,81a Roberts Rd,3,h,680000,VB,Oct-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Sep-16,13.5,3042,2,1,1,120,2012,Moonee Valley,Western Metropolitan
Airport West,3 Deidre Ct,3,h,895000,PI,Sep-16,13.5,3042,3,1,6,1063,1975,Moonee Valley,Western Metropolitan
Airport West,3/24 Elstone Av,3,u,600000,VB,Sep-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,13 Etzel St,3,h,805000,S,Dec-16,13.5,3042,3,1,1,0,1950,Moonee Valley,Western Metropolitan
Airport West,37a North St,3,t,760000,PI,Dec-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,1/43 Cameron St,3,u,752000,S,Feb-17,13.5,3042,3,1,1,265,1993,Moonee Valley,Western Metropolitan
Airport West,1/69 Bowes Av,3,u,580000,VB,Nov-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,2/9 El Reno Cr,3,h,725000,PI,Nov-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,145a Victory Rd,2,u,440000,S,Aug-16,13.5,3042,2,1,1,192,1994,Moonee Valley,Western Metropolitan
Airport West,20 Creswell Av,3,h,970000,S,May-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,2/40 Earl St,3,t,700000,PI,Oct-16,13.5,3042,3,2,2,165,2009,Moonee Valley,Western Metropolitan
Airport West,2/112 Parer Rd,2,u,509500,SP,Oct-16,13.5,3042,2,1,1,207,1994,Moonee Valley,Western Metropolitan
Airport West,180 Parer Rd,3,h,830000,S,Apr-16,13.5,3042,3,1,2,971,1960,Moonee Valley,Western Metropolitan
Airport West,4/54 Hawker St,2,u,462500,S,Jul-16,13.5,3042,2,1,1,164,2003,Moonee Valley,Western Metropolitan
Airport West,43 Hillside Gr,3,h,670000,SP,Jul-16,13.5,3042,3,2,2,657,1980,Moonee Valley,Western Metropolitan
Airport West,174 Parer Rd,2,h,675000,S,Jul-16,13.5,3042,2,1,1,612,1975,Moonee Valley,Western Metropolitan
Airport West,138 Victory Rd,3,h,1042000,S,Jul-16,13.5,3042,3,2,5,612,1950,Moonee Valley,Western Metropolitan
Airport West,75 King St,3,h,910000,S,Sep-16,13.5,3042,3,1,1,775,1980,Moonee Valley,Western Metropolitan
Airport West,6 Kittyhawk St,4,h,773000,S,Sep-16,13.5,3042,5,3,4,531,1980,Moonee Valley,Western Metropolitan
Airport West,7 McNamara Av,3,h,715000,S,Sep-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,478 Fullarton Rd,3,h,810000,PI,Mar-17,13.5,3042,3,3,2,555,1980,Moonee Valley,Western Metropolitan
Airport West,144 Marshall Rd,3,h,715000,S,Mar-17,13.5,3042,3,2,2,422,1995,Moonee Valley,Western Metropolitan
Airport West,106 Parer Rd,3,h,790000,S,Mar-17,13.5,3042,3,1,3,614,1980,Moonee Valley,Western Metropolitan
Airport West,1/41 Hillside Gr,2,t,460000,VB,Jun-16,13.5,3042,2,1,1,207,1994,Moonee Valley,Western Metropolitan
Airport West,3/7 South Rd,3,t,540000,SP,Jun-16,13.5,3042,2,2,1,161,2010,Moonee Valley,Western Metropolitan
Airport West,37 North St,3,t,825000,SP,Nov-16,13.5,3042,3,2,1,293,1960,Moonee Valley,Western Metropolitan
Airport West,10 Hilbert Rd,3,h,685000,S,May-16,13.5,3042,3,1,1,579,1975,Moonee Valley,Western Metropolitan
Airport West,7/42 York St,3,u,445000,S,May-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,110 Halsey Rd,3,h,805000,S,Aug-16,13.5,3042,3,1,1,623,1980,Moonee Valley,Western Metropolitan
Airport West,2/13 North St,2,u,510000,S,Aug-16,13.5,3042,2,1,1,141,1994,Moonee Valley,Western Metropolitan
Airport West,105a Victory Rd,3,h,612000,S,Aug-16,13.5,3042,3,2,1,212,1980,Moonee Valley,Western Metropolitan
Airport West,117 Marshall Rd,3,h,662000,S,Apr-16,13.5,3042,3,1,2,612,1980,Moonee Valley,Western Metropolitan
Airport West,34 Moorna Dr,4,h,978000,S,Sep-16,13.5,3042,4,3,2,532,1975,Moonee Valley,Western Metropolitan
Airport West,2/89 Marshall Rd,3,u,766086,VB,Feb-17,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,33 North St,3,h,720000,PI,Feb-17,13.5,3042,3,1,1,585,1980,Moonee Valley,Western Metropolitan
Airport West,4/40 McNamara Av,2,u,474000,PI,Jul-16,13.5,3042,2,1,1,207,1994,Moonee Valley,Western Metropolitan
Airport West,5/93 McNamara Av,2,t,490000,SP,Jul-16,13.5,3042,2,1,1,207,1994,Moonee Valley,Western Metropolitan
Airport West,2/137 McNamara Av,3,h,405000,S,Jun-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,1/46 Bowes Av,3,t,715000,S,Nov-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,1/34 Elstone Av,3,u,671500,S,Nov-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,49 Roberts Rd,4,h,765000,S,Nov-16,13.5,3042,4,1,2,509,1975,Moonee Valley,Western Metropolitan
Airport West,85 Roberts Rd,4,h,900000,S,Nov-16,13.5,3042,4,2,3,628,1975,Moonee Valley,Western Metropolitan
Airport West,22a Walters Av,3,u,820000,S,Aug-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,1/145 Parer Rd,3,u,650000,PI,Jul-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Airport West,3/35 Walters Av,3,t,552000,SP,Jul-16,13.5,3042,3,1,2,458,1980,Moonee Valley,Western Metropolitan
Albert Park,105 Kerferd Rd,2,h,1275000,S,Sep-16,3.3,3206,2,1,0,120,1900,Port Phillip,Southern Metropolitan
Albert Park,85 Richardson St,2,h,1455000,S,Sep-16,3.3,3206,2,1,0,159,1907,Port Phillip,Southern Metropolitan
Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,Mar-17,3.3,3206,3,2,0,211,1890,Port Phillip,Southern Metropolitan
Albert Park,94 Graham St,3,h,1850000,S,Mar-17,3.3,3206,3,2,0,128,1890,Port Phillip,Southern Metropolitan
Albert Park,14 Merton St,2,h,1562333,SP,Mar-17,3.3,3206,2,1,0,215,1900,Port Phillip,Southern Metropolitan
Albert Park,396 Montague St,2,h,1436000,S,Mar-17,3.3,3206,2,1,0,130,1900,Port Phillip,Southern Metropolitan
Albert Park,9 Boyd St,3,h,2090778,SN,Aug-16,3.3,3206,2,2,1,336,1890,Port Phillip,Southern Metropolitan
Albert Park,75 Graham St,2,h,1110000,S,Aug-16,3.3,3206,1,1,0,147,1900,Port Phillip,Southern Metropolitan
Albert Park,54 Brooke St,2,h,1550000,S,May-16,3.3,3206,2,1,1,167,1907,Port Phillip,Southern Metropolitan
Albert Park,104 Richardson St,4,h,2300000,S,May-16,3.3,3206,4,2,1,153,1880,Port Phillip,Southern Metropolitan
Albert Park,81 Richardson St,3,h,2090778,S,May-16,3.3,3206,3,1,2,316,1880,Port Phillip,Southern Metropolitan
Albert Park,4a Mills St,3,t,1550000,VB,Nov-16,3.3,3206,3,2,2,718,1911,Port Phillip,Southern Metropolitan
Albert Park,1 Moubray St,3,h,1800000,VB,Nov-16,3.3,3206,3,2,1,132,1996,Port Phillip,Southern Metropolitan
Albert Park,114 Victoria Av,3,h,2485000,S,Oct-16,3.3,3206,3,2,1,182,1911,Port Phillip,Southern Metropolitan
Albert Park,29 Faussett St,2,h,2120000,S,Sep-16,3.3,3206,2,1,1,199,1900,Port Phillip,Southern Metropolitan
Albert Park,3 Herbert St,3,h,1800000,VB,Sep-16,3.3,3206,3,1,1,253,1911,Port Phillip,Southern Metropolitan
Albert Park,24 Kerferd Pl,3,h,1800000,S,Sep-16,3.3,3206,3,2,1,90,1900,Port Phillip,Southern Metropolitan
Albert Park,5 Withers St,3,h,2090778,SN,Sep-16,3.3,3206,3,1,0,126,1910,Port Phillip,Southern Metropolitan
Albert Park,44 Draper St,2,h,1810000,PI,Dec-16,3.3,3206,2,1,0,240,1907,Port Phillip,Southern Metropolitan
Albert Park,2 Dundas Pl,3,h,2615000,S,Dec-16,3.3,3206,3,2,1,177,1880,Port Phillip,Southern Metropolitan
Albert Park,31 Richardson St,3,h,1300000,S,Dec-16,3.3,3206,3,1,0,129,1911,Port Phillip,Southern Metropolitan
Albert Park,4a Gatehouse La,3,h,1370000,S,Jun-16,3.3,3206,3,2,2,0,2000,Port Phillip,Southern Metropolitan
Albert Park,60 Brooke St,2,h,1000000,S,Nov-16,3.3,3206,2,1,0,288,1907,Port Phillip,Southern Metropolitan
Albert Park,140 Danks St,2,h,1562333,SP,Aug-16,3.3,3206,2,1,2,366,1900,Port Phillip,Southern Metropolitan
Albert Park,70 Barrett St,3,h,2575000,S,Oct-16,3.3,3206,3,2,1,228,1911,Port Phillip,Southern Metropolitan
Albert Park,65 Graham St,2,h,1322500,S,Oct-16,3.3,3206,2,1,0,149,1890,Port Phillip,Southern Metropolitan
Albert Park,1 Herbert Pl,2,h,1562333,S,Oct-16,3.3,3206,2,1,1,152,1907,Port Phillip,Southern Metropolitan
Albert Park,364 Montague St,2,h,1562500,S,Oct-16,3.3,3206,2,1,0,141,1890,Port Phillip,Southern Metropolitan
Albert Park,86 Mills St,3,h,2000000,VB,Apr-16,3.3,3206,3,2,1,211,1900,Port Phillip,Southern Metropolitan
Albert Park,28 Dinsdale St,4,h,2969375,S,Sep-16,3.3,3206,3,1,0,236,1880,Port Phillip,Southern Metropolitan
Albert Park,90 Danks St,3,h,2090778,S,Mar-17,3.3,3206,3,1,2,300,1911,Port Phillip,Southern Metropolitan
Albert Park,129 Kerferd Rd,3,h,1900000,S,Mar-17,3.3,3206,3,1,0,209,1900,Port Phillip,Southern Metropolitan
Albert Park,97 Page St,3,h,3010000,S,Mar-17,3.3,3206,3,2,0,147,1890,Port Phillip,Southern Metropolitan
Albert Park,36 Ashworth St,3,h,2090778,SP,Jun-16,3.3,3206,3,1,0,173,1911,Port Phillip,Southern Metropolitan
Albert Park,55 Withers St,4,h,2800000,VB,Jun-16,3.3,3206,4,3,1,327,1910,Port Phillip,Southern Metropolitan
Albert Park,18 Herbert St,3,h,2090778,SN,Nov-16,3.3,3206,3,1,0,169,1911,Port Phillip,Southern Metropolitan
Albert Park,10/140 Kerferd Rd,2,u,647000,S,May-16,3.3,3206,2,1,1,0,1907,Port Phillip,Southern Metropolitan
Albert Park,9 Merton Pl,3,h,2090778,SP,May-16,3.3,3206,3,2,1,122,1911,Port Phillip,Southern Metropolitan
Albert Park,55 Merton St,3,h,2100000,SP,Apr-16,3.3,3206,2,1,1,120,1900,Port Phillip,Southern Metropolitan
Albert Park,16 Dinsdale St,3,h,2090778,S,Sep-16,3.3,3206,3,2,1,241,1990,Port Phillip,Southern Metropolitan
Albert Park,51 Graham St,2,h,1562333,PI,Sep-16,3.3,3206,2,2,1,225,1907,Port Phillip,Southern Metropolitan
Albert Park,49 Page St,3,h,2000000,PI,Sep-16,3.3,3206,3,1,1,238,1890,Port Phillip,Southern Metropolitan
Albert Park,13/52 Moubray St,1,u,442500,S,Feb-17,3.3,3206,1,1,0,0,1970,Port Phillip,Southern Metropolitan
Albert Park,115 Page St,4,h,4735000,S,Feb-17,3.3,3206,4,2,1,330,1910,Port Phillip,Southern Metropolitan
Albert Park,32 Page St,2,h,1340000,S,Feb-17,3.3,3206,2,1,0,136,1907,Port Phillip,Southern Metropolitan
Albert Park,34 Richardson St,3,h,1801000,S,Feb-17,3.3,3206,3,1,1,202,1911,Port Phillip,Southern Metropolitan
Albert Park,2b Dundas Pl,3,h,1532000,S,Jul-16,3.3,3206,3,3,1,0,1911,Port Phillip,Southern Metropolitan
Albert Park,22 Greig St,3,h,3755000,S,Jul-16,3.3,3206,3,2,2,325,1911,Port Phillip,Southern Metropolitan
Albert Park,27 Barrett St,4,h,2140000,S,Jun-16,3.3,3206,3,2,1,183,1880,Port Phillip,Southern Metropolitan
Albert Park,3 Faussett St,2,u,1810000,PI,Jun-16,3.3,3206,2,1,1,179,1907,Port Phillip,Southern Metropolitan
Albert Park,44 Greig St,2,h,1750000,S,Nov-16,3.3,3206,2,1,1,162,1907,Port Phillip,Southern Metropolitan
Albert Park,6 Brooke St,2,h,980000,S,May-16,3.3,3206,2,1,0,79,1890,Port Phillip,Southern Metropolitan
Albert Park,7 Herbert Pl,2,h,1562333,SP,May-16,3.3,3206,2,1,0,99,1900,Port Phillip,Southern Metropolitan
Albert Park,8 Kerferd Pl,4,h,2969375,SP,May-16,3.3,3206,4,2,0,230,1900,Port Phillip,Southern Metropolitan
Albert Park,5 Reed St,3,h,2090778,SN,May-16,3.3,3206,3,2,1,141,1911,Port Phillip,Southern Metropolitan
Albert Park,227a Danks St,3,h,2030000,S,Aug-16,3.3,3206,3,2,0,152,1911,Port Phillip,Southern Metropolitan
Albert Park,17 Reed St,3,h,1740000,PI,Aug-16,3.3,3206,3,2,2,147,1890,Port Phillip,Southern Metropolitan
Albert Park,74 Bridport St,3,h,2800000,VB,Jul-16,3.3,3206,3,3,1,0,1911,Port Phillip,Southern Metropolitan
Albert Park,9 Durham St,1,h,985000,S,Jul-16,3.3,3206,1,1,0,81,1900,Port Phillip,Southern Metropolitan
Alphington,30 Austin St,3,h,1337591,SN,Sep-16,6.4,3078,3,2,1,174,2003,Darebin,Northern Metropolitan
Alphington,6 Smith St,4,h,2000000,S,Sep-16,6.4,3078,3,2,4,853,1930,Darebin,Northern Metropolitan
Alphington,5/6 Yarralea St,3,h,1110000,S,Sep-16,6.4,3078,3,2,2,208,2013,Yarra,Northern Metropolitan
Alphington,136A Fulham Rd,3,h,1492000,S,Mar-17,6.4,3078,3,2,2,411,1990,Darebin,Northern Metropolitan
Alphington,1/9 Roemer Cr,2,u,480000,PI,May-16,6.4,3078,2,1,1,71,1972,Darebin,Northern Metropolitan
Alphington,4 Tuckett St,3,h,1337591,S,May-16,6.4,3078,3,1,3,922,1990,Darebin,Northern Metropolitan
Alphington,2/21 Fulham Rd,3,t,1304000,SP,Oct-16,6.4,3078,3,1,2,524,1990,Darebin,Northern Metropolitan
Alphington,44 Shiers St,4,h,1717500,S,Oct-16,6.4,3078,4,2,1,599,1925,Darebin,Northern Metropolitan
Alphington,83 Fulham Rd,5,h,2840000,S,Jun-16,6.4,3078,5,4,4,809,1910,Darebin,Northern Metropolitan
Alphington,29 Alphington St,5,h,2840000,S,Nov-16,6.4,3078,5,3,4,743,1915,Yarra,Northern Metropolitan
Alphington,3/19 Harker St,2,u,525500,S,Nov-16,6.4,3078,2,1,1,88,1960,Darebin,Northern Metropolitan
Alphington,4/2 Miller St,2,t,805000,S,Nov-16,6.4,3078,2,2,3,155,2004,Darebin,Northern Metropolitan
Alphington,2/5 Yarana Rd,2,u,465000,S,Nov-16,6.4,3078,2,1,1,0,1972,Darebin,Northern Metropolitan
Alphington,4/5 Chandler Hwy,4,t,2022292,PN,Aug-16,6.4,3078,4,2,2,618,1947,Darebin,Northern Metropolitan
Alphington,69 Lucerne Cr,3,h,1480000,S,Aug-16,6.4,3078,3,1,2,524,1990,Darebin,Northern Metropolitan
Alphington,815 Heidelberg Rd,3,h,2000000,PI,Oct-16,6.4,3078,3,3,2,686,1990,Darebin,Northern Metropolitan
Alphington,44 Naroon Rd,3,h,1540000,S,Apr-16,6.4,3078,3,1,2,592,1990,Darebin,Northern Metropolitan
Alphington,11 Tower Av,4,h,2022292,S,Apr-16,6.4,3078,4,2,2,618,1947,Darebin,Northern Metropolitan
Alphington,1/17 Rex Av,2,u,590000,PI,Sep-16,6.4,3078,2,1,1,71,1972,Darebin,Northern Metropolitan
Alphington,3/98 Grange Rd,2,u,820000,S,Mar-17,6.4,3078,2,1,1,183,1972,Darebin,Northern Metropolitan
Alphington,10 Bennett St,4,h,1830000,S,Nov-16,6.4,3078,4,2,2,606,1970,Darebin,Northern Metropolitan
Alphington,38 Bennett St,4,h,2100000,S,Nov-16,6.4,3078,4,2,2,575,2008,Darebin,Northern Metropolitan
Alphington,2c Hamilton St,3,h,865000,SP,May-16,6.4,3078,3,1,1,180,2010,Darebin,Northern Metropolitan
Alphington,5/5 Yarana Rd,2,u,390000,VB,May-16,6.4,3078,2,1,1,0,1960,Darebin,Northern Metropolitan
Alphington,1/14 Fulham Rd,2,u,512000,S,Feb-17,6.4,3078,2,1,1,0,1965,Darebin,Northern Metropolitan
Alphington,17 Lowther St,3,h,1361000,S,Feb-17,6.4,3078,3,1,2,524,1990,Darebin,Northern Metropolitan
Alphington,29 Naroon Rd,4,h,2022292,SP,Feb-17,6.4,3078,4,2,2,597,1947,Darebin,Northern Metropolitan
Alphington,13a Fulham Rd,3,h,1310000,S,Jul-16,6.4,3078,3,1,2,524,1990,Darebin,Northern Metropolitan
Alphington,32/23 Coate Av,3,h,570000,VB,Jun-16,6.4,3078,3,1,2,524,1990,Darebin,Northern Metropolitan
