,Country_or_region,Score,year
57,Northern Cyprus,5.835,2018
58,Russia,5.81,2018
59,Kazakhstan,5.79,2018
60,Cyprus,5.762,2018
61,Bolivia,5.752,2018
62,Estonia,5.739,2018
63,Paraguay,5.681,2018
64,Peru,5.663,2018
65,Kosovo,5.662,2018
66,Moldova,5.64,2018
67,Turkmenistan,5.636,2018
68,Hungary,5.62,2018
69,Libya,5.566,2018
70,Philippines,5.524,2018
71,Honduras,5.504,2018
72,Belarus,5.483,2018
73,Turkey,5.483,2018
74,Pakistan,5.472,2018
75,Hong Kong,5.43,2018
76,Portugal,5.41,2018
77,Serbia,5.398,2018
78,Greece,5.358,2018
79,Lebanon,5.358,2018
80,Montenegro,5.347,2018
81,Croatia,5.321,2018
82,Dominican Republic,5.302,2018
83,Algeria,5.295,2018
84,Morocco,5.254,2018
85,China,5.246,2018
86,Azerbaijan,5.201,2018
87,Tajikistan,5.199,2018
88,Macedonia,5.185,2018
89,Jordan,5.161,2018
90,Nigeria,5.155,2018
91,Kyrgyzstan,5.131,2018
92,Bosnia and Herzegovina,5.129,2018
93,Mongolia,5.125,2018
94,Vietnam,5.103,2018
95,Indonesia,5.093,2018
96,Bhutan,5.082,2018
97,Somalia,4.982,2018
98,Cameroon,4.975,2018
99,Bulgaria,4.933,2018
100,Nepal,4.88,2018
101,Venezuela,4.806,2018
102,Gabon,4.758,2018
103,Palestinian Territories,4.743,2018
104,South Africa,4.724,2018
105,Iran,4.707,2018
106,Ivory Coast,4.671,2018
107,Ghana,4.657,2018
108,Senegal,4.631,2018
109,Laos,4.623,2018
110,Tunisia,4.592,2018
111,Albania,4.586,2018
112,Sierra Leone,4.571,2018
113,Congo (Brazzaville),4.559,2018
114,Bangladesh,4.5,2018
115,Sri Lanka,4.471,2018
116,Iraq,4.456,2018
117,Mali,4.447,2018
118,Namibia,4.441,2018
119,Cambodia,4.433,2018
120,Burkina Faso,4.424,2018
121,Egypt,4.419,2018
122,Mozambique,4.417,2018
123,Kenya,4.41,2018
124,Zambia,4.377,2018
125,Mauritania,4.356,2018
126,Ethiopia,4.35,2018
127,Georgia,4.34,2018
128,Armenia,4.321,2018
129,Myanmar,4.308,2018
130,Chad,4.301,2018
131,Congo (Kinshasa),4.245,2018
132,India,4.19,2018
133,Niger,4.166,2018
134,Uganda,4.161,2018
135,Benin,4.141,2018
136,Sudan,4.139,2018
137,Ukraine,4.103,2018
138,Togo,3.999,2018
139,Guinea,3.964,2018
140,Lesotho,3.808,2018
141,Angola,3.795,2018
142,Madagascar,3.774,2018
143,Zimbabwe,3.692,2018
144,Afghanistan,3.632,2018
145,Botswana,3.59,2018
146,Malawi,3.587,2018
147,Haiti,3.582,2018
148,Liberia,3.495,2018
149,Syria,3.462,2018
150,Rwanda,3.408,2018
151,Yemen,3.355,2018
152,Tanzania,3.303,2018
153,South Sudan,3.254,2018
154,Central African Republic,3.083,2018
155,Burundi,2.905,2018
0,Norway,7.53700017929077,2017
1,Denmark,7.52199983596802,2017
2,Iceland,7.50400018692017,2017
3,Switzerland,7.49399995803833,2017
4,Finland,7.4689998626709,2017
5,Netherlands,7.3769998550415,2017
6,Canada,7.31599998474121,2017
7,New Zealand,7.31400012969971,2017
8,Sweden,7.28399991989136,2017
9,Australia,7.28399991989136,2017
10,Israel,7.21299982070923,2017
11,Costa Rica,7.0789999961853,2017
12,Austria,7.00600004196167,2017
13,United States of America,6.99300003051758,2017
14,Ireland,6.97700023651123,2017
15,Germany,6.95100021362305,2017
16,Belgium,6.89099979400635,2017
17,Luxembourg,6.86299991607666,2017
18,United Kingdom,6.71400022506714,2017
19,Chile,6.65199995040894,2017
20,United Arab Emirates,6.64799976348877,2017
21,Brazil,6.63500022888184,2017
22,Czech Republic,6.60900020599365,2017
23,Argentina,6.59899997711182,2017
24,Mexico,6.57800006866455,2017
25,Singapore,6.57200002670288,2017
26,Malta,6.52699995040894,2017
27,Uruguay,6.4539999961853,2017
28,Guatemala,6.4539999961853,2017
29,Panama,6.4520001411438,2017
30,France,6.44199991226196,2017
31,Thailand,6.42399978637695,2017
32,Taiwan Province of China,6.42199993133545,2017
33,Spain,6.40299987792969,2017
34,Qatar,6.375,2017
35,Colombia,6.35699987411499,2017
36,Saudi Arabia,6.3439998626709,2017
37,Trinidad and Tobago,6.16800022125244,2017
38,Kuwait,6.10500001907349,2017
39,Slovakia,6.09800004959106,2017
40,Bahrain,6.08699989318848,2017
41,Malaysia,6.08400011062622,2017
42,Nicaragua,6.07100009918213,2017
43,Ecuador,6.00799989700317,2017
44,El Salvador,6.00299978256226,2017
45,Poland,5.97300004959106,2017
46,Uzbekistan,5.97100019454956,2017
47,Italy,5.96400022506714,2017
48,Russia,5.96299982070923,2017
49,Belize,5.95599985122681,2017
50,Japan,5.92000007629395,2017
51,Lithuania,5.90199995040894,2017
52,Algeria,5.87200021743774,2017
53,Latvia,5.84999990463257,2017
54,South Korea,5.83799982070923,2017
55,Moldova,5.83799982070923,2017
56,Romania,5.82499980926514,2017
57,Bolivia,5.82299995422363,2017
58,Turkmenistan,5.82200002670288,2017
59,Kazakhstan,5.81899976730347,2017
60,North Cyprus,5.80999994277954,2017
61,Slovenia,5.75799989700317,2017
62,Peru,5.71500015258789,2017
63,Mauritius,5.62900018692017,2017
64,Cyprus,5.62099981307983,2017
65,Estonia,5.61100006103516,2017
66,Belarus,5.56899976730347,2017
67,Libya,5.52500009536743,2017
68,Turkey,5.5,2017
69,Paraguay,5.49300003051758,2017
70,"Hong Kong S.A.R., China",5.47200012207031,2017
71,Philippines,5.42999982833862,2017
72,Serbia,5.39499998092651,2017
73,Jordan,5.33599996566772,2017
74,Hungary,5.32399988174438,2017
75,Jamaica,5.31099987030029,2017
76,Croatia,5.29300022125244,2017
77,Kosovo,5.27899980545044,2017
78,China,5.27299976348877,2017
79,Pakistan,5.26900005340576,2017
80,Indonesia,5.26200008392334,2017
81,Venezuela,5.25,2017
82,Montenegro,5.23699998855591,2017
83,Morocco,5.2350001335144,2017
84,Azerbaijan,5.23400020599365,2017
85,Dominican Republic,5.23000001907349,2017
86,Greece,5.22700023651123,2017
87,Lebanon,5.22499990463257,2017
88,Portugal,5.19500017166138,2017
89,Bosnia and Herzegovina,5.18200016021729,2017
90,Honduras,5.18100023269653,2017
91,Macedonia,5.17500019073486,2017
92,Somalia,5.15100002288818,2017
93,Vietnam,5.07399988174438,2017
94,Nigeria,5.07399988174438,2017
95,Tajikistan,5.04099988937378,2017
96,Bhutan,5.01100015640259,2017
97,Kyrgyzstan,5.00400018692017,2017
98,Nepal,4.96199989318848,2017
99,Mongolia,4.95499992370605,2017
100,South Africa,4.8289999961853,2017
101,Tunisia,4.80499982833862,2017
102,Palestinian Territories,4.77500009536743,2017
103,Egypt,4.7350001335144,2017
104,Bulgaria,4.71400022506714,2017
105,Sierra Leone,4.70900011062622,2017
106,Cameroon,4.69500017166138,2017
107,Iran,4.69199991226196,2017
108,Albania,4.64400005340576,2017
109,Bangladesh,4.60799980163574,2017
110,Namibia,4.57399988174438,2017
111,Kenya,4.55299997329712,2017
112,Mozambique,4.55000019073486,2017
113,Myanmar,4.54500007629395,2017
114,Senegal,4.53499984741211,2017
115,Zambia,4.51399993896484,2017
116,Iraq,4.49700021743774,2017
117,Gabon,4.46500015258789,2017
118,Ethiopia,4.46000003814697,2017
119,Sri Lanka,4.44000005722046,2017
120,Armenia,4.37599992752075,2017
121,India,4.31500005722046,2017
122,Mauritania,4.29199981689453,2017
123,Congo (Brazzaville),4.29099988937378,2017
124,Georgia,4.28599977493286,2017
125,Congo (Kinshasa),4.28000020980835,2017
126,Mali,4.19000005722046,2017
127,Ivory Coast,4.17999982833862,2017
128,Cambodia,4.16800022125244,2017
129,Sudan,4.13899993896484,2017
130,Ghana,4.11999988555908,2017
131,Ukraine,4.09600019454956,2017
132,Uganda,4.08099985122681,2017
133,Burkina Faso,4.03200006484985,2017
134,Niger,4.02799987792969,2017
135,Malawi,3.97000002861023,2017
136,Chad,3.93600010871887,2017
137,Zimbabwe,3.875,2017
138,Lesotho,3.80800008773804,2017
139,Angola,3.79500007629395,2017
140,Afghanistan,3.79399991035461,2017
141,Botswana,3.76600003242493,2017
142,Benin,3.65700006484985,2017
143,Madagascar,3.64400005340576,2017
144,Haiti,3.6029999256134,2017
145,Yemen,3.59299993515015,2017
146,South Sudan,3.59100008010864,2017
147,Liberia,3.53299999237061,2017
148,Guinea,3.50699996948242,2017
149,Togo,3.49499988555908,2017
150,Rwanda,3.47099995613098,2017
151,Syria,3.46199989318848,2017
152,Tanzania,3.34899997711182,2017
153,Burundi,2.90499997138977,2017
154,Central African Republic,2.69300007820129,2017
0,Denmark,7.526,2016
1,Switzerland,7.509,2016
2,Iceland,7.501,2016
3,Norway,7.498,2016
4,Finland,7.413,2016
5,Canada,7.404,2016
6,Netherlands,7.339,2016
7,New Zealand,7.334,2016
8,Australia,7.313,2016
9,Sweden,7.291,2016
10,Israel,7.267,2016
11,Austria,7.119,2016
12,United States of America,7.104,2016
13,Costa Rica,7.087,2016
14,Puerto Rico,7.039,2016
15,Germany,6.994,2016
16,Brazil,6.952,2016
17,Belgium,6.929,2016
18,Ireland,6.907,2016
19,Luxembourg,6.871,2016
20,Mexico,6.778,2016
21,Singapore,6.739,2016
22,United Kingdom,6.725,2016
23,Chile,6.705,2016
24,Panama,6.701,2016
25,Argentina,6.65,2016
26,Czech Republic,6.596,2016
27,United Arab Emirates,6.573,2016
28,Uruguay,6.545,2016
29,Malta,6.488,2016
30,Colombia,6.481,2016
31,France,6.478,2016
32,Thailand,6.474,2016
33,Saudi Arabia,6.379,2016
34,Taiwan,6.379,2016
35,Qatar,6.375,2016
36,Spain,6.361,2016
37,Algeria,6.355,2016
38,Guatemala,6.324,2016
39,Suriname,6.269,2016
40,Kuwait,6.239,2016
41,Bahrain,6.218,2016
42,Trinidad and Tobago,6.168,2016
43,Venezuela,6.084,2016
44,Slovakia,6.078,2016
45,El Salvador,6.068,2016
46,Malaysia,6.005,2016
47,Nicaragua,5.992,2016
48,Uzbekistan,5.987,2016
49,Italy,5.977,2016
50,Ecuador,5.976,2016
51,Belize,5.956,2016
52,Japan,5.921,2016
53,Kazakhstan,5.919,2016
54,Moldova,5.897,2016
55,Russia,5.856,2016
56,Poland,5.835,2016
57,South Korea,5.835,2016
58,Bolivia,5.822,2016
59,Lithuania,5.813,2016
60,Belarus,5.802,2016
61,North Cyprus,5.771,2016
62,Slovenia,5.768,2016
63,Peru,5.743,2016
64,Turkmenistan,5.658,2016
65,Mauritius,5.648,2016
66,Libya,5.615,2016
67,Latvia,5.56,2016
68,Cyprus,5.546,2016
69,Paraguay,5.538,2016
70,Romania,5.528,2016
71,Estonia,5.517,2016
72,Jamaica,5.51,2016
73,Croatia,5.488,2016
74,Hong Kong,5.458,2016
75,Somalia,5.44,2016
76,Kosovo,5.401,2016
77,Turkey,5.389,2016
78,Indonesia,5.314,2016
79,Jordan,5.303,2016
80,Azerbaijan,5.291,2016
81,Philippines,5.279,2016
82,China,5.245,2016
83,Bhutan,5.196,2016
84,Kyrgyzstan,5.185,2016
85,Serbia,5.177,2016
86,Bosnia and Herzegovina,5.163,2016
87,Montenegro,5.161,2016
88,Dominican Republic,5.155,2016
89,Morocco,5.151,2016
90,Hungary,5.145,2016
91,Pakistan,5.132,2016
92,Lebanon,5.129,2016
93,Portugal,5.123,2016
94,Macedonia,5.121,2016
95,Vietnam,5.061,2016
96,Somaliland Region,5.057,2016
97,Tunisia,5.045,2016
98,Greece,5.033,2016
99,Tajikistan,4.996,2016
100,Mongolia,4.907,2016
101,Laos,4.876,2016
102,Nigeria,4.875,2016
103,Honduras,4.871,2016
104,Iran,4.813,2016
105,Zambia,4.795,2016
106,Nepal,4.793,2016
107,Palestinian Territories,4.754,2016
108,Albania,4.655,2016
109,Bangladesh,4.643,2016
110,Sierra Leone,4.635,2016
111,Iraq,4.575,2016
112,Namibia,4.574,2016
113,Cameroon,4.513,2016
114,Ethiopia,4.508,2016
115,South Africa,4.459,2016
116,Sri Lanka,4.415,2016
117,India,4.404,2016
118,Myanmar,4.395,2016
119,Egypt,4.362,2016
120,Armenia,4.36,2016
121,Kenya,4.356,2016
122,Ukraine,4.324,2016
123,Ghana,4.276,2016
124,Congo (Kinshasa),4.272,2016
125,Georgia,4.252,2016
126,Congo (Brazzaville),4.236,2016
127,Senegal,4.219,2016
128,Bulgaria,4.217,2016
129,Mauritania,4.201,2016
130,Zimbabwe,4.193,2016
131,Malawi,4.156,2016
132,Sudan,4.139,2016
133,Gabon,4.121,2016
134,Mali,4.073,2016
135,Haiti,4.028,2016
136,Botswana,3.974,2016
137,Comoros,3.956,2016
138,Ivory Coast,3.916,2016
139,Cambodia,3.907,2016
140,Angola,3.866,2016
141,Niger,3.856,2016
142,South Sudan,3.832,2016
143,Chad,3.763,2016
144,Burkina Faso,3.739,2016
145,Uganda,3.739,2016
146,Yemen,3.724,2016
147,Madagascar,3.695,2016
148,Tanzania,3.666,2016
149,Liberia,3.622,2016
150,Guinea,3.607,2016
151,Rwanda,3.515,2016
152,Benin,3.484,2016
153,Afghanistan,3.36,2016
154,Togo,3.303,2016
155,Syria,3.069,2016
156,Burundi,2.905,2016
0,Switzerland,7.587,2015
1,Iceland,7.561,2015
2,Denmark,7.527,2015
3,Norway,7.522,2015
4,Canada,7.427,2015
5,Finland,7.406,2015
6,Netherlands,7.378,2015
7,Sweden,7.364,2015
8,New Zealand,7.286,2015
9,Australia,7.284,2015
10,Israel,7.278,2015
11,Costa Rica,7.226,2015
12,Austria,7.2,2015
13,Mexico,7.187,2015
14,United States,7.119,2015
15,Brazil,6.983,2015
16,Luxembourg,6.946,2015
17,Ireland,6.94,2015
18,Belgium,6.937,2015
19,United Arab Emirates,6.901,2015
20,United Kingdom,6.867,2015
21,Oman,6.853,2015
22,Venezuela,6.81,2015
23,Singapore,6.798,2015
24,Panama,6.786,2015
25,Germany,6.75,2015
26,Chile,6.67,2015
27,Qatar,6.611,2015
28,France,6.575,2015
29,Argentina,6.574,2015
30,Czech Republic,6.505,2015
31,Uruguay,6.485,2015
32,Colombia,6.477,2015
33,Thailand,6.455,2015
34,Saudi Arabia,6.411,2015
35,Spain,6.329,2015
36,Malta,6.302,2015
37,Taiwan,6.298,2015
38,Kuwait,6.295,2015
39,Suriname,6.269,2015
40,Trinidad and Tobago,6.168,2015
41,El Salvador,6.13,2015
42,Guatemala,6.123,2015
43,Uzbekistan,6.003,2015
44,Slovakia,5.995,2015
45,Japan,5.987,2015
46,South Korea,5.984,2015
47,Ecuador,5.975,2015
48,Bahrain,5.96,2015
49,Italy,5.948,2015
50,Bolivia,5.89,2015
51,Moldova,5.889,2015
52,Paraguay,5.878,2015
53,Kazakhstan,5.855,2015
54,Slovenia,5.848,2015
55,Lithuania,5.833,2015
56,Nicaragua,5.828,2015
57,Peru,5.824,2015
58,Belarus,5.813,2015
59,Poland,5.791,2015
60,Malaysia,5.77,2015
61,Croatia,5.759,2015
62,Libya,5.754,2015
63,Russia,5.716,2015
64,Jamaica,5.709,2015
65,North Cyprus,5.695,2015
66,Cyprus,5.689,2015
67,Algeria,5.605,2015
68,Kosovo,5.589,2015
69,Turkmenistan,5.548,2015
70,Mauritius,5.477,2015
71,Hong Kong,5.474,2015
72,Estonia,5.429,2015
73,Indonesia,5.399,2015
74,Vietnam,5.36,2015
75,Turkey,5.332,2015
76,Kyrgyzstan,5.286,2015
77,Nigeria,5.268,2015
78,Bhutan,5.253,2015
79,Azerbaijan,5.212,2015
80,Pakistan,5.194,2015
81,Jordan,5.192,2015
82,Montenegro,5.192,2015
83,China,5.14,2015
84,Zambia,5.129,2015
85,Romania,5.124,2015
86,Serbia,5.123,2015
87,Portugal,5.102,2015
88,Latvia,5.098,2015
89,Philippines,5.073,2015
90,Somaliland region,5.057,2015
91,Morocco,5.013,2015
92,Macedonia,5.007,2015
93,Mozambique,4.971,2015
94,Albania,4.959,2015
95,Bosnia and Herzegovina,4.949,2015
96,Lesotho,4.898,2015
97,Dominican Republic,4.885,2015
98,Laos,4.876,2015
99,Mongolia,4.874,2015
100,Swaziland,4.867,2015
101,Greece,4.857,2015
102,Lebanon,4.839,2015
103,Hungary,4.8,2015
104,Honduras,4.788,2015
105,Tajikistan,4.786,2015
106,Tunisia,4.739,2015
107,Palestinian Territories,4.715,2015
108,Bangladesh,4.694,2015
109,Iran,4.686,2015
110,Ukraine,4.681,2015
111,Iraq,4.677,2015
112,South Africa,4.642,2015
113,Ghana,4.633,2015
114,Zimbabwe,4.61,2015
115,Liberia,4.571,2015
116,India,4.565,2015
117,Sudan,4.55,2015
118,Haiti,4.518,2015
119,Congo (Kinshasa),4.517,2015
120,Nepal,4.514,2015
121,Ethiopia,4.512,2015
122,Sierra Leone,4.507,2015
123,Mauritania,4.436,2015
124,Kenya,4.419,2015
125,Djibouti,4.369,2015
126,Armenia,4.35,2015
127,Botswana,4.332,2015
128,Myanmar,4.307,2015
129,Georgia,4.297,2015
130,Malawi,4.292,2015
131,Sri Lanka,4.271,2015
132,Cameroon,4.252,2015
133,Bulgaria,4.218,2015
134,Egypt,4.194,2015
135,Yemen,4.077,2015
136,Angola,4.033,2015
137,Mali,3.995,2015
138,Congo (Brazzaville),3.989,2015
139,Comoros,3.956,2015
140,Uganda,3.931,2015
141,Senegal,3.904,2015
142,Gabon,3.896,2015
143,Niger,3.845,2015
144,Cambodia,3.819,2015
145,Tanzania,3.781,2015
146,Madagascar,3.681,2015
147,Central African Republic,3.678,2015
148,Chad,3.667,2015
149,Guinea,3.656,2015
150,Ivory Coast,3.655,2015
151,Burkina Faso,3.587,2015
152,Afghanistan,3.575,2015
153,Rwanda,3.465,2015
154,Benin,3.34,2015
155,Syria,3.006,2015
156,Burundi,2.905,2015
157,Togo,2.839,2015
