"country","latitude","longitude","show_id","type","title","director","cast","date_added","release_year","rating","duration","listed_in"
"Argentina",-38.416097,-63.616672,"s5552","Movie","The Tenth Man","Daniel Burman","Alan Sabbagh, Julieta Zylberberg, Usher Barilka, Elvira Onetto, Adrián Stoppelman, Dan Breitman, Elisa Carricajo","April 1, 2017",2016,"TV-MA","81 min","Dramas, International Movies"
"Argentina",-38.416097,-63.616672,"s1734","TV Show","Carmel: Who Killed Maria Marta?","Alejandro Hartmann","","November 5, 2020",2020,"TV-14","1 Season","Crime TV Shows, Docuseries, International TV Shows"
"Argentina",-38.416097,-63.616672,"s1918","TV Show","Secreto bien guardado","","Oriana Sabatini, Victorio D'Alessandro, Noemí Frenkel, Matías Mayer, Paula Sartor, Agustina Palma, Graciela Tenenbaum, Bárbara Lombardo","October 1, 2020",2019,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
"Argentina",-38.416097,-63.616672,"s770","Movie","From Stress to Happiness","Alejandro De Grazia, Juan Stadler","","June 3, 2021",2020,"TV-G","58 min","Documentaries, International Movies"
"Argentina",-38.416097,-63.616672,"s5002","Movie","Malena Pichot: Estupidez compleja","Raúl Campos, Jan Suter","Malena Pichot","March 2, 2018",2018,"TV-MA","51 min","Stand-Up Comedy"
"Argentina",-38.416097,-63.616672,"s6553","Movie","Daemonium","Pablo Parés","Walter Cornás, Dany Casco, Caro Angus, Rocío Rodríguez Presedo, Chucho Fernández, Amanda Nara, Maite Zumelzú","December 20, 2016",2015,"NR","115 min","Action & Adventure, Horror Movies, International Movies"
"Argentina",-38.416097,-63.616672,"s4782","Movie","Luciano Mellera: Infantiloide","Raúl Campos, Jan Suter","Luciano Mellera","July 6, 2018",2018,"TV-14","66 min","Stand-Up Comedy"
"Argentina",-38.416097,-63.616672,"s3484","TV Show","El Marginal","","Juan Minujín, Martina Gusman, Gerardo Romano, Claudio Rissi, Carlos Portaluppi, Nicolás Furtado, Cristina Banegas, Abel Ayala","September 27, 2019",2019,"TV-MA","3 Seasons","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
"Argentina",-38.416097,-63.616672,"s304","Movie","Esperando la carroza","Alejandro Doria","Luis Brandoni, China Zorrilla, Antonio Gasalla, Julio De Grazia, Betiana Blum, Monica Villa, Juan Manuel Tenuta, Andrea Tenuta, Cecilia Rossetto, Enrique Pinti","August 5, 2021",1985,"TV-MA","95 min","Comedies, Cult Movies, International Movies"
"Argentina",-38.416097,-63.616672,"s1714","Movie","Memories of a Teenager","Lucas Santa Ana","Renato Quattordio, Malena Narvay, Thomás Lepera, Jerónimo Giocondo Bosia, Tomás Wicz, Tomás Raimondi, Majo Chicar, Agustina Cabo","November 12, 2020",2019,"TV-MA","97 min","Dramas, International Movies, LGBTQ Movies"
"Argentina",-38.416097,-63.616672,"s2787","Movie","A Life of Speed: The Juan Manuel Fangio Story","Francisco Macri","","March 20, 2020",2020,"TV-14","93 min","Documentaries, International Movies, Sports Movies"
"Argentina",-38.416097,-63.616672,"s5035","Movie","Agustín Aristarán: Soy Rada","Mariano Baez","Agustín Aristarán","February 16, 2018",2018,"TV-MA","60 min","Stand-Up Comedy"
"Argentina",-38.416097,-63.616672,"s6083","Movie","Abzurdah","Daniela Goggi","Eugenia Suárez, Esteban Lamothe, Gloria Carrá, Rafael Spregelburd, Tomás Ottaviano, Julieta Gullo, Zoe Hochbaum, Lucia Carolina Pecrul","August 25, 2016",2015,"TV-MA","90 min","Dramas, International Movies"
"Argentina",-38.416097,-63.616672,"s1658","Movie","Notes for My Son","Carlos Sorín","Valeria Bertuccelli, Esteban Lamothe, Julián Sorín, Mauricio Dayub, Malena Pichot, Catarina Spinetta, Carla Quevedo, Anita Pauls, Mónica Antonópulos, Paola Barrientos, Ana Katz, Romina Richi, Diego Gentile, Beatriz Spelzini, Diego Reinhold","November 24, 2020",2020,"TV-MA","84 min","Dramas, International Movies"
"Argentina",-38.416097,-63.616672,"s6706","Movie","Esperando La Carroza","Alejandro Doria","Luis Brandoni, China Zorrilla, Antonio Gasalla, Julio De Grazia, Betiana Blum, Monica Villa, Juan Manuel Tenuta, Andrea Tenuta, Cecilia Rossetto, Enrique Pinti","July 15, 2018",1985,"NR","95 min","Comedies, Cult Movies, International Movies"
"Argentina",-38.416097,-63.616672,"s276","TV Show","The Kingdom","","Chino Darín, Nancy Dupláa, Joaquín Furriel, Peter Lanzani, Mercedes Morán, Diego Peretti, Vera Spinetta, Nico García Hume, Victoria Almeida, Santiago Korovsky, Patricio Aramburu, Alfonso Tort, Diego Gentile, Néstor Guzzini, Daniel Kuzniecka","August 13, 2021",2021,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
"Argentina",-38.416097,-63.616672,"s2566","TV Show","Almost Happy","Hernán Guerschuny","Sebastián Wainraich, Natalie Pérez, Santiago Korovsky","May 2, 2020",2020,"TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, TV Comedies"
"Argentina",-38.416097,-63.616672,"s4431","TV Show","Creators","","Fabio Aste, Héctor Segura, Sebastian Rosas","November 1, 2018",2015,"TV-Y","2 Seasons","Kids' TV, Spanish-Language TV Shows"
"Argentina",-38.416097,-63.616672,"s3376","TV Show","Monzón: A Knockout Blow","","Jorge Román, Mauricio Paniagua, Carla Quevedo, Paloma Ker, Soledad Silveyra, Diego Cremonesi, Florencia Raggi, Gustavo Garzón, Yayo Guridi, Fabián Arenillas, Nacho Gadano, Belén Chavanne","October 25, 2019",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
"Argentina",-38.416097,-63.616672,"s5115","Movie","Desire","Diego Kaplan","Carolina Ardohain, Mónica Antonópulos, Guilherme Winter, Juan Sorini, Andrea Frigerio","December 21, 2017",2017,"TV-MA","94 min","Dramas, International Movies, Romantic Movies"
"Argentina",-38.416097,-63.616672,"s3682","Movie","River, el más grande siempre","Marcelo Altmark, Mariano Mucci, Luis A. Scalella","","July 5, 2019",2019,"TV-G","105 min","Documentaries, International Movies, Sports Movies"
"Argentina",-38.416097,-63.616672,"s7251","Movie","La Última Fiesta","Leandro Mark, Nicolás Silbert","Nicolás Vázquez, Alan Sabbagh, Benjamín Amadeo, Eva De Dominici, César Bordón, Julian Kartun, Paula Carruega, Luciano Rossi, Ezequiel Campa","February 1, 2017",2016,"TV-MA","104 min","Comedies, International Movies"
"Argentina",-38.416097,-63.616672,"s4112","TV Show","The Kirlian Frequency","","Nicolás Van de Moortele, Letizia Denise Bloisi, María Dupláa, Ciro Herce, Milagros Molina, Jorge Pinarello, Casper Uncal, Jorge Luis Alonso","February 15, 2019",2017,"TV-14","1 Season","International TV Shows, Spanish-Language TV Shows, TV Horror"
"Argentina",-38.416097,-63.616672,"s1793","Movie","Guillermo Vilas: Settling the Score","Matías Gueilburt","","October 27, 2020",2020,"TV-14","95 min","Documentaries, International Movies, Sports Movies"
"Argentina",-38.416097,-63.616672,"s3355","Movie","Grego Rossello: Disculpe las molestias","Juani Libonatti","Grego Rossello","October 31, 2019",2019,"TV-MA","65 min","Stand-Up Comedy"
"Argentina",-38.416097,-63.616672,"s2112","Movie","The Crimes That Bind","Sebastián Schindel","Cecilia Roth, Miguel Ángel Solá, Benjamín Amadeo, Sofía Gala Castiglione, Yanina Ávila, Marcelo Subiotto, Paola Barrientos, Diego Cremonesi, Claudio Martínez Bel","August 20, 2020",2020,"TV-14","100 min","Dramas, International Movies"
"Argentina",-38.416097,-63.616672,"s2466","Movie","Intuition","Alejandro Montiel","Luisana Lopilato, Joaquín Furriel, Rafael Ferro, Maite Lanata, Juan Manuel Guilera, Abel Ayala, Sebastián Mogordoy, Delfina Chaves, Marita Ballesteros, Miriam Odorico","May 28, 2020",2020,"TV-MA","116 min","Dramas, International Movies, Thrillers"
"Argentina",-38.416097,-63.616672,"s674","TV Show","No Time for Shame","","Santiago Artemis","June 19, 2021",2019,"TV-MA","1 Season","International TV Shows, Reality TV, Spanish-Language TV Shows"
"Argentina",-38.416097,-63.616672,"s435","TV Show","Okupas","","Rodrigo de la Serna, Diego Alonso, Ariel Staltari, Franco Tirri, Ana Celentano, Rosina Soto, Augusto Brítez, Dante Mastropierro, Susana Manchini, Diana Wells","July 20, 2021",2020,"TV-MA","1 Season","Classic & Cult TV, Crime TV Shows, International TV Shows"
"Argentina",-38.416097,-63.616672,"s7359","Movie","Lucha: Playing the Impossible","Ana Quiroga","Luciana Aymar","July 15, 2018",2016,"TV-PG","98 min","Documentaries, International Movies, Sports Movies"
"Argentina",-38.416097,-63.616672,"s3723","TV Show","Go! Live Your Way","","Pilar Pascual, Renata Toscano, José Giménez Zapiola, Santiago Saez, Paulo Sanchez Lima, Carmela Barsamian, Axel Muñiz, Majo Cardoso, Majo Chicar, Gastón Ricaud, Laura Azcurra","June 21, 2019",2019,"TV-PG","2 Seasons","Kids' TV, Spanish-Language TV Shows, Teen TV Shows"
"Argentina",-38.416097,-63.616672,"s6401","Movie","Caida del Cielo","Néstor Sánchez Sotelo","Muriel Santa Ana, Peto Menahem, Héctor Díaz, Sebastián Wainraich, Karina K., Hernán Jiménez, Fabián Forte, Verónica Intile","January 20, 2017",2016,"TV-MA","78 min","Comedies, International Movies, Romantic Movies"
"Argentina",-38.416097,-63.616672,"s8186","Movie","The Aerial","Esteban Sapir","Rafael Ferro, Sol Moreno, Jonathan Sandor, Alejandro Urdapilleta, Julieta Cardinali, Florencia Raggi, Valeria Bertuccelli, Raúl Hochman, Ricardo Merkin, Carlos Piñeyro","April 1, 2018",2007,"TV-MA","99 min","Dramas, International Movies, Sci-Fi & Fantasy"
"Argentina",-38.416097,-63.616672,"s2895","TV Show","Puerta 7","","Dolores Fonzi, Esteban Lamothe, Carlos Belloso, Juan Gil Navarro, Daniel Aráoz, Antonio Grimau, Ignacio Quesada, Mónica Ayos, Daniel Valenzuela","February 21, 2020",2020,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
"Argentina",-38.416097,-63.616672,"s4850","Movie","Fernando Sanjiao: Hombre","Raúl Campos, Jan Suter","Fernando Sanjiao","May 25, 2018",2018,"TV-MA","63 min","Stand-Up Comedy"
"Argentina",-38.416097,-63.616672,"s1418","Movie","Al acecho","Francisco D'Eufemia","Rodrigo de la Serna, Belen Blanco, Walter Jakob, Facundo Aquinos, Patricia Calisaya","January 12, 2021",2019,"TV-MA","81 min","International Movies, Thrillers"
"Argentina",-38.416097,-63.616672,"s3824","TV Show","Heidi, bienvenida a casa","","Chiara Francia, Mercedes Lambre, Victorio D'Alessandro, Mario Guerci, Florencia Benítez, Victoria Ramos","May 15, 2019",2017,"TV-Y","1 Season","Kids' TV, Spanish-Language TV Shows"
"Argentina",-38.416097,-63.616672,"s5315","Movie","Todo Sobre El Asado","Mariano Cohn, Gastón Duprat","El Negro Álvarez","September 1, 2017",2016,"TV-MA","86 min","Documentaries, International Movies"
"Argentina",-38.416097,-63.616672,"s7746","Movie","Pizza, birra, faso","Israel Adrián Caetano, Bruno Stagnaro","Héctor Anglada, Jorge Sesán, Pamela Jordán, Adrián Yospe, Daniel Di Biase, Walter Díaz, Martín Adjemián, Elena Cánepa, Rubén Rodríguez, Tony Lestingi, Alejandro Pous","March 15, 2018",1998,"TV-MA","81 min","Dramas, International Movies"
"Australia",-25.274398,133.775136,"s1640","TV Show","Heartbreak High","","Callan Mulvey, Lara Cox, Emma Roche, Ada Nicodemou, Rel Hunt, Putu Winchester, Salvatore Coco, Barbara Gouskos, Ivar Kants, Stephen O'Rourke, Abi Tucker, Scott Major, Corey Page, Despina Caldis, Deni Gordon, Jon Pollard, Vince Poletto, Andrea Moor, Jeremy Lindsay Taylor, Doris Younane, Tony Martin, Sebastian Goldspink, Katherine Halliday, Marcel Bracks, Nina Liu, Morna Seres, Nathalie Roy, Rebecca Smart, Fleur Beaupert, Alex Dimitriades, Tina Bursill, Peter Sumner, Mario Gamma, Tai Nguyen, Inge Hornstra, Rupert Reid, John Walton, Nick Lathouris, Hugh Baldwin, Sarah Lambert, Jan Adele, Diane Craig, Ian Bliss, Alexandra Brunning, Kym Wilson, Isabella Gutierrez, Simon Baker","November 27, 2020",1999,"TV-14","7 Seasons","International TV Shows, TV Dramas, Teen TV Shows"
"Australia",-25.274398,133.775136,"s6969","Movie","Highly Strung","Scott Hicks","","February 1, 2017",2015,"TV-14","80 min","Documentaries, International Movies, Music & Musicals"
"Australia",-25.274398,133.775136,"s1774","TV Show","Zumbo's Just Desserts","","Adriano Zumbo, Rachel Khoo","October 31, 2020",2019,"TV-PG","1 Season","International TV Shows, Reality TV"
"Australia",-25.274398,133.775136,"s6456","TV Show","Cheapest Weddings","","Melanie Vallejo","December 1, 2017",2016,"TV-14","1 Season","International TV Shows, Reality TV"
"Australia",-25.274398,133.775136,"s5390","Movie","A 2nd Chance","Clay Glen","Nina Pearce, Adam Tuominen, Emily Morris, Amy Handley, Carmel Johnson, Alanah Gilbert, Hapi Murphy, Lilly Blacker, Julie Kay Lumasag, Elysia Markou","July 1, 2017",2011,"PG","95 min","Children & Family Movies, Dramas, Sports Movies"
"Australia",-25.274398,133.775136,"s4489","TV Show","Ask the Doctor","","Shalin Naik, Renee Lim, Sandro Demaio","October 19, 2018",2017,"TV-PG","1 Season","Docuseries, International TV Shows, Science & Nature TV"
"Australia",-25.274398,133.775136,"s683","TV Show","Why Are You Like This","","Naomi Higgins, Olivia Junkeer, Wil King","June 19, 2021",2021,"TV-MA","1 Season","International TV Shows, TV Comedies"
"Australia",-25.274398,133.775136,"s2329","Movie","Ride Like a Girl","Rachel Griffiths","Teresa Palmer, Sam Neill, Sullivan Stapleton, Stevie Payne, Brooke Satchwell, Magda Szubanski, Aaron Glenane, Damien Garvey, Sophia Crawford, Henry Nixon","June 27, 2020",2020,"PG","99 min","Children & Family Movies, Dramas, Independent Movies"
"Australia",-25.274398,133.775136,"s1896","TV Show","H2O: Just Add Water","","Cariba Heine, Phoebe Tonkin, Angus McLaren, Burgess Abernethy, Claire Holt, Alan David Lee, Cleo Massey, Jamie Timony","October 2, 2020",2009,"TV-PG","3 Seasons","Kids' TV, TV Dramas"
"Australia",-25.274398,133.775136,"s2259","TV Show","Stateless","","Yvonne Strahovski, Jai Courtney, Cate Blanchett, Asher Keddie, Fayssal Bazzi, Dominic West","July 8, 2020",2020,"TV-MA","1 Season","International TV Shows, TV Dramas"
"Australia",-25.274398,133.775136,"s6977","TV Show","History's Greatest Hoaxes","","","July 12, 2019",2016,"TV-PG","1 Season","British TV Shows, Docuseries"
"Australia",-25.274398,133.775136,"s2530","TV Show","The Wiggles","","Anthony Field, Lachlan Gillespie, Simon Pryce, Emma Watkins, Paul Paddick","May 15, 2020",2015,"TV-Y","2 Seasons","Kids' TV"
"Australia",-25.274398,133.775136,"s861","Movie","Hating Peter Tatchell","Christopher Amos","","May 20, 2021",2020,"TV-MA","91 min","Documentaries, International Movies, LGBTQ Movies"
"Australia",-25.274398,133.775136,"s507","Movie","This Little Love Of Mine","Christine Luby","Saskia Hampele, Liam McIntyre, Lynn Gilmartin, Craig Horner","July 7, 2021",2021,"TV-G","92 min","International Movies, Romantic Movies"
"Australia",-25.274398,133.775136,"s109","TV Show","Dive Club","","Aubri Ibrag, Sana'a Shaik, Miah Madden, Mercy Cornwall, Georgia-May Davis, Ryan Harrison, Josh Heuston, Alexander Grant","September 3, 2021",2021,"TV-G","1 Season","Kids' TV, TV Dramas, Teen TV Shows"
"Australia",-25.274398,133.775136,"s4703","TV Show","72 Dangerous Animals: Asia","","Bob Brisbane","August 10, 2018",2018,"TV-14","1 Season","Docuseries, International TV Shows, Science & Nature TV"
"Australia",-25.274398,133.775136,"s26","TV Show","Love on the Spectrum","","Brooke Satchwell","September 21, 2021",2021,"TV-14","2 Seasons","Docuseries, International TV Shows, Reality TV"
"Australia",-25.274398,133.775136,"s6941","Movie","Have You Seen the Listers?","Eddie Martin","Anthony Lister","February 1, 2019",2017,"TV-MA","86 min","Documentaries, International Movies"
"Australia",-25.274398,133.775136,"s3765","Movie","I Am Mother","Grant Sputore","Clara Rugaard, Rose Byrne, Hilary Swank, Luke Hawker","June 7, 2019",2019,"TV-PG","114 min","International Movies, Sci-Fi & Fantasy, Thrillers"
"Australia",-25.274398,133.775136,"s8244","TV Show","The Chefs' Line","","Dan Hong, Mark Olive, Melissa Leong, Maeve O'Meara","August 1, 2019",2017,"TV-14","1 Season","International TV Shows, Reality TV"
"Australia",-25.274398,133.775136,"s6557","TV Show","Dance Academy","","Xenia Goodwin, Alicia Banit, Dena Kaplan, Isabel Durant, Thom Green, Jordan Rodrigues, Thomas Lacey, Tim Pocock, Tara Morice","December 20, 2017",2013,"TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Dramas"
"Australia",-25.274398,133.775136,"s3110","Movie","Back of the Net","Louise Alston","Sofia Wylie, Tiarnie Coupland, Trae Robin, Gemma Chua-Tran, Ashleigh Ross, Yasmin Honeychurch, Raj Labade, Christopher Kirby, Melissa Bonne, Kate Box","December 21, 2019",2019,"TV-Y","86 min","Children & Family Movies, Sports Movies"
"Australia",-25.274398,133.775136,"s1717","TV Show","Aunty Donna's Big Ol' House of Fun","","Mark Samual Bonanno, Broden Kelly, Zachary Ruane, Ed Helms, Kristen Schaal, Weird Al Yankovic, Kia Stevens, Paul F. Tompkins, Tawny Newsome","November 11, 2020",2020,"TV-MA","1 Season","TV Comedies"
"Australia",-25.274398,133.775136,"s1934","TV Show","Wentworth","","Danielle Cormack, Nicole da Silva, Kate Atkinson, Celia Ireland, Shareena Clanton, Aaron Jeffery, Robbie Magasiva, Katrina Milosevic, Jacqueline Brennan, Ra Chapman, Pamela Rabe, Sigrid Thornton, Socratis Otto, Bernard Curry, Tammy MacIntosh, Kate Jenkinson","September 30, 2020",2020,"TV-MA","8 Seasons","Crime TV Shows, TV Dramas"
"Australia",-25.274398,133.775136,"s7315","Movie","Little Lunch: The Nightmare Before Graduation","Robyn Butler","Flynn Curry, Olivia Deeble, Madison Lu, Oisín O'Leary, Faith Seci, Joshua Sitch, Heidi Arena, Wayne Hope","March 15, 2018",2016,"TV-Y7","25 min","Children & Family Movies, Comedies"
"Australia",-25.274398,133.775136,"s6358","TV Show","Bondi Rescue","","Andrew Günsberg, Dean Gladstone, Bruce Hopkins, Trent 'Maxi' Maxwell, Andrew Reid, Ryan Clark, Chris Chapman, Anthony 'Harries' Caroll"," November 1, 2019",2016,"TV-PG","1 Season","Reality TV"
"Australia",-25.274398,133.775136,"s3492","TV Show","Glitch","","Patrick Brammall, Genevieve O'Reilly, Emma Booth, Emily Barclay, Ned Dennehy, Sean Keenan, Hannah Monson, Aaron L. McGrath, John Leary, Rodger Corser, Andrew McFarlane, Luke Arnold, Rob Collins, Pernilla August","September 25, 2019",2019,"TV-MA","3 Seasons","International TV Shows, TV Dramas, TV Horror"
"Australia",-25.274398,133.775136,"s1731","TV Show","Wrong Kind of Black","","Clarence Ryan, Aaron L. McGrath, Lisa Flanagan, Tommy Lewis, Nilbi Yasserie, Christopher Ketchup, Boori Monty Pryor, Jacek Koman, Colin Lane, Arthur Angel, Toby Truslove","November 6, 2020",2018,"TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas"
"Australia",-25.274398,133.775136,"s4748","TV Show","Kath and Kim","","Jane Turner, Gina Riley, Glenn Robbins, Peter Rowsthorn, Magda Szubanski","July 28, 2018",2007,"TV-MA","6 Seasons","TV Comedies"
"Australia",-25.274398,133.775136,"s5495","TV Show","Kazoops!","","Reece Pockney, Scott Langley, Alex Babic, Gemma Harvey, Jessica Hann, Emma Tate","May 5, 2017",2017,"TV-Y","3 Seasons","Kids' TV"
"Australia",-25.274398,133.775136,"s1798","Movie","I Am Woman","Unjoo Moon","Tilda Cobham-Hervey, Danielle Macdonald, Evan Peters, Chris Parnell, David Lyons, Matty Cardarople, Dusty Sorg","October 24, 2020",2019,"TV-MA","117 min","Dramas, Music & Musicals"
"Australia",-25.274398,133.775136,"s5846","TV Show","72 Dangerous Places to Live","","Mitch Ryan","June 1, 2016",2016,"TV-PG","1 Season","Docuseries, International TV Shows, Science & Nature TV"
"Australia",-25.274398,133.775136,"s4835","Movie","Ali's Wedding","Jeffrey Walker","Osamah Sami, Don Hany, Helana Sawires, Frances Duca, Majid Shokor, Rodney Afif, Ghazi Alkinani, Ryan Corr","June 8, 2018",2018,"TV-MA","110 min","Comedies, Independent Movies, International Movies"
"Australia",-25.274398,133.775136,"s5318","Movie","Berlin Syndrome","Cate Shortland","Matthias Habich, Max Riemelt, Teresa Palmer, Lucie Aron, Emma Bading","August 25, 2017",2017,"R","116 min","International Movies, Thrillers"
"Australia",-25.274398,133.775136,"s2820","Movie","Go Karts","Owen Trevor","William Lodder, Anastasia Bampos, Darius Amarfio-Jefferson, Richard Roxburgh, Frances O'Connor, Dan Wyllie, Cooper van Grootel, Damian de Montemas, Adam T. Perkins","March 13, 2020",2020,"TV-PG","103 min","Children & Family Movies, Dramas"
"Australia",-25.274398,133.775136,"s537","TV Show","Tales by Light","","Darren Jew, Art Wolfe, Krystle Wright, Peter Eastway, Richard l’Anson, Jack Thompson, Jonathan Scott, Angela Scott, Eric Cheng, Stephen Dupont","July 6, 2021",2018,"TV-14","3 Seasons","Docuseries, International TV Shows, Science & Nature TV"
"Australia",-25.274398,133.775136,"s3899","TV Show","Lunatics","","Chris Lilley","April 19, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Comedies"
"Australia",-25.274398,133.775136,"s5568","TV Show","Outback Truckers","","","March 17, 2017",2015,"TV-MA","3 Seasons","Reality TV"
"Australia",-25.274398,133.775136,"s394","Movie","A Second Chance:  Rivals!","Clay Glen","Emily Morris, Stella Shute, Eva Grados, India Colombi, Nina Pearce, Adam Tuominen, Carmel Johnson, Natasha Wanganeen, Elysia Markou, Alexander Lloyd, Amy Handley","July 23, 2021",2021,"PG","91 min","Children & Family Movies, Sports Movies"
"Australia",-25.274398,133.775136,"s6376","Movie","Breath","Simon Baker","Samson Coulter, Ben Spence, Simon Baker, Elizabeth Debicki, Richard Roxburgh, Rachael Blake, Jacek Koman","December 5, 2018",2018,"TV-MA","116 min","Dramas, Sports Movies"
