Country,Confirmed,Deaths,Recovered,Active,Population
Norway,15466,275,11863,3328,5421242
Oman,104129,1009,91731,11389,5106622
Pakistan,318932,6570,303458,8904,220892331
Panama,119666,2482,95552,21632,4314768
Papua New Guinea,549,7,532,10,8947027
Paraguay,48978,1065,31351,16562,7132530
Peru,846088,33223,733000,79865,32971846
Philippines,336926,6238,276094,54594,109581085
Poland,121638,2972,78982,39684,37846605
Portugal,85574,2067,52803,30704,10196707
Qatar,127778,219,124767,2792,2881060
Romania,152403,5358,116628,30417,19237682
Russia,1278245,22331,1011911,244003,145934460
Rwanda,4892,30,3566,1296,12952209
Saint Kitts and Nevis,19,0,18,1,53192
Saint Lucia,29,0,27,2,183629
Saint Vincent and the Grenadines,64,0,64,0,110947
San Marino,741,42,682,17,33938
Sao Tome and Principe,922,15,890,17,219161
Saudi Arabia,338944,5018,324737,9189,34813867
Senegal,15244,314,13198,1732,16743930
Serbia,34685,762,0,33923,6804596
Seychelles,148,0,144,4,98340
Sierra Leone,2300,72,1725,503,7976985
Singapore,57866,27,57698,141,5850343
Slovakia,18797,61,5553,13183,5459643
Slovenia,8252,167,5024,3061,2078932
Somalia,3847,99,3079,669,15893219
South Africa,690896,17673,622153,51070,59308690
South Sudan,2761,54,1290,1417,11193729
Spain,861112,32929,150376,677807,46754783
Sri Lanka,4628,13,3306,1309,21413250
Sudan,13670,836,6764,6070,43849269
Suriname,5035,107,4830,98,586634
Sweden,98451,5894,0,92557,10099270
Switzerland,60368,2088,48400,9880,8654618
Syria,4673,221,1271,3181,17500657
Taiwan,527,7,488,32,23816775
Tajikistan,10180,79,9006,1095,9537642
Tanzania,509,21,183,305,56320000
Thailand,3636,59,3451,126,69799978
Timor-Leste,28,0,28,0,1268000
Togo,1935,49,1444,442,8278737
Trinidad and Tobago,5043,90,3221,1732,1399491
Tunisia,31259,456,5032,25771,11818618
Turkey,334031,8778,293145,32108,84339067
Uganda,9701,93,6022,3586,45741000
Ukraine,263105,5010,116861,141234,43733759
United Arab Emirates,105133,443,95973,8717,9890400
United Kingdom,593565,42850,2495,548220,67886004
Uruguay,2268,50,1930,288,3473727
United States of America,7717932,214370,3062983,4440581,331002647
Uzbekistan,60776,502,57704,2570,33469199
Venezuela,82453,691,73919,7843,28435943
Vietnam,1107,35,1024,48,97338583
West Bank and Gaza,43945,378,37240,6327,4430000
Western Sahara,10,1,8,1,597330
Yemen,2051,595,1329,127,29825968
Zambia,15415,337,14541,537,18383956
Zimbabwe,8010,230,6492,1288,14862927
