date,new_cases,total_cases,country,continent
4/9/2020,56,423,Afghanistan,Asia
4/10/2020,61,484,Afghanistan,Asia
4/11/2020,37,521,Afghanistan,Asia
4/12/2020,34,555,Afghanistan,Asia
4/13/2020,52,607,Afghanistan,Asia
4/14/2020,58,665,Afghanistan,Asia
4/15/2020,49,714,Afghanistan,Asia
4/16/2020,70,784,Afghanistan,Asia
4/17/2020,10,794,Afghanistan,Asia
4/18/2020,51,845,Afghanistan,Asia
4/19/2020,63,908,Afghanistan,Asia
4/20/2020,88,996,Afghanistan,Asia
4/21/2020,35,1031,Afghanistan,Asia
4/22/2020,61,1092,Afghanistan,Asia
4/23/2020,84,1176,Afghanistan,Asia
4/24/2020,105,1281,Afghanistan,Asia
4/25/2020,70,1351,Afghanistan,Asia
4/26/2020,112,1463,Afghanistan,Asia
4/27/2020,68,1531,Afghanistan,Asia
4/28/2020,172,1703,Afghanistan,Asia
4/29/2020,124,1827,Afghanistan,Asia
4/30/2020,122,1949,Afghanistan,Asia
5/1/2020,222,2171,Afghanistan,Asia
5/2/2020,164,2335,Afghanistan,Asia
5/3/2020,134,2469,Afghanistan,Asia
5/4/2020,235,2704,Afghanistan,Asia
5/5/2020,190,2894,Afghanistan,Asia
5/6/2020,330,3224,Afghanistan,Asia
5/7/2020,168,3392,Afghanistan,Asia
5/8/2020,171,3563,Afghanistan,Asia
5/9/2020,215,3778,Afghanistan,Asia
5/10/2020,255,4033,Afghanistan,Asia
5/11/2020,369,4402,Afghanistan,Asia
5/12/2020,285,4687,Afghanistan,Asia
5/13/2020,280,4967,Afghanistan,Asia
5/14/2020,259,5226,Afghanistan,Asia
5/15/2020,113,5339,Afghanistan,Asia
5/16/2020,1063,6402,Afghanistan,Asia
5/17/2020,0,6402,Afghanistan,Asia
5/18/2020,262,6664,Afghanistan,Asia
5/19/2020,408,7072,Afghanistan,Asia
5/20/2020,581,7653,Afghanistan,Asia
5/21/2020,492,8145,Afghanistan,Asia
5/22/2020,531,8676,Afghanistan,Asia
5/23/2020,540,9216,Afghanistan,Asia
5/24/2020,782,9998,Afghanistan,Asia
5/25/2020,584,10582,Afghanistan,Asia
5/26/2020,591,11173,Afghanistan,Asia
5/27/2020,658,11831,Afghanistan,Asia
5/28/2020,625,12456,Afghanistan,Asia
5/29/2020,580,13036,Afghanistan,Asia
5/30/2020,623,13659,Afghanistan,Asia
5/31/2020,866,14525,Afghanistan,Asia
6/1/2020,680,15205,Afghanistan,Asia
6/2/2020,545,15750,Afghanistan,Asia
6/3/2020,759,16509,Afghanistan,Asia
6/4/2020,758,17267,Afghanistan,Asia
6/5/2020,787,18054,Afghanistan,Asia
6/6/2020,915,18969,Afghanistan,Asia
6/7/2020,582,19551,Afghanistan,Asia
6/8/2020,791,20342,Afghanistan,Asia
6/9/2020,575,20917,Afghanistan,Asia
6/10/2020,542,21459,Afghanistan,Asia
6/11/2020,684,22143,Afghanistan,Asia
6/12/2020,747,22890,Afghanistan,Asia
6/13/2020,656,23546,Afghanistan,Asia
6/14/2020,556,24102,Afghanistan,Asia
6/15/2020,664,24766,Afghanistan,Asia
6/16/2020,761,25527,Afghanistan,Asia
6/17/2020,783,26310,Afghanistan,Asia
6/18/2020,564,26874,Afghanistan,Asia
6/19/2020,658,27532,Afghanistan,Asia
6/20/2020,346,27878,Afghanistan,Asia
6/21/2020,546,28424,Afghanistan,Asia
6/22/2020,409,28833,Afghanistan,Asia
6/23/2020,310,29143,Afghanistan,Asia
6/24/2020,338,29481,Afghanistan,Asia
6/25/2020,234,29715,Afghanistan,Asia
6/26/2020,460,30175,Afghanistan,Asia
6/27/2020,276,30451,Afghanistan,Asia
6/28/2020,165,30616,Afghanistan,Asia
6/29/2020,351,30967,Afghanistan,Asia
6/30/2020,271,31238,Afghanistan,Asia
7/1/2020,279,31517,Afghanistan,Asia
7/2/2020,319,31836,Afghanistan,Asia
7/3/2020,186,32022,Afghanistan,Asia
7/4/2020,302,32324,Afghanistan,Asia
7/5/2020,348,32672,Afghanistan,Asia
7/6/2020,279,32951,Afghanistan,Asia
7/7/2020,433,33384,Afghanistan,Asia
7/8/2020,210,33594,Afghanistan,Asia
7/9/2020,59,33653,Afghanistan,Asia
7/10/2020,255,33908,Afghanistan,Asia
7/11/2020,458,34366,Afghanistan,Asia
7/12/2020,85,34451,Afghanistan,Asia
7/13/2020,0,34451,Afghanistan,Asia
7/14/2020,4,34455,Afghanistan,Asia
7/15/2020,285,34740,Afghanistan,Asia
7/16/2020,254,34994,Afghanistan,Asia
7/17/2020,76,35070,Afghanistan,Asia
7/18/2020,219,35289,Afghanistan,Asia
7/19/2020,12,35301,Afghanistan,Asia
7/20/2020,174,35475,Afghanistan,Asia
7/21/2020,140,35615,Afghanistan,Asia
7/22/2020,112,35727,Afghanistan,Asia
7/23/2020,188,35915,Afghanistan,Asia
7/24/2020,13,35928,Afghanistan,Asia
7/25/2020,108,36036,Afghanistan,Asia
7/26/2020,121,36157,Afghanistan,Asia
7/27/2020,106,36263,Afghanistan,Asia
7/28/2020,105,36368,Afghanistan,Asia
7/29/2020,103,36471,Afghanistan,Asia
7/30/2020,0,36471,Afghanistan,Asia
7/31/2020,71,36542,Afghanistan,Asia
8/1/2020,168,36710,Afghanistan,Asia
8/2/2020,0,36710,Afghanistan,Asia
8/3/2020,0,36710,Afghanistan,Asia
8/4/2020,37,36747,Afghanistan,Asia
8/5/2020,82,36829,Afghanistan,Asia
8/6/2020,67,36896,Afghanistan,Asia
8/7/2020,41,36937,Afghanistan,Asia
8/8/2020,78,37015,Afghanistan,Asia
8/9/2020,39,37054,Afghanistan,Asia
8/10/2020,0,37054,Afghanistan,Asia
8/11/2020,0,37054,Afghanistan,Asia
8/12/2020,215,37269,Afghanistan,Asia
8/13/2020,76,37345,Afghanistan,Asia
8/14/2020,79,37424,Afghanistan,Asia
8/15/2020,7,37431,Afghanistan,Asia
8/16/2020,120,37551,Afghanistan,Asia
8/17/2020,45,37596,Afghanistan,Asia
8/18/2020,3,37599,Afghanistan,Asia
8/19/2020,0,37599,Afghanistan,Asia
8/20/2020,160,37759,Afghanistan,Asia
8/21/2020,97,37856,Afghanistan,Asia
8/22/2020,38,37894,Afghanistan,Asia
8/23/2020,105,37999,Afghanistan,Asia
8/24/2020,0,37999,Afghanistan,Asia
8/25/2020,71,38070,Afghanistan,Asia
8/26/2020,1,38071,Afghanistan,Asia
8/27/2020,55,38126,Afghanistan,Asia
8/28/2020,3,38129,Afghanistan,Asia
8/29/2020,11,38140,Afghanistan,Asia
3/9/2020,2,2,Albania,Europe
3/10/2020,4,6,Albania,Europe
3/11/2020,4,10,Albania,Europe
3/12/2020,1,11,Albania,Europe
3/13/2020,12,23,Albania,Europe
3/14/2020,10,33,Albania,Europe
3/15/2020,5,38,Albania,Europe
3/16/2020,4,42,Albania,Europe
3/17/2020,9,51,Albania,Europe
3/18/2020,4,55,Albania,Europe
3/19/2020,4,59,Albania,Europe
3/20/2020,11,70,Albania,Europe
3/21/2020,0,70,Albania,Europe
3/22/2020,6,76,Albania,Europe
3/23/2020,13,89,Albania,Europe
3/24/2020,11,100,Albania,Europe
3/25/2020,23,123,Albania,Europe
3/26/2020,23,146,Albania,Europe
3/27/2020,28,174,Albania,Europe
3/28/2020,12,186,Albania,Europe
3/29/2020,11,197,Albania,Europe
3/30/2020,15,212,Albania,Europe
3/31/2020,11,223,Albania,Europe
4/1/2020,20,243,Albania,Europe
4/2/2020,16,259,Albania,Europe
4/3/2020,18,277,Albania,Europe
4/4/2020,27,304,Albania,Europe
4/5/2020,29,333,Albania,Europe
4/6/2020,28,361,Albania,Europe
4/7/2020,16,377,Albania,Europe
4/8/2020,6,383,Albania,Europe
4/9/2020,17,400,Albania,Europe
4/10/2020,9,409,Albania,Europe
4/11/2020,7,416,Albania,Europe
4/12/2020,17,433,Albania,Europe
4/13/2020,13,446,Albania,Europe
4/14/2020,21,467,Albania,Europe
4/15/2020,8,475,Albania,Europe
4/16/2020,19,494,Albania,Europe
4/17/2020,24,518,Albania,Europe
4/18/2020,21,539,Albania,Europe
4/19/2020,9,548,Albania,Europe
4/20/2020,14,562,Albania,Europe
4/21/2020,22,584,Albania,Europe
4/22/2020,25,609,Albania,Europe
4/23/2020,25,634,Albania,Europe
4/24/2020,29,663,Albania,Europe
4/25/2020,15,678,Albania,Europe
4/26/2020,34,712,Albania,Europe
4/27/2020,14,726,Albania,Europe
4/28/2020,10,736,Albania,Europe
4/29/2020,14,750,Albania,Europe
4/30/2020,16,766,Albania,Europe
5/1/2020,7,773,Albania,Europe
5/2/2020,9,782,Albania,Europe
5/3/2020,7,789,Albania,Europe
5/4/2020,6,795,Albania,Europe
5/5/2020,8,803,Albania,Europe
5/6/2020,17,820,Albania,Europe
5/7/2020,12,832,Albania,Europe
5/8/2020,10,842,Albania,Europe
5/9/2020,8,850,Albania,Europe
5/10/2020,6,856,Albania,Europe
5/11/2020,12,868,Albania,Europe
5/12/2020,4,872,Albania,Europe
5/13/2020,4,876,Albania,Europe
5/14/2020,4,880,Albania,Europe
5/15/2020,18,898,Albania,Europe
5/16/2020,18,916,Albania,Europe
5/17/2020,17,933,Albania,Europe
5/18/2020,13,946,Albania,Europe
5/19/2020,2,948,Albania,Europe
5/20/2020,1,949,Albania,Europe
5/21/2020,15,964,Albania,Europe
5/22/2020,5,969,Albania,Europe
5/23/2020,12,981,Albania,Europe
5/24/2020,8,989,Albania,Europe
5/25/2020,9,998,Albania,Europe
5/26/2020,6,1004,Albania,Europe
5/27/2020,25,1029,Albania,Europe
5/28/2020,21,1050,Albania,Europe
5/29/2020,26,1076,Albania,Europe
5/30/2020,23,1099,Albania,Europe
5/31/2020,23,1122,Albania,Europe
6/1/2020,15,1137,Albania,Europe
6/2/2020,6,1143,Albania,Europe
6/3/2020,21,1164,Albania,Europe
6/4/2020,20,1184,Albania,Europe
6/5/2020,13,1197,Albania,Europe
6/6/2020,15,1212,Albania,Europe
6/7/2020,20,1232,Albania,Europe
6/8/2020,14,1246,Albania,Europe
6/9/2020,17,1263,Albania,Europe
6/10/2020,36,1299,Albania,Europe
6/11/2020,42,1341,Albania,Europe
6/12/2020,44,1385,Albania,Europe
6/13/2020,31,1416,Albania,Europe
6/14/2020,48,1464,Albania,Europe
6/15/2020,57,1521,Albania,Europe
6/16/2020,69,1590,Albania,Europe
6/17/2020,82,1672,Albania,Europe
6/18/2020,50,1722,Albania,Europe
6/19/2020,66,1788,Albania,Europe
6/20/2020,50,1838,Albania,Europe
6/21/2020,53,1891,Albania,Europe
6/22/2020,36,1927,Albania,Europe
6/23/2020,68,1995,Albania,Europe
6/24/2020,52,2047,Albania,Europe
6/25/2020,67,2114,Albania,Europe
6/26/2020,78,2192,Albania,Europe
6/27/2020,77,2269,Albania,Europe
6/28/2020,61,2330,Albania,Europe
6/29/2020,72,2402,Albania,Europe
6/30/2020,64,2466,Albania,Europe
7/1/2020,69,2535,Albania,Europe
7/2/2020,45,2580,Albania,Europe
7/3/2020,82,2662,Albania,Europe
7/4/2020,90,2752,Albania,Europe
7/5/2020,67,2819,Albania,Europe
7/6/2020,74,2893,Albania,Europe
7/7/2020,71,2964,Albania,Europe
7/8/2020,74,3038,Albania,Europe
7/9/2020,68,3106,Albania,Europe
7/10/2020,82,3188,Albania,Europe
7/11/2020,90,3278,Albania,Europe
7/12/2020,93,3371,Albania,Europe
7/13/2020,83,3454,Albania,Europe
7/14/2020,117,3571,Albania,Europe
7/15/2020,96,3667,Albania,Europe
7/16/2020,85,3752,Albania,Europe
7/17/2020,99,3851,Albania,Europe
7/18/2020,55,3906,Albania,Europe
7/19/2020,102,4008,Albania,Europe
7/20/2020,82,4090,Albania,Europe
7/21/2020,81,4171,Albania,Europe
7/22/2020,119,4290,Albania,Europe
7/23/2020,68,4358,Albania,Europe
7/24/2020,108,4466,Albania,Europe
7/25/2020,104,4570,Albania,Europe
7/26/2020,67,4637,Albania,Europe
7/27/2020,126,4763,Albania,Europe
7/28/2020,117,4880,Albania,Europe
7/29/2020,117,4997,Albania,Europe
7/30/2020,108,5105,Albania,Europe
7/31/2020,92,5197,Albania,Europe
8/1/2020,79,5276,Albania,Europe
8/2/2020,120,5396,Albania,Europe
8/3/2020,123,5519,Albania,Europe
8/4/2020,101,5620,Albania,Europe
8/5/2020,130,5750,Albania,Europe
8/6/2020,139,5889,Albania,Europe
8/7/2020,127,6016,Albania,Europe
8/8/2020,135,6151,Albania,Europe
8/9/2020,124,6275,Albania,Europe
8/10/2020,136,6411,Albania,Europe
8/11/2020,125,6536,Albania,Europe
8/12/2020,140,6676,Albania,Europe
8/13/2020,141,6817,Albania,Europe
8/14/2020,154,6971,Albania,Europe
8/15/2020,146,7117,Albania,Europe
8/16/2020,143,7260,Albania,Europe
8/17/2020,120,7380,Albania,Europe
8/18/2020,119,7499,Albania,Europe
8/19/2020,155,7654,Albania,Europe
8/20/2020,158,7812,Albania,Europe
8/21/2020,155,7967,Albania,Europe
8/22/2020,152,8119,Albania,Europe
8/23/2020,156,8275,Albania,Europe
8/24/2020,152,8427,Albania,Europe
8/25/2020,178,8605,Albania,Europe
8/26/2020,154,8759,Albania,Europe
8/27/2020,168,8927,Albania,Europe
8/28/2020,156,9083,Albania,Europe
8/29/2020,112,9195,Albania,Europe
12/31/2019,0,0,Algeria,Africa
1/1/2020,0,0,Algeria,Africa
1/2/2020,0,0,Algeria,Africa
1/3/2020,0,0,Algeria,Africa
1/4/2020,0,0,Algeria,Africa
1/5/2020,0,0,Algeria,Africa
1/6/2020,0,0,Algeria,Africa
1/7/2020,0,0,Algeria,Africa
1/8/2020,0,0,Algeria,Africa
1/9/2020,0,0,Algeria,Africa
1/10/2020,0,0,Algeria,Africa
1/11/2020,0,0,Algeria,Africa
1/12/2020,0,0,Algeria,Africa
1/13/2020,0,0,Algeria,Africa
1/14/2020,0,0,Algeria,Africa
1/15/2020,0,0,Algeria,Africa
1/16/2020,0,0,Algeria,Africa
1/17/2020,0,0,Algeria,Africa
1/18/2020,0,0,Algeria,Africa
1/19/2020,0,0,Algeria,Africa
1/20/2020,0,0,Algeria,Africa
1/21/2020,0,0,Algeria,Africa
1/22/2020,0,0,Algeria,Africa
1/23/2020,0,0,Algeria,Africa
1/24/2020,0,0,Algeria,Africa
1/25/2020,0,0,Algeria,Africa
1/26/2020,0,0,Algeria,Africa
1/27/2020,0,0,Algeria,Africa
1/28/2020,0,0,Algeria,Africa
1/29/2020,0,0,Algeria,Africa
1/30/2020,0,0,Algeria,Africa
1/31/2020,0,0,Algeria,Africa
2/1/2020,0,0,Algeria,Africa
2/2/2020,0,0,Algeria,Africa
2/3/2020,0,0,Algeria,Africa
2/4/2020,0,0,Algeria,Africa
2/5/2020,0,0,Algeria,Africa
2/6/2020,0,0,Algeria,Africa
2/7/2020,0,0,Algeria,Africa
2/8/2020,0,0,Algeria,Africa
2/9/2020,0,0,Algeria,Africa
2/10/2020,0,0,Algeria,Africa
2/11/2020,0,0,Algeria,Africa
2/12/2020,0,0,Algeria,Africa
2/13/2020,0,0,Algeria,Africa
2/14/2020,0,0,Algeria,Africa
2/15/2020,0,0,Algeria,Africa
2/16/2020,0,0,Algeria,Africa
2/17/2020,0,0,Algeria,Africa
2/18/2020,0,0,Algeria,Africa
2/19/2020,0,0,Algeria,Africa
2/20/2020,0,0,Algeria,Africa
2/21/2020,0,0,Algeria,Africa
2/22/2020,0,0,Algeria,Africa
2/23/2020,0,0,Algeria,Africa
2/24/2020,0,0,Algeria,Africa
2/25/2020,0,0,Algeria,Africa
2/26/2020,1,1,Algeria,Africa
2/27/2020,0,1,Algeria,Africa
2/28/2020,0,1,Algeria,Africa
2/29/2020,0,1,Algeria,Africa
3/1/2020,2,3,Algeria,Africa
3/2/2020,0,3,Algeria,Africa
3/3/2020,,,Algeria,Africa
3/4/2020,2,5,Algeria,Africa
3/5/2020,7,12,Algeria,Africa
3/6/2020,5,17,Algeria,Africa
3/7/2020,,,Algeria,Africa
3/8/2020,,,Algeria,Africa
3/9/2020,3,20,Algeria,Africa
3/10/2020,,,Algeria,Africa
3/11/2020,,,Algeria,Africa
3/12/2020,0,20,Algeria,Africa
3/13/2020,5,25,Algeria,Africa
3/14/2020,1,26,Algeria,Africa
3/15/2020,11,37,Algeria,Africa
3/16/2020,11,48,Algeria,Africa
3/17/2020,10,58,Algeria,Africa
3/18/2020,2,60,Algeria,Africa
3/19/2020,12,72,Algeria,Africa
3/20/2020,18,90,Algeria,Africa
3/21/2020,12,102,Algeria,Africa
3/22/2020,37,139,Algeria,Africa
3/23/2020,62,201,Algeria,Africa
3/24/2020,29,230,Algeria,Africa
3/25/2020,34,264,Algeria,Africa
3/26/2020,38,302,Algeria,Africa
3/27/2020,65,367,Algeria,Africa
3/28/2020,42,409,Algeria,Africa
3/29/2020,45,454,Algeria,Africa
3/30/2020,57,511,Algeria,Africa
3/31/2020,73,584,Algeria,Africa
4/1/2020,132,716,Algeria,Africa
4/2/2020,131,847,Algeria,Africa
4/3/2020,139,986,Algeria,Africa
4/4/2020,185,1171,Algeria,Africa
4/5/2020,80,1251,Algeria,Africa
4/6/2020,69,1320,Algeria,Africa
4/7/2020,103,1423,Algeria,Africa
4/8/2020,45,1468,Algeria,Africa
4/9/2020,104,1572,Algeria,Africa
4/10/2020,94,1666,Algeria,Africa
4/11/2020,95,1761,Algeria,Africa
4/12/2020,64,1825,Algeria,Africa
4/13/2020,89,1914,Algeria,Africa
4/14/2020,69,1983,Algeria,Africa
4/15/2020,87,2070,Algeria,Africa
4/16/2020,90,2160,Algeria,Africa
4/17/2020,108,2268,Algeria,Africa
4/18/2020,150,2418,Algeria,Africa
4/19/2020,117,2535,Algeria,Africa
4/20/2020,94,2629,Algeria,Africa
4/21/2020,89,2718,Algeria,Africa
4/22/2020,93,2811,Algeria,Africa
4/23/2020,99,2910,Algeria,Africa
4/24/2020,97,3007,Algeria,Africa
4/25/2020,120,3127,Algeria,Africa
4/26/2020,129,3256,Algeria,Africa
4/27/2020,126,3382,Algeria,Africa
4/28/2020,135,3517,Algeria,Africa
4/29/2020,132,3649,Algeria,Africa
4/30/2020,199,3848,Algeria,Africa
5/1/2020,158,4006,Algeria,Africa
5/2/2020,148,4154,Algeria,Africa
5/3/2020,141,4295,Algeria,Africa
5/4/2020,179,4474,Algeria,Africa
5/5/2020,174,4648,Algeria,Africa
5/6/2020,190,4838,Algeria,Africa
5/7/2020,159,4997,Algeria,Africa
5/8/2020,185,5182,Algeria,Africa
5/9/2020,187,5369,Algeria,Africa
5/10/2020,189,5558,Algeria,Africa
5/11/2020,165,5723,Algeria,Africa
5/12/2020,168,5891,Algeria,Africa
5/13/2020,176,6067,Algeria,Africa
5/14/2020,186,6253,Algeria,Africa
5/15/2020,189,6442,Algeria,Africa
5/16/2020,187,6629,Algeria,Africa
5/17/2020,192,6821,Algeria,Africa
5/18/2020,198,7019,Algeria,Africa
5/19/2020,182,7201,Algeria,Africa
5/20/2020,176,7377,Algeria,Africa
5/21/2020,165,7542,Algeria,Africa
5/22/2020,186,7728,Algeria,Africa
5/23/2020,190,7918,Algeria,Africa
5/24/2020,195,8113,Algeria,Africa
5/25/2020,193,8306,Algeria,Africa
5/26/2020,197,8503,Algeria,Africa
5/27/2020,194,8697,Algeria,Africa
5/28/2020,160,8857,Algeria,Africa
5/29/2020,140,8997,Algeria,Africa
5/30/2020,137,9134,Algeria,Africa
5/31/2020,133,9267,Algeria,Africa
6/1/2020,127,9394,Algeria,Africa
6/2/2020,119,9513,Algeria,Africa
6/3/2020,113,9626,Algeria,Africa
6/4/2020,0,9626,Algeria,Africa
6/5/2020,205,9831,Algeria,Africa
6/6/2020,104,9935,Algeria,Africa
6/7/2020,115,10050,Algeria,Africa
6/8/2020,104,10154,Algeria,Africa
6/9/2020,111,10265,Algeria,Africa
6/10/2020,117,10382,Algeria,Africa
6/11/2020,102,10484,Algeria,Africa
6/12/2020,105,10589,Algeria,Africa
6/13/2020,109,10698,Algeria,Africa
6/14/2020,112,10810,Algeria,Africa
6/15/2020,109,10919,Algeria,Africa
6/16/2020,112,11031,Algeria,Africa
6/17/2020,116,11147,Algeria,Africa
6/18/2020,121,11268,Algeria,Africa
6/19/2020,117,11385,Algeria,Africa
6/20/2020,119,11504,Algeria,Africa
6/21/2020,127,11631,Algeria,Africa
6/22/2020,140,11771,Algeria,Africa
6/23/2020,149,11920,Algeria,Africa
6/24/2020,156,12076,Algeria,Africa
6/25/2020,172,12248,Algeria,Africa
6/26/2020,197,12445,Algeria,Africa
6/27/2020,240,12685,Algeria,Africa
6/28/2020,283,12968,Algeria,Africa
6/29/2020,305,13273,Algeria,Africa
6/30/2020,298,13571,Algeria,Africa
7/1/2020,336,13907,Algeria,Africa
7/2/2020,365,14272,Algeria,Africa
7/3/2020,385,14657,Algeria,Africa
7/4/2020,413,15070,Algeria,Africa
7/5/2020,430,15500,Algeria,Africa
7/6/2020,441,15941,Algeria,Africa
7/7/2020,463,16404,Algeria,Africa
7/8/2020,475,16879,Algeria,Africa
7/9/2020,469,17348,Algeria,Africa
7/10/2020,460,17808,Algeria,Africa
7/11/2020,434,18242,Algeria,Africa
7/12/2020,470,18712,Algeria,Africa
7/13/2020,483,19195,Algeria,Africa
7/14/2020,494,19689,Algeria,Africa
7/15/2020,527,20216,Algeria,Africa
7/16/2020,554,20770,Algeria,Africa
7/17/2020,585,21355,Algeria,Africa
7/18/2020,593,21948,Algeria,Africa
7/19/2020,601,22549,Algeria,Africa
7/20/2020,535,23084,Algeria,Africa
7/21/2020,607,23691,Algeria,Africa
7/22/2020,587,24278,Algeria,Africa
7/23/2020,594,24872,Algeria,Africa
7/24/2020,612,25484,Algeria,Africa
7/25/2020,675,26159,Algeria,Africa
7/26/2020,605,26764,Algeria,Africa
7/27/2020,593,27357,Algeria,Africa
7/28/2020,616,27973,Algeria,Africa
7/29/2020,642,28615,Algeria,Africa
7/30/2020,614,29229,Algeria,Africa
7/31/2020,602,29831,Algeria,Africa
8/1/2020,563,30394,Algeria,Africa
8/2/2020,556,30950,Algeria,Africa
8/3/2020,515,31465,Algeria,Africa
8/4/2020,507,31972,Algeria,Africa
8/5/2020,532,32504,Algeria,Africa
8/6/2020,551,33055,Algeria,Africa
8/7/2020,571,33626,Algeria,Africa
8/8/2020,529,34155,Algeria,Africa
8/9/2020,538,34693,Algeria,Africa
8/10/2020,521,35214,Algeria,Africa
8/11/2020,498,35712,Algeria,Africa
8/12/2020,492,36204,Algeria,Africa
8/13/2020,495,36699,Algeria,Africa
8/14/2020,488,37187,Algeria,Africa
8/15/2020,477,37664,Algeria,Africa
8/16/2020,469,38133,Algeria,Africa
8/17/2020,450,38583,Algeria,Africa
8/18/2020,442,39025,Algeria,Africa
8/19/2020,419,39444,Algeria,Africa
8/20/2020,403,39847,Algeria,Africa
8/21/2020,411,40258,Algeria,Africa
8/22/2020,409,40667,Algeria,Africa
8/23/2020,401,41068,Algeria,Africa
8/24/2020,392,41460,Algeria,Africa
8/25/2020,398,41858,Algeria,Africa
8/26/2020,370,42228,Algeria,Africa
8/27/2020,391,42619,Algeria,Africa
8/28/2020,397,43016,Algeria,Africa
8/29/2020,387,43403,Algeria,Africa
3/3/2020,1,1,Andorra,Europe
3/9/2020,,,Andorra,Europe
3/10/2020,,,Andorra,Europe
3/11/2020,,,Andorra,Europe
3/12/2020,,,Andorra,Europe
