locality,year,price
BOX HILL,2010,874000.0
BOX HILL NORTH,2010,726000.0
BOX HILL SOUTH,2010,823000.0
BRAYBROOK,2010,460000.0
BREAKWATER,2010,250000.0
BRIAGOLONG,2010,205000.0
BRIAR HILL,2010,580000.0
BRIGHT,2010,311500.0
BRIGHTON,2010,1810000.0
BRIGHTON EAST,2010,1255000.0
BROADFORD,2010,248500.0
BROADMEADOWS,2010,384000.0
BROOKFIELD,2010,333500.0
BROOKLYN,2010,486500.0
BROWN HILL,2010,261000.0
BRUNSWICK,2010,710000.0
BRUNSWICK EAST,2010,700000.0
BRUNSWICK WEST,2010,728000.0
BRUTHEN,2010,226000.0
BULLEEN,2010,728000.0
BUNDALONG,2010,390000.0
BUNDOORA,2010,500000.0
BUNINYONG,2010,322500.0
BUNYIP,2010,292500.0
BURNSIDE,2010,395000.0
BURNSIDE HEIGHTS,2010,405000.0
BURWOOD,2010,778000.0
BURWOOD EAST,2010,678000.0
CAIRNLEA,2010,463000.0
CALIFORNIA GULLY,2010,209500.0
CAMBERWELL,2010,1345000.0
CAMPBELLFIELD,2010,385000.0
CAMPBELLS CREEK,2010,316000.0
CAMPERDOWN,2010,185000.0
CANADIAN,2010,302500.0
CANTERBURY,2010,1827500.0
CAPE PATERSON,2010,332500.0
CAPE SCHANCK,2010,545000.0
CAPEL SOUND,2010,355000.0
CARISBROOK,2010,202000.0
CARLTON,2010,900000.0
CARLTON NORTH,2010,930000.0
CARNEGIE,2010,880000.0
CAROLINE SPRINGS,2010,407500.0
CARRUM,2010,500000.0
CARRUM DOWNS,2010,330000.0
CASTERTON,2010,117500.0
CASTLEMAINE,2010,300000.0
CAULFIELD,2010,1180000.0
CAULFIELD EAST,2010,866000.0
CAULFIELD NORTH,2010,1420000.0
CAULFIELD SOUTH,2010,1007500.0
CHADSTONE,2010,670500.0
CHARLEMONT,2010,560000.0
CHARLTON,2010,125000.0
CHELSEA,2010,585500.0
CHELSEA HEIGHTS,2010,445000.0
CHELTENHAM,2010,696000.0
CHELTENHAM EAST,2010,630000.0
CHELTENHAM NORTH,2010,651000.0
CHEWTON,2010,258000.0
CHILTERN,2010,189000.0
CHIRNSIDE PARK,2010,449500.0
CHURCHILL,2010,172000.0
CLARINDA,2010,530000.0
CLAYTON,2010,650500.0
CLAYTON NORTH,2010,745500.0
CLAYTON SOUTH,2010,550500.0
CLIFTON HILL,2010,825000.0
CLIFTON SPRINGS,2010,318000.0
CLUNES,2010,187500.0
CLYDE,2010,361500.0
CLYDE NORTH,2010,
COBBLEBANK,2010,
COBDEN,2010,220000.0
COBRAM,2010,212000.0
COBURG,2010,640000.0
COBURG EAST,2010,544000.0
COBURG NORTH,2010,533000.0
COCKATOO,2010,312000.0
COHUNA,2010,137000.0
COLAC,2010,213000.0
COLDSTREAM,2010,395000.0
COLERAINE,2010,95000.0
COLLINGWOOD,2010,751500.0
COOLAROO,2010,315000.0
COONANS HILL,2010,690000.0
COONGULLA,2010,163000.0
CORINELLA,2010,325000.0
CORIO,2010,225000.0
CORONET BAY,2010,245000.0
CORRYONG,2010,128000.0
COWES,2010,400000.0
COWES WEST,2010,318500.0
CRAIGIEBURN,2010,365000.0
CRANBOURNE,2010,327000.0
CRANBOURNE EAST,2010,353000.0
CRANBOURNE NORTH,2010,355000.0
CRANBOURNE SOUTH,2010,
CRANBOURNE WEST,2010,310000.0
CREMORNE,2010,835000.0
CRESWICK,2010,214000.0
CRIB POINT,2010,347500.0
CROYDON,2010,465000.0
CROYDON HILLS,2010,549500.0
CROYDON NORTH,2010,527500.0
CROYDON SOUTH,2010,455000.0
CURLEWIS,2010,
DALLAS,2010,320000.0
DALYSTON,2010,271000.0
DANDENONG,2010,430000.0
DANDENONG NORTH,2010,400000.0
DARLEY,2010,330000.0
DAYLESFORD,2010,372500.0
DEANSIDE,2010,
DEEPDENE,2010,1930000.0
DEER PARK,2010,355000.0
DELACOMBE,2010,263000.0
DELAHEY,2010,365000.0
DENNINGTON,2010,329000.0
DERRIMUT,2010,395000.0
DIAMOND CREEK,2010,515000.0
DIGGERS REST,2010,266500.0
DIMBOOLA,2010,85500.0
DINGLEY VILLAGE,2010,553000.0
DINNER PLAIN,2010,475000.0
DONALD,2010,135000.0
DONCASTER,2010,795000.0
DONCASTER EAST,2010,750000.0
DONNYBROOK,2010,
DONVALE,2010,715000.0
DOREEN,2010,430000.0
DOVETON,2010,330000.0
DROMANA,2010,446500.0
DROUIN,2010,275500.0
DRYSDALE,2010,355000.0
DUNKELD,2010,180000.0
DUNOLLY,2010,120000.0
EAGLE POINT,2010,236000.0
EAGLEHAWK,2010,226000.0
EAGLEMONT,2010,1330000.0
EAST BAIRNSDALE,2010,195000.0
EAST BENDIGO,2010,262500.0
EAST GEELONG,2010,400000.0
EAST MELBOURNE,2010,1621000.0
EAST WARBURTON,2010,285000.0
EASTWOOD,2010,330000.0
ECHUCA,2010,271000.0
EDENHOPE,2010,132500.0
EDITHVALE,2010,616000.0
EILDON,2010,190000.0
ELLIMINYT,2010,335000.0
ELMORE,2010,182500.0
ELSTERNWICK,2010,1240000.0
ELTHAM,2010,614000.0
ELTHAM NORTH,2010,621000.0
ELWOOD,2010,1350000.0
EMERALD,2010,433500.0
ENDEAVOUR HILLS,2010,400000.0
EPPING,2010,380000.0
EPSOM,2010,275000.0
ESSENDON,2010,952000.0
ESSENDON NORTH,2010,850000.0
ESSENDON WEST,2010,745000.0
EUMEMMERRING,2010,378000.0
EUREKA,2010,245000.0
EUROA,2010,167000.0
EYNESBURY,2010,295000.0
FAIRFIELD,2010,810000.0
FAIRHAVEN,2010,866000.0
FAWKNER,2010,460000.0
FERNTREE GULLY,2010,449000.0
FERNY CREEK,2010,580000.0
FINGAL,2010,515000.0
FITZROY,2010,805500.0
FITZROY NORTH,2010,900000.0
FIVEWAYS,2010,318500.0
FLEMINGTON,2010,670000.0
FLINDERS,2010,760000.0
FLORA HILL,2010,266000.0
FLOWERDALE,2010,180000.0
FOOTSCRAY,2010,574000.0
FOREST HILL,2010,620000.0
FOSTER,2010,265000.0
FRANKSTON,2010,367000.0
FRANKSTON NORTH,2010,280000.0
FRANKSTON SOUTH,2010,530000.0
FRASER RISE,2010,
FYANSFORD,2010,
GARDEN CITY,2010,1062500.0
GARDENVALE,2010,1200000.0
GARFIELD,2010,342500.0
GEELONG,2010,465000.0
GEELONG WEST,2010,385000.0
GEMBROOK,2010,340000.0
GISBORNE,2010,399000.0
GLADSTONE PARK,2010,426500.0
GLEN HUNTLY,2010,919000.0
GLEN IRIS,2010,1320000.0
GLEN WAVERLEY,2010,735000.0
GLENROWAN,2010,286000.0
GLENROY,2010,508500.0
GOLDEN BEACH,2010,150000.0
GOLDEN POINT (BALLARAT),2010,250000.0
GOLDEN SQUARE,2010,262000.0
GORDON,2010,270000.0
GOUGHS BAY,2010,193000.0
GOWANBRAE,2010,535000.0
GRANTVILLE,2010,260000.0
GREEN LAKE,2010,230000.0
GREENSBOROUGH,2010,530000.0
GREENVALE,2010,517500.0
GROVEDALE,2010,335000.0
HADFIELD,2010,530000.0
HALLAM,2010,365000.0
HALLS GAP,2010,257500.0
HAMILTON,2010,203500.0
HAMLYN HEIGHTS,2010,345000.0
HAMPTON,2010,1295000.0
HAMPTON EAST,2010,813000.0
HAMPTON PARK,2010,333000.0
HARCOURT,2010,350000.0
HARKNESS,2010,310000.0
HASTINGS,2010,355000.0
HASTINGS WEST,2010,265000.0
HAWTHORN,2010,1430000.0
HAWTHORN EAST,2010,1400000.0
HEALESVILLE,2010,361500.0
HEATHCOTE,2010,217000.0
HEATHERTON,2010,625000.0
HEATHMONT,2010,539500.0
HEIDELBERG,2010,815000.0
HEIDELBERG HEIGHTS,2010,560000.0
HEIDELBERG WEST,2010,475000.0
HEPBURN,2010,317000.0
HEPBURN SPRINGS,2010,298000.0
HERNE HILL,2010,321000.0
HEYFIELD,2010,155000.0
HEYWOOD,2010,172000.0
HIGHETT,2010,760000.0
HIGHTON,2010,437000.0
HILLSIDE (MELTON),2010,420000.0
HOPETOUN,2010,63000.0
HOPPERS CROSSING,2010,327500.0
HORSHAM,2010,187000.0
HUGHESDALE,2010,838000.0
HUNTINGDALE,2010,642500.0
HUNTLY,2010,269500.0
HURSTBRIDGE,2010,491000.0
INDENTED HEAD,2010,360000.0
INGLEWOOD,2010,170000.0
INVERLOCH,2010,422500.0
INVERMAY PARK,2010,337500.0
IRONBARK,2010,232000.0
IRYMPLE,2010,213500.0
IVANHOE,2010,1032500.0
IVANHOE EAST,2010,1415000.0
JACANA,2010,391000.0
JACKASS FLAT,2010,275000.0
JAN JUC,2010,542500.0
JEERALANG NORTH,2010,152000.0
JEPARIT,2010,66000.0
JUNCTION VILLAGE,2010,314500.0
JUNORTOUN,2010,420000.0
KALIMNA,2010,265000.0
KALKALLO,2010,215000.0
KALLISTA,2010,450000.0
KALORAMA,2010,440000.0
KANGAROO FLAT,2010,252000.0
KANGAROO GROUND SOUTH,2010,679500.0
KANIVA,2010,94000.0
KEALBA,2010,385500.0
KEILOR,2010,603000.0
KEILOR DOWNS,2010,423000.0
KEILOR EAST,2010,580000.0
KEILOR LODGE,2010,460000.0
KEILOR PARK,2010,514500.0
KENNINGTON,2010,295000.0
KENSINGTON,2010,675500.0
KERANG,2010,147500.0
KEW,2010,1650000.0
KEW EAST,2010,1085000.0
KEW NORTH,2010,1174000.0
KEYSBOROUGH,2010,417500.0
KIALLA,2010,335000.0
KILCUNDA,2010,350000.0
KILLARA (WODONGA),2010,
KILMORE,2010,327500.0
KILSYTH,2010,432500.0
KILSYTH SOUTH,2010,515500.0
KINGLAKE,2010,280000.0
KINGS PARK,2010,340000.0
KINGSBURY,2010,519000.0
KINGSVILLE,2010,630000.0
KNOXFIELD,2010,471000.0
KOO WEE RUP,2010,297000.0
KOONDROOK,2010,239500.0
KOOYONG,2010,2150500.0
KOROIT,2010,236000.0
KORUMBURRA,2010,234000.0
KURUNJANG,2010,288000.0
KYABRAM,2010,209500.0
KYNETON,2010,330000.0
LAKE BOGA,2010,187000.0
LAKE GARDENS,2010,387000.0
LAKE TYERS BEACH,2010,286000.0
LAKE WENDOUREE,2010,550000.0
LAKES ENTRANCE,2010,256500.0
LALOR,2010,387000.0
LANCEFIELD,2010,281000.0
LANG LANG,2010,260000.0
LANGWARRIN,2010,395000.0
LARA,2010,325000.0
LARA LAKE,2010,340000.0
LAUNCHING PLACE,2010,355000.0
LAVERTON,2010,352000.0
LAVERTON SOUTH,2010,410000.0
LEITCHVILLE,2010,112500.0
LENEVA,2010,394000.0
LEONGATHA,2010,285000.0
LEOPOLD,2010,346000.0
LILYDALE,2010,438500.0
LINTON,2010,152500.0
LISMORE,2010,110000.0
LOCH SPORT,2010,170000.0
LONG GULLY,2010,210000.0
LONGWARRY,2010,262500.0
LORNE,2010,800000.0
LOVELY BANKS,2010,365000.0
LOWER PLENTY,2010,650000.0
LUCAS,2010,
LUCKNOW,2010,234000.0
LYNBROOK,2010,412000.0
LYNDHURST,2010,435000.0
LYSTERFIELD,2010,640000.0
MACEDON,2010,473000.0
MACLEOD,2010,645000.0
MADDINGLEY,2010,292500.0
MAFFRA,2010,230500.0
MAIDEN GULLY,2010,385000.0
MAIDSTONE,2010,563500.0
MALDON,2010,280000.0
MALLACOOTA,2010,300000.0
MALMSBURY,2010,314000.0
MALVERN,2010,1741500.0
MALVERN EAST,2010,1188000.0
MANIFOLD HEIGHTS,2010,401000.0
MANOR LAKES,2010,348500.0
MANSFIELD,2010,280000.0
MARIBYRNONG,2010,705000.0
MARONG,2010,257500.0
MARSHALL,2010,367500.0
MARYBOROUGH,2010,160000.0
MARYSVILLE,2010,340000.0
MCCRAE,2010,560000.0
MCKENZIE HILL,2010,350000.0
MCKINNON,2010,970000.0
MCLOUGHLINS BEACH,2010,149000.0
MEADOW HEIGHTS,2010,345000.0
MEENIYAN,2010,180000.0
MELTON,2010,250000.0
MELTON SOUTH,2010,248500.0
MELTON WEST,2010,285000.0
MENTONE,2010,680000.0
MERBEIN,2010,161000.0
MERINDA PARK,2010,300000.0
MERNDA,2010,390000.0
MERRIJIG (MANSFIELD),2010,287500.0
METUNG,2010,302000.0
MICKLEHAM,2010,
MIDDLE PARK,2010,1512500.0
MILDURA,2010,220000.0
MILL PARK,2010,420000.0
MILLGROVE,2010,234000.0
MINERS REST,2010,320000.0
MINYIP,2010,85000.0
MIRBOO NORTH,2010,244000.0
MITCHAM,2010,635000.0
MITCHELL PARK,2010,257000.0
MOE,2010,150000.0
MONBULK,2010,420000.0
MONT ALBERT,2010,1310000.0
MONT ALBERT NORTH,2010,965000.0
MONTMORENCY,2010,580000.0
MONTROSE,2010,440000.0
MOONEE PONDS,2010,852500.0
MOORABBIN,2010,710000.0
MOOROOLBARK,2010,445000.0
MOOROOPNA,2010,222000.0
MORDIALLOC,2010,650000.0
MORNINGTON,2010,512000.0
MORTLAKE,2010,150000.0
MORWELL,2010,152500.0
MOUNT BEAUTY,2010,195000.0
MOUNT CLEAR,2010,265000.0
MOUNT DANDENONG,2010,476000.0
MOUNT DUNEED,2010,267000.0
MOUNT ELIZA,2010,732000.0
MOUNT EVELYN,2010,390500.0
MOUNT HELEN,2010,311000.0
MOUNT MACEDON,2010,520000.0
MOUNT MARTHA,2010,705500.0
MOUNT PLEASANT,2010,239000.0
MOUNT WAVERLEY,2010,806000.0
MULGRAVE,2010,550000.0
MURCHISON,2010,175000.0
MURRUMBEENA,2010,835000.0
MURTOA,2010,85000.0
MYRTLEFORD,2010,179000.0
NAGAMBIE,2010,351500.0
NARRE WARREN,2010,368500.0
NARRE WARREN NORTH,2010,690000.0
NARRE WARREN SOUTH,2010,405000.0
NATHALIA,2010,155000.0
NEERIM SOUTH,2010,240000.0
NELSON,2010,266500.0
NERRINA,2010,381000.0
NEW GISBORNE,2010,465000.0
NEWBOROUGH,2010,192500.0
NEWCOMB,2010,280000.0
NEWINGTON,2010,290500.0
NEWLANDS ARM,2010,300000.0
NEWPORT,2010,655000.0
NEWSTEAD,2010,237500.0
NEWTOWN (GREATER GEELONG),2010,559500.0
NHILL,2010,101500.0
NICHOLS POINT,2010,217500.0
NIDDRIE,2010,740000.0
NOBLE PARK,2010,415000.0
NOBLE PARK NORTH,2010,415000.0
NORLANE,2010,190500.0
NORTH BENDIGO,2010,218000.0
NORTH GEELONG,2010,304000.0
NORTH MELBOURNE,2010,805000.0
NORTH WONTHAGGI,2010,285000.0
NORTHCOTE,2010,822000.0
NOTTING HILL,2010,563000.0
NUMURKAH,2010,178000.0
NUNAWADING,2010,641000.0
NYAH WEST,2010,97500.0
NYORA,2010,237500.0
OAK PARK,2010,641000.0
OAKLEIGH,2010,741000.0
OAKLEIGH EAST,2010,675000.0
OAKLEIGH SOUTH,2010,630000.0
OCEAN GROVE,2010,427500.0
OFFICER,2010,385000.0
OFFICER SOUTH,2010,
OLINDA,2010,452500.0
OMEO,2010,179000.0
ORBOST,2010,181000.0
ORMOND,2010,970000.0
OSBORNE,2010,469000.0
OUYEN,2010,103000.0
PAKENHAM,2010,335000.0
PARADISE BEACH,2010,152500.0
PARK ORCHARDS,2010,945000.0
PARKDALE,2010,755000.0
PARKVILLE,2010,1335000.0
PASCOE VALE,2010,609000.0
PASCOE VALE SOUTH,2010,655000.0
PATTERSON GARDENS,2010,582500.0
PATTERSON LAKES,2010,621000.0
PAYNESVILLE,2010,290000.0
PEARCEDALE,2010,390000.0
PETERBOROUGH,2010,291500.0
PIONEER BAY,2010,235000.0
PLENTY,2010,900000.0
POINT COOK,2010,435000.0
POINT LONSDALE,2010,695000.0
POREPUNKAH,2010,320000.0
PORT ALBERT,2010,250000.0
PORT FAIRY,2010,392000.0
PORT FRANKLIN,2010,216000.0
PORT MELBOURNE,2010,1017500.0
PORT WELSHPOOL,2010,205000.0
PORTARLINGTON,2010,380000.0
PORTLAND,2010,220000.0
PORTLAND NORTH,2010,115000.0
PORTSEA,2010,1387500.0
PRAHRAN,2010,940000.0
PRESTON,2010,615000.0
PRINCES HILL,2010,1027500.0
PYRAMID HILL,2010,122500.0
QUARRY HILL,2010,295500.0
QUEENSCLIFF,2010,680000.0
RAINBOW,2010,70000.0
RAYMOND ISLAND,2010,277500.0
RED CLIFFS,2010,160000.0
REDAN,2010,230000.0
RESEARCH,2010,614500.0
RESERVOIR,2010,520000.0
RHYLL,2010,410000.0
RICHMOND,2010,875500.0
RIDDELLS CREEK,2010,387500.0
RINGWOOD,2010,553500.0
RINGWOOD EAST,2010,530500.0
RINGWOOD NORTH,2010,580000.0
RIPPLESIDE,2010,654000.0
ROBINVALE,2010,145000.0
ROCHESTER,2010,155000.0
ROCKBANK,2010,237000.0
ROMSEY,2010,350000.0
ROSANNA,2010,706000.0
ROSEBUD,2010,355000.0
ROSEBUD SOUTH,2010,419500.0
ROSEDALE,2010,185000.0
ROWVILLE,2010,540000.0
ROXBURGH PARK,2010,371000.0
RUPANYUP,2010,129000.0
RUSHWORTH,2010,156500.0
RUTHERGLEN,2010,175000.0
RYE,2010,436000.0
SAFETY BEACH,2010,497500.0
SAILORS GULLY,2010,213500.0
SALE,2010,276500.0
SAN REMO,2010,445000.0
SANCTUARY LAKES,2010,465000.0
SANDHURST,2010,460000.0
SANDRINGHAM,2010,1200000.0
SANDY POINT,2010,338000.0
SASSAFRAS,2010,507000.0
SAWMILL SETTLEMENT,2010,221500.0
SCORESBY,2010,488000.0
SEA LAKE,2010,62500.0
SEABROOK,2010,415000.0
SEAFORD,2010,412500.0
SEAHOLME,2010,565000.0
SEASPRAY,2010,239000.0
SEBASTOPOL,2010,226000.0
SEDDON,2010,645500.0
SELBY,2010,407000.0
SEVILLE,2010,387500.0
SEVILLE EAST,2010,342500.0
SEYMOUR,2010,215000.0
SHEPPARTON,2010,251000.0
SHEPPARTON NORTH,2010,360000.0
SHOREHAM,2010,581000.0
SILVERLEAVES,2010,497500.0
SKENES CREEK,2010,500000.0
SKIPTON,2010,152000.0
SKYE,2010,375000.0
SMITHS BEACH,2010,442500.0
SMYTHESDALE,2010,210000.0
SOLDIERS HILL,2010,265000.0
SOMERS,2010,615000.0
SOMERVILLE,2010,370000.0
SORRENTO,2010,850000.0
SOUTH DUDLEY,2010,235500.0
SOUTH GEELONG,2010,420000.0
SOUTH KINGSVILLE,2010,650000.0
SOUTH MELBOURNE,2010,960000.0
SOUTH MORANG,2010,411000.0
SOUTH YARRA,2010,1375000.0
SPOTSWOOD,2010,635000.0
SPRING GULLY,2010,294000.0
SPRINGVALE,2010,490000.0
SPRINGVALE SOUTH,2010,450500.0
ST ALBANS,2010,385000.0
ST ALBANS PARK,2010,298000.0
ST ANDREWS BEACH,2010,495000.0
ST ARNAUD,2010,131000.0
ST HELENA,2010,562000.0
ST KILDA,2010,930000.0
ST KILDA EAST,2010,1041000.0
ST KILDA WEST,2010,1925000.0
ST LEONARDS,2010,350000.0
STANHOPE,2010,160000.0
STAWELL,2010,155000.0
STRATFORD,2010,207500.0
STRATHDALE,2010,331000.0
STRATHFIELDSAYE,2010,357000.0
STRATHMERTON,2010,165000.0
STRATHMORE,2010,870000.0
STRATHMORE HEIGHTS,2010,598500.0
STRATHTULLOH,2010,
STUDFIELD,2010,525000.0
SUNBURY,2010,343000.0
SUNDERLAND BAY,2010,315000.0
SUNNYCLIFFS,2010,120000.0
SUNSET STRIP,2010,286000.0
SUNSHINE,2010,458000.0
SUNSHINE NORTH,2010,425000.0
SUNSHINE WEST,2010,400000.0
SURF BEACH,2010,332000.0
SURREY HILLS,2010,1204000.0
SWAN HILL,2010,230000.0
SWAN REACH,2010,170000.0
SYDENHAM,2010,399000.0
SYNDAL,2010,880500.0
TALLANGATTA,2010,186000.0
TARNEIT,2010,360000.0
TATURA,2010,220000.0
TAWONGA SOUTH,2010,216000.0
TAYLORS HILL,2010,425000.0
TAYLORS LAKES,2010,467500.0
TECOMA,2010,400000.0
TEMPLESTOWE,2010,805000.0
TEMPLESTOWE LOWER,2010,730000.0
TERANG,2010,179000.0
THE BASIN,2010,430000.0
THE HONEYSUCKLES,2010,177500.0
THE PATCH,2010,444500.0
THOMASTOWN,2010,418000.0
THOMSON (GREATER GEELONG),2010,270000.0
THORNBURY,2010,720000.0
THORNHILL PARK,2010,
TIMBOON,2010,187000.0
TONGALA,2010,158500.0
TOONGABBIE,2010,260000.0
TOORA,2010,175000.0
TOORADIN,2010,420000.0
TOORAK,2010,2590000.0
TOOTGAROOK,2010,370000.0
TORQUAY,2010,533000.0
TRAFALGAR,2010,248500.0
TRARALGON,2010,257000.0
TRARALGON EAST,2010,388000.0
TRAVANCORE,2010,673000.0
TRENTHAM,2010,300000.0
TRUGANINA,2010,345000.0
TULLAMARINE,2010,440000.0
TYABB,2010,347000.0
UPPER FERNTREE GULLY,2010,427500.0
UPWEY,2010,415000.0
VENTNOR,2010,380000.0
VENUS BAY,2010,239000.0
VERMONT,2010,610000.0
VERMONT SOUTH,2010,694500.0
VIEWBANK,2010,631500.0
VIOLET TOWN,2010,172500.0
WAHGUNYAH,2010,245000.0
WALKERVILLE,2010,235000.0
WALLAN,2010,330000.0
WALLAN EAST,2010,292500.0
WANDANA HEIGHTS,2010,540000.0
WANDIN NORTH,2010,411000.0
WANGARATTA,2010,241000.0
WANTIRNA,2010,545000.0
WANTIRNA SOUTH,2010,575000.0
WARBURTON,2010,300000.0
WARNEET,2010,332500.0
WARRACKNABEAL,2010,88000.0
WARRAGUL,2010,280000.0
WARRANDYTE,2010,635000.0
WARRANWOOD,2010,633500.0
WARRNAMBOOL,2010,320000.0
WATERWAYS,2010,604000.0
WATSONIA,2010,505000.0
WATSONIA NORTH,2010,529000.0
WATTLE GLEN,2010,490000.0
WAURN PONDS,2010,435000.0
WEDDERBURN,2010,140000.0
WEIR VIEWS,2010,
WENDOUREE,2010,230000.0
WENDOUREE WEST,2010,186000.0
WERRIBEE,2010,308500.0
WERRIBEE SOUTH,2010,399000.0
WEST FOOTSCRAY,2010,558500.0
WEST MELBOURNE,2010,816000.0
WEST WODONGA,2010,283000.0
WESTALL,2010,510000.0
WESTGARTH,2010,891500.0
WESTMEADOWS,2010,410000.0
WHEELERS HILL,2010,686500.0
WHITE HILLS,2010,253500.0
WHITTINGTON,2010,245000.0
WHITTLESEA,2010,345000.0
WILLIAMS LANDING,2010,367500.0
WILLIAMSTOWN,2010,884000.0
WILLIAMSTOWN NORTH,2010,680000.0
WIMBLEDON HEIGHTS,2010,299000.0
WINCHELSEA,2010,235000.0
WINDSOR,2010,900000.0
WINTER VALLEY,2010,325000.0
WODONGA,2010,262000.0
WOLLERT,2010,425000.0
WONGA PARK,2010,620000.0
WONTHAGGI,2010,275000.0
WOODEND,2010,480000.0
WOOLAMAI WATERS,2010,340000.0
WOORI YALLOCK,2010,300000.0
WURRUK,2010,175500.0
WY YUNG,2010,289000.0
WYCHEPROOF,2010,86000.0
WYNDHAM VALE,2010,296000.0
YACKANDANDAH,2010,289500.0
YALLAMBIE,2010,507000.0
YALLOURN NORTH,2010,145000.0
YARRA GLEN,2010,415000.0
YARRA JUNCTION,2010,352500.0
YARRAGON,2010,206000.0
YARRAM,2010,166000.0
YARRAVILLE,2010,647000.0
YARRAWONGA,2010,297000.0
YEA,2010,240000.0
YINNAR,2010,280500.0
ABBOTSFORD,2011,730000.0
ABERFELDIE,2011,994000.0
AINTREE,2011,
AIREYS INLET,2011,680000.0
AIRPORT WEST,2011,557500.0
ALBANVALE,2011,317000.0
ALBERT PARK,2011,1390000.0
ALBION,2011,400000.0
ALEXANDRA,2011,255000.0
ALFREDTON,2011,333000.0
ALLANSFORD,2011,332000.0
ALPHINGTON,2011,985000.0
ALTONA,2011,575000.0
ALTONA EAST,2011,523000.0
ALTONA MEADOWS,2011,395000.0
ALTONA NORTH,2011,520000.0
ANGLESEA,2011,600500.0
APOLLO BAY,2011,495000.0
ARARAT,2011,169000.0
ARDEER,2011,360000.0
ARMADALE,2011,1615000.0
ARMSTRONG CREEK,2011,205000.0
ASCOT (GREATER BENDIGO),2011,323500.0
ASCOT VALE,2011,735000.0
ASHBURTON,2011,890000.0
ASHWOOD,2011,749000.0
ASPENDALE,2011,630000.0
ASPENDALE GARDENS,2011,550000.0
ATTWOOD,2011,592000.0
AVENEL,2011,221500.0
AVOCA,2011,151000.0
AVONDALE HEIGHTS,2011,538000.0
AVONSLEIGH,2011,385500.0
BACCHUS MARSH,2011,330000.0
BADGER CREEK,2011,295000.0
BAIRNSDALE,2011,235000.0
BALACLAVA,2011,793500.0
BALCOMBE,2011,718500.0
BALLAN,2011,310000.0
BALLARAT CENTRAL,2011,320000.0
BALLARAT EAST,2011,245000.0
BALLARAT NORTH,2011,275000.0
BALNARRING,2011,472500.0
BALNARRING BEACH,2011,630000.0
